0	Index      	 *	Score 	Summary	Detail	
1	33172 25452	 * 	259.92	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AART	1DMSP|2MBVNT|3FEWX|4AART|5DUR|6MLV|7TLV|8DMG|9aRCR
2	32133 55342	 * 	256.24	DCR|DCR|1VULN|2DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|45DUR|6DUST|7AART|8VULN|9aRCR
3	33123 16352	 * 	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DMSP|2MBVNT|3FEWX|4DMG|5DUR|6RCVC|7AART|8VULN|9aRCR
4	33623 16352	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DMSP|2MBVNT|3DMG|4FEWX|5DUR|6RCVC|7AART|8VULN|9aRCR
5	33823 16352	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DMSP|2MBVNT|3BEXP|4DMG|5DUR|6RCVC|7AART|8VULN|9aRCR
6	33123 56352	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DMSP|2MBVNT|3FEWX|4DMG|5DUR|6AEFRZ|7AART|8VULN|9aRCR
7	33631 16352	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DMSP|2MBVNT|3DMG|4DUR|5DUST|6RCVC|7AART|8VULN|9aRCR
8	32522 43212	 * 	249.10	DCR|DCR|1VULN|1TLV|2CDMG	1DMSP|23CDMG|4TLV|5VULN|6RPLT|7LIT|8RAT|9aRCR
9	33847 38114	 * 	248.90	DCR|DCR|2VULN|1DMG	1DMSP|2MBVNT|3BEXP|4SNIFST|5DMG|6MDPS|79VULN|8aRCR
10	36322 44331	 * 	244.81	DCR|DCR|2MLV|1FLTARM|1DMG	1DMSP|23MLV|4RAT|5DMG|6AEFBLL|7aRCR|8FLTARM|9FRZFST
11	36332 43212	 * 	244.48	DCR|DCR|1VULN|2MLV|1CDMG	1DMSP|23MLV|4CDMG|5VULN|6RPLT|7LIT|8RAT|9aRCR
12	32123 15342	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4FEWX|5DUR|6RCVC|7AART|8VULN|9aRCR
13	32136 15342	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4DUR|5FEWX|6RCVC|7AART|8VULN|9aRCR
14	32123 45342	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4FEWX|5DUR|6AEFRZ|7AART|8VULN|9aRCR
15	32131 15342	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4DUR|5DUST|6RCVC|7AART|8VULN|9aRCR
16	32131 45342	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4DUR|5DUST|6AEFRZ|7AART|8VULN|9aRCR
17	11212 65263	   	242.49	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1LWND|2BBNT|3AME|4DUR|5TLV|6TBNT|7VULN|8AAC|9aRCR
18	21354 52212	 * 	240.68	DCR|3VULN|2FLTARM|1TLV	17BEXP|2BBNT|3ERES|479VULN|57FLTARM|6RCVC|7BPWR|8RCR|aTLV
19	22154 52212	   	240.68	DCR|3VULN|2FLTARM|1TLV	17BEXP|2ERES|3TBNT|479VULN|57FLTARM|6RCVC|7BPWR|8RCR|aTLV
20	33131 16352	   	236.55	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3FEWX|4BEXP|5DMG|6RCVC|7AART|8VULN|9aRCR
21	33831 16352	   	236.55	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3BEXP|4FEWX|5DMG|6RCVC|7AART|8VULN|9aRCR
22	11155 21423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2BBNT|3VULN|4FEWX|5BEXP|6DMG|7MDPS|8aRCR|9DUR
23	11415 21423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2BBNT|3LHND|4VULN|5BEXP|6DMG|7MDPS|8aRCR|9DUR
24	11515 21423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2BBNT|3FEWX|4VULN|5BEXP|6DMG|7MDPS|8aRCR|9DUR
25	21415 21423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BEXP|2BBNT|3LHND|4VULN|5FEWX|6DMG|7MDPS|8aRCR|9DUR
26	33121 16352	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3FEWX|4DMG|5DUST|6RCVC|7AART|8VULN|9aRCR
27	33131 56352	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3FEWX|4BEXP|5DMG|6AEFRZ|7AART|8VULN|9aRCR
28	33621 16352	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3DMG|4FEWX|5DUST|6RCVC|7AART|8VULN|9aRCR
29	33821 16352	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3BEXP|4DMG|5DUST|6RCVC|7AART|8VULN|9aRCR
30	51161 23413	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2BBNT|3VULN|4DMG|5MDPS|6LHND|7DUR|8aRCR|9BEXP
31	33121 56352	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1DMSP|2MBVNT|3FEWX|4DMG|5DUST|6AEFRZ|7AART|8VULN|9aRCR
32	33124 62452	 * 	234.50	DCR|DCR|2DMG|2AART	1DMSP|2MBVNT|37FEWX|47DMG|58AART|6MDPS|7BPWR|9aRCR
33	33624 62452	   	234.50	DCR|DCR|2DMG|2AART	1DMSP|2MBVNT|37DMG|47FEWX|58AART|6MDPS|7BPWR|9aRCR
34	21164 52213	 * 	233.98	DCR|2VULN|2FLTARM|2MLV|1CDMG	17BEXP|2BBNT|39VULN|47MLV|57FLTARM|6RCVC|7BPWR|8RCR|aCDMG
35	11111 66221	 * 	233.64	DCR|4VULN|2FLTARM	1aLWND|2BBNT|345aVULN|6RPLT|7TBNT|8RCR|9aFLTARM|aBPWR
36	14111 66221	   	233.64	DCR|4VULN|2FLTARM	1aLWND|2TBNT|345aVULN|6RPLT|7BBNT|8RCR|9aFLTARM|aBPWR
37	21111 66221	   	233.64	DCR|4VULN|2FLTARM	1aBEXP|2BBNT|345aVULN|6RPLT|7TBNT|8RCR|9aFLTARM|aBPWR
38	24111 66221	   	233.64	DCR|4VULN|2FLTARM	1aBEXP|2TBNT|345aVULN|6RPLT|7BBNT|8RCR|9aFLTARM|aBPWR
