0	Index      	 *	Score 	Summary	Detail	
1	14211 11362	 * 	279.01	DCR|3VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4DUST|56MLV|789VULN|8BPWR|aRCR
2	51512 46123	 * 	276.40	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|2TLV|3MBVNT|4DMG|5CDMG|6VULN|7aRCR|8BOSS|9DUR
3	21512 66123	   	276.30	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2TLV|3MBVNT|4DMG|5CDMG|6VULN|7aRCR|8BOSS|9DUR
4	54131 22114	 * 	271.05	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|24VULN|34RAT|4BPWR|5MLV|6aRCR|7LIT|8TLV|9RMIN
5	24131 22114	   	270.95	DCR|DCR|2VULN|1TLV|1MLV	1ERES|24VULN|34RAT|4BPWR|5MLV|6aRCR|7LIT|8TLV|9RMIN
6	24113 26612	 * 	264.61	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV	1ERES|2VULN|3RAT|4TBNT|5ZMB|69RCR|7MLV|8FLTARM|aDMG
7	51542 46123	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CGEN|2TLV|3MBVNT|4ASPD|5CDMG|6VULN|7aRCR|8BOSS|9DUR
8	21542 66123	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1ERES|2TLV|3MBVNT|4ASPD|5CDMG|6VULN|7aRCR|8BOSS|9DUR
9	51512 46333	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CGEN|2TLV|3MBVNT|4DMG|5CDMG|6VULN|7aRCR|8LWND|9LIT
10	21512 46113	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2TLV|3MBVNT|4DMG|5CDMG|6LHND|7aRCR|8BOSS|9VULN
11	21512 46733	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2TLV|3MBVNT|4DMG|5CDMG|6LHND|7aRCR|8VULN|9LIT
12	21512 56113	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2TLV|3MBVNT|4DMG|5CDMG|6LWND|7aRCR|8BOSS|9VULN
13	21512 66333	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2TLV|3MBVNT|4DMG|5CDMG|6VULN|7aRCR|8LWND|9LIT
14	21515 16423	   	262.41	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1SELL	1ERES|2TLV|3MBVNT|4DMG|5VULN|6BOSS|7SELL|8aRCR|9DUR
15	24112 22612	 * 	262.08	DCR|DCR|2VULN|1FLTARM	1ERES|2aVULN|3RAT|4TBNT|5ASPD|69RCR|7CGEN|8FLTARM
16	54112 22612	   	262.08	DCR|DCR|2VULN|1FLTARM	1CGEN|2aVULN|3RAT|4TBNT|5ASPD|69RCR|7ERES|8FLTARM
17	21525 27242	 * 	261.82	DCR|DCR|2TLV|1VULN|1MLV	1ERES|28TLV|3MBVNT|4MLV|5VULN|6ASPD|79RCR|aCGEN
18	21525 27244	   	261.82	DCR|DCR|2TLV|1VULN|1MLV	1ERES|28TLV|3MBVNT|4MLV|5VULN|6ASPD|79RCR|aBEXP
19	21525 27241	   	261.72	DCR|DCR|2TLV|1VULN|1MLV	1ERES|28TLV|3MBVNT|4MLV|5VULN|6ASPD|79RCR|aMDPS
20	21525 27243	   	261.72	DCR|DCR|2TLV|1VULN|1MLV	1ERES|28TLV|3MBVNT|4MLV|5VULN|6ASPD|79RCR|aFLTHEA
21	16222 65312	 * 	259.59	DCR|DCR|2TLV|2DUR|3CDMG	1RPLT|2DMSP|39DUR|459CDMG|6aRCR|79TLV|8TBNT|9BPWR
22	14221 11311	   	256.97	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4BEXP|56MLV|78VULN|8BPWR|9BELT|aRCR
