0	Index      	 *	Score 	Summary	Detail	
1	22121 15672	 * 	291.88	DCR|DCR|2VULN|2TLV|2DUR	1BOSS|2MBVNT|38VULN|4LIT|58TLV|6aRCR|78DUR|8BPWR|9FEWX
2	31125 21242	 * 	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aCGEN
3	31125 21244	   	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aBEXP
4	31125 21246	   	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aLHND
5	31162 11242	   	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aCGEN
6	31162 11244	   	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aBEXP
7	31162 11246	   	288.98	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aLHND
8	31125 21241	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aTBNT
9	31125 21243	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aDUST
10	31125 21245	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|357VULN|4AART|679DUR|79BPWR|89DMG|aERES
11	31162 11241	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aTBNT
12	31162 11243	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aDUST
13	31162 11245	   	288.88	ACR|3VULN|3FLTARM|3DUR|2DMG|1AART	1RCR|279FLTARM|367VULN|479DUR|5AART|79BPWR|89DMG|aERES
14	31225 11243	 * 	284.24	ACR|4VULN|3FLTARM|2DMG|1DUR|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aDUR
15	31123 35523	 * 	283.52	ACR|DCR|2VULN|2FLTARM|2DUR|1AART	1aRCR|28FLTARM|38VULN|4AART|5RPLT|68DUR|7BOSS|8BPWR|9BEXP
16	31123 35543	   	283.52	ACR|DCR|2VULN|2FLTARM|2DUR|1AART	1aRCR|28FLTARM|38VULN|4AART|5RPLT|68DUR|7BOSS|8BPWR|9FEWX
17	22123 15672	 * 	283.24	DCR|DCR|2VULN|2MLV|2DUR	1BOSS|2MBVNT|38VULN|4LIT|58MLV|6aRCR|78DUR|8BPWR|9FEWX
18	31122 13653	 * 	279.45	ACR|DCR|3VULN|2FLTARM|1AART	1aRCR|28FLTARM|368VULN|4AART|58LIT|7RPLT|8BPWR|9MDPS
19	22121 13662	   	279.23	DCR|DCR|2VULN|2TLV|1DUR	1BOSS|2MBVNT|38VULN|4LIT|58TLV|6aRCR|78DUST|8BPWR|9DUR
20	22421 17662	   	279.23	DCR|DCR|2VULN|2TLV|1DUR	1BOSS|2MBVNT|38DUST|4LIT|58TLV|6aRCR|78VULN|8BPWR|9DUR
21	31225 11242	   	270.59	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aCGEN
22	31625 11241	   	270.59	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|3AART|47BEXP|5679VULN|79BPWR|89DMG|aLHND
23	22123 13662	   	270.59	DCR|DCR|2VULN|2MLV|1DUR	1BOSS|2MBVNT|38VULN|4LIT|58MLV|6aRCR|78DUST|8BPWR|9DUR
24	22423 17662	   	270.59	DCR|DCR|2VULN|2MLV|1DUR	1BOSS|2MBVNT|38DUST|4LIT|58MLV|6aRCR|78VULN|8BPWR|9DUR
25	31125 21542	 * 	270.49	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3579VULN|4AART|679DUR|79BPWR|8RMIN|aCGEN
26	31162 11542	   	270.49	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3679VULN|479DUR|5AART|79BPWR|8RMIN|aCGEN
27	31225 11241	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aLEGI
28	31225 11244	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aMSLFST
29	31225 11245	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aAEFBLL
30	31225 11246	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|37LWND|4AART|5679VULN|79BPWR|89DMG|aAETHUN
31	31625 11242	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|3AART|47BEXP|5679VULN|79BPWR|89DMG|aBASHEA
32	31625 11243	   	270.49	ACR|4VULN|3FLTARM|2DMG|1AART	1RCR|279FLTARM|3AART|47BEXP|5679VULN|79BPWR|89DMG|aBASARM
33	31125 21541	   	270.39	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3579VULN|4AART|679DUR|79BPWR|8RMIN|aTBNT
34	31125 21543	   	270.39	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3579VULN|4AART|679DUR|79BPWR|8RMIN|aDUST
35	31162 11541	   	270.39	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3679VULN|479DUR|5AART|79BPWR|8RMIN|aTBNT
36	31162 11543	   	270.39	ACR|4VULN|3FLTARM|3DUR|1AART	1RCR|279FLTARM|3679VULN|479DUR|5AART|79BPWR|8RMIN|aDUST
37	31125 41241	   	269.61	ACR|3VULN|2FLTARM|3DUR|2DMG|1AART	1RCR|29FLTARM|356VULN|4AART|79aDUR|89DMG|9BPWR
38	15354 13232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG|1NUKE	1LWND|2TLV|34VULN|5LIT|6RCVC|7aRCR|8CDMG|9NUKE
39	15354 33232	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG|1NUKE	1LWND|2TLV|34VULN|56LIT|7aRCR|8CDMG|9NUKE
40	22121 17162	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2MBVNT|37VULN|4LIT|5TLV|6aRCR|8BEXP|9DUR
41	22121 17562	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2MBVNT|37VULN|4LIT|5TLV|6aRCR|8DUST|9DUR
42	31125 21216	 * 	266.68	ACR|3VULN|2FLTARM|2DUR|2AART|1DMG|1AAC	1RCR|27FLTARM|357VULN|49AART|67DUR|7BPWR|8DMG|aAAC
43	31125 21221	 * 	266.68	ACR|4VULN|2FLTARM|2DUR|1DMG|1AART	1RCR|27FLTARM|357aVULN|4AART|67DUR|7BPWR|8DMG|9ASPD
44	31162 11216	   	266.68	ACR|3VULN|2FLTARM|2DUR|2AART|1DMG|1AAC	1RCR|27FLTARM|367VULN|47DUR|59AART|7BPWR|8DMG|aAAC
45	31162 11221	   	266.68	ACR|4VULN|2FLTARM|2DUR|1DMG|1AART	1RCR|27FLTARM|367aVULN|47DUR|5AART|7BPWR|8DMG|9ASPD
46	22121 44672	   	265.78	DCR|DCR|2VULN|2TLV	1BOSS|2MBVNT|38VULN|4LIT|58TLV|68LHND|7aRCR|8BPWR|9FEWX
47	22133 84672	   	265.78	DCR|DCR|2VULN|2TLV	1BOSS|2MBVNT|38VULN|4LHND|58TLV|68LIT|7aRCR|8BPWR|9FEWX
48	22121 13682	   	265.58	DCR|DCR|2VULN|2TLV	1BOSS|2MBVNT|38VULN|4LIT|58TLV|6aRCR|78DUST|8BPWR|9FEWX
49	22421 17682	   	265.58	DCR|DCR|2VULN|2TLV	1BOSS|2MBVNT|38DUST|4LIT|58TLV|6aRCR|78VULN|8BPWR|9FEWX
50	22121 17472	   	265.48	DCR|DCR|2VULN|2TLV	1BOSS|2MBVNT|37VULN|4LIT|59TLV|6aRCR|8MDPS
51	31632 41243	   	264.87	ACR|3VULN|3FLTARM|2DMG|1DUR|1AART|1AAC	1RCR|279FLTARM|3AART|4AAC|57ERES|679VULN|79BPWR|89DMG|aDUR
52	31125 21211	 * 	264.48	ACR|3VULN|2FLTARM|3DUR|2AART|1DMG	1RCR|27FLTARM|357VULN|49AART|67aDUR|7BPWR|8DMG
53	31162 11211	   	264.48	ACR|3VULN|2FLTARM|3DUR|2AART|1DMG	1RCR|27FLTARM|367VULN|47aDUR|59AART|7BPWR|8DMG
54	12354 13242	 * 	262.85	DCR|DCR|2VULN|1DMG|1CDMG	1LWND|2RMIN|34VULN|5LIT|6RCVC|7aRCR|8CDMG|9DMG
55	12354 33242	   	262.85	DCR|DCR|2VULN|1DMG|1CDMG	1LWND|2RMIN|34VULN|56LIT|7aRCR|8CDMG|9DMG
56	23213 63242	   	262.85	DCR|DCR|2VULN|1DMG|1CDMG	1BOSS|2DMSP|35VULN|4LWND|6CGEN|7aRCR|8CDMG|9DMG
57	53311 33242	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	1AEBURN|2LHND|35VULN|4ERES|6LIT|7aRCR|8CDMG|9DMG
