0	Index      	 *	Score 	Summary	Detail	
1	25632 31341	 * 	270.98	DCR|3VULN|2FLTARM|2TLV|3ASPD	17aASPD|27TLV|36aVULN|4AME|57FLTARM|7aBPWR|8aMSLFST|9RCR
2	25632 12341	   	264.57	DCR|3VULN|2FLTARM|2TLV|2ASPD	1aASPD|26TLV|37aVULN|4AME|56FLTARM|6aBPWR|8aMSLFST|9RCR
3	25632 31342	   	264.57	DCR|3VULN|2FLTARM|2TLV|2ASPD	17ASPD|27TLV|36aVULN|4AME|57FLTARM|7BPWR|8MSLFST|9RCR
4	25632 12342	   	257.85	DCR|3VULN|2FLTARM|2TLV	1ASPD|26TLV|37aVULN|4AME|56FLTARM|6BPWR|8MSLFST|9RCR
5	41132 21522	 * 	256.44	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1AAC	1LWND|2FEWX|3AART|4LIT|5VULN|6TLV|7CDMG|8aRCR|9AAC
6	25331 21223	 * 	253.12	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|36BOSS|4BPWR|5RCVC|7LWND|8aRCR|9VULN
7	25331 23613	   	253.12	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|36BOSS|4BPWR|5RCVC|7aRCR|8VULN|9LHND
8	25331 23633	   	253.12	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|36BOSS|4BPWR|5RCVC|7aRCR|8VULN|9BEXP
9	25331 24223	   	253.12	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|36BOSS|4BPWR|5RCVC|7BEXP|8aRCR|9VULN
10	25331 23323	   	253.02	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|36BOSS|4BPWR|5RCVC|7aRCR|8DUST|9VULN
11	25331 46223	   	253.02	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|3BOSS|4BPWR|5RCVC|6LWND|7AEBURN|8aRCR|9VULN
12	25333 66213	   	253.02	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|3BOSS|4BPWR|59LHND|6VULN|7AEPOI|8aRCR
13	25334 16223	   	253.02	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|3BOSS|4BPWR|5FEWX|6RCVC|7AEBURN|8aRCR|9VULN
14	25331 66223	   	252.92	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|3BOSS|4BPWR|5RCVC|6DUST|7AEBURN|8aRCR|9VULN
15	25333 66223	   	252.92	DCR|DCR|2TLV|1VULN|2ASPD	14ASPD|24TLV|3BOSS|4BPWR|5LHND|6VULN|7AEPOI|8aRCR|9AEFBLL
16	25632 32341	 * 	251.16	DCR|4VULN|1FLTARM|1TLV|2ASPD	1aASPD|2TLV|367aVULN|4AME|5FLTARM|8aMSLFST|9RCR|aBPWR
17	22215 64131	 * 	244.55	DCR|4VULN|2DUR|1TLV	1ASPD|26DUR|3FEWX|4AME|568aVULN|6BPWR|7TLV|9RCR
18	26212 64131	   	244.55	DCR|4VULN|2DUR|1TLV	1ASPD|268aVULN|3FEWX|4AME|56DUR|6BPWR|7TLV|9RCR
19	25632 32342	   	244.45	DCR|4VULN|1FLTARM|1TLV	1ASPD|2TLV|367aVULN|4AME|5FLTARM|8MSLFST|9RCR
20	21332 26443	 * 	243.29	DCR|DCR|1VULN|1DMG|1DUR	1ASPD|2MSLFST|3RPLT|4AME|5MDPS|67RCR|8DUR|9DMG|aVULN
21	21116 64332	 * 	242.76	ACR|DCR|2DMG|1VULN|1MLV|1AART	1ASPD|2MSLFST|3LHND|48RCR|5aDMG|6AART|7MLV|9VULN
22	25361 15223	   	242.69	DCR|DCR|1VULN|1TLV|2ASPD	15ASPD|2TLV|3BOSS|47BEXP|6RCVC|8aRCR|9VULN
23	25632 31343	   	242.43	DCR|2VULN|2FLTARM|2TLV|2ASPD	17ASPD|27TLV|36VULN|4AME|57FLTARM|7BPWR|8MSLFST|9RCR|aRPLT
24	25632 31216	   	242.28	DCR|2VULN|2FLTARM|2TLV|2ASPD|1SELL	17ASPD|27TLV|36VULN|4AME|57FLTARM|7BPWR|8SELL|9RMIN|aRCR
25	25632 31226	   	242.28	DCR|2VULN|2FLTARM|2TLV|2ASPD|1SELL	17ASPD|27TLV|36VULN|4AME|57FLTARM|7BPWR|8SELL|9CGEN|aRCR
