0	Index      	 *	Score 	Summary	Detail	
1	31153 12526	 * 	255.04	DCR|DCR|2VULN|1TLV	1ZMB|2FEWX|39VULN|4LSRHEA|5ERES|6TLV|7MDPS|8aRCR
2	34123 31312	 * 	252.16	DCR|4VULN|1TLV|1DMG|1AART	1ZMB|237aVULN|4ASPD|5DMG|6AART|8RCR|9TLV
3	46123 31312	   	252.16	DCR|4VULN|1TLV|1DMG|1AART|1AAC	137aVULN|2AAC|4ASPD|5DMG|6AART|8RCR|9TLV
4	31133 36536	 * 	251.18	DCR|DCR|3VULN	1ZMB|2FEWX|368VULN|4LWND|5BOSS|7TSLFST|9aRCR
5	46113 34633	   	251.08	DCR|DCR|3VULN|1AAC	139VULN|2AAC|49VENFST|59BEXP|6MBVNT|7TBNT|8aRCR|9BPWR
6	34133 31312	 * 	250.04	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aDUR
7	34133 31315	   	250.04	DCR|3VULN|2TLV|1DMG|1AART|1CDMG	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aCDMG
8	46133 31312	   	250.04	DCR|3VULN|2TLV|1DMG|1DUR|1AART|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aDUR
9	46133 31315	   	250.04	DCR|3VULN|2TLV|1DMG|1AART|1CDMG|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aCDMG
10	21642 31361	 * 	249.00	DCR|DCR|1VULN|2DUR|1DMG	1aDUR|2BBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR
11	23642 31361	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1aDUR|2TBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR
12	21242 31361	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1aDUR|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR
13	23242 31361	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1aDUR|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR
14	34123 31315	   	246.64	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1ZMB|237VULN|4ASPD|5DMG|6AART|8RCR|9TLV|aCDMG
15	46123 31315	   	246.64	DCR|3VULN|1TLV|1DMG|1AART|1CDMG|1AAC	137VULN|2AAC|4ASPD|5DMG|6AART|8RCR|9TLV|aCDMG
16	34133 31356	   	245.12	DCR|4VULN|1TLV|1DMG|1AART	1ZMB|237aVULN|4TLV|5DMG|6AART|8RCR|9ERES
17	34112 41236	   	244.64	DCR|DCR|2VULN|1MLV	1ZMB|23VULN|4VENFST|5LWND|6BOSS|7MLV|8RMIN|9aRCR
18	34113 41236	   	244.64	DCR|DCR|2VULN|1MLV	1ZMB|23VULN|4VENFST|5BEXP|6BOSS|7MLV|8RMIN|9aRCR
19	52233 32316	   	243.40	DCR|2VULN|2TLV|1DMG|1MLV|1DUR|1AART	1LEGI|2aAEBURN|3MLV|4aTLV|5DMG|6AART|7RCR|8DUR|9aVULN|aBPWR
