0	Index      	 *	Score 	Summary	Detail	
1	62243 32234	 * 	196.84	ACR|3VULN|3DMG|1AART	128DUST|28aBPWR|3RCR|489DMG|5RPLT|6AART|78aVULN
2	62243 32224	 * 	194.84	ACR|3VULN|2DMG|1AART|1CDMG	128DUST|28BPWR|3RCR|48DMG|5RPLT|6AART|78aVULN|9CDMG
3	23666 21133	   	194.72	ACR|3VULN|2DMG|1AART|2DUR	1aCANHEL|2RCR|35aVULN|45DUR|5aBPWR|6RPLT|7ERES|8AART|9aDMG
4	23462 34463	   	194.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	19CANHEL|2RCR|3AART|49DMG|5CDMG|6MBVNT|7BEXP|89VULN|9BPWR|aZMB
5	62225 51111	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	127DUST|27BPWR|3RCR|457VULN|67DMG|8LWND|9AART|aCDMG
6	23462 34461	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19CANHEL|2RCR|3AART|49DMG|5CDMG|6MBVNT|7BEXP|89VULN|9BPWR|aDUR
7	23626 21133	   	189.33	ACR|3VULN|2DMG|1AART|1DUR	1aCANHEL|2RCR|34aVULN|5DUR|6RPLT|7ERES|8AART|9aDMG|aBPWR
8	62243 32231	   	188.13	ACR|3DMG|2VULN|1AART|1ASPD	128DUST|28BPWR|3RCR|489DMG|5RPLT|6AART|78VULN|aASPD
9	62243 32233	   	188.13	ACR|3DMG|2VULN|1AART|1DUR	128DUST|28BPWR|3RCR|489DMG|5RPLT|6AART|78VULN|aDUR
10	62225 51133	   	185.73	ACR|3VULN|2DMG|1AART|1DUR	127DUST|27BPWR|3RCR|457VULN|67DMG|8LWND|9DUR|aAART
11	62241 61312	   	185.63	ACR|3DMG|2VULN|1AART|1ASPD	127DUST|27BPWR|3RCR|467DMG|57VULN|8MBVNT|9ASPD|aAART
12	23411 14353	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3AART|4LWND|5DUR|6CDMG|78VULN|9ZMB|aDMG
13	23416 11353	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3AART|4LWND|58VULN|6CDMG|7DUR|9ZMB|aDMG
14	23421 14353	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3AART|4FEWX|5DUR|6CDMG|78VULN|9ZMB|aDMG
15	23426 11353	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3AART|4FEWX|58VULN|6CDMG|7DUR|9ZMB|aDMG
16	33241 63142	 * 	183.44	ACR|4VULN|2DMG|1CDMG	1CGEN|2RMIN|3RCR|46DMG|578aVULN|9CDMG
17	62225 51221	   	183.34	ACR|4VULN|2DMG|1CDMG	127DUST|27BPWR|3RCR|4578VULN|67DMG|9LIT|aCDMG
18	23462 34462	   	183.28	ACR|2VULN|2DMG|1AART|1CDMG	19CANHEL|2RCR|3AART|49DMG|5CDMG|6MBVNT|7BEXP|89VULN|9BPWR|aERES
19	23462 34464	   	183.28	ACR|2VULN|2DMG|1AART|1CDMG	19CANHEL|2RCR|3AART|49DMG|5CDMG|6MBVNT|7BEXP|89VULN|9BPWR|aTLV
20	62243 32251	   	182.79	ACR|3VULN|2DMG|1AART	128DUST|28BPWR|3RCR|48DMG|5RPLT|6AART|78aVULN|9RCVC
21	23326 11353	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CANHEL|2RCR|3FEWX|48VULN|5AART|6CDMG|7DUR|9ZMB|aDMG
22	62225 51213	 * 	182.51	ACR|5VULN|2DMG	127DUST|27BPWR|3RCR|4578aVULN|67DMG|9LWND
23	23463 33513	   	181.97	ACR|2VULN|2DMG|1AART|2DUR	1aCANHEL|2RCR|3AART|4aDMG|5RPLT|68DUR|7ERES|9aVULN|aBPWR
