0	Index      	 *	Score 	Summary	Detail	
1	13365 62313	 * 	214.78	DCR|3VULN|3DMG|1AART|2ZMB	1AART|2BELT|38aLWND|478VULN|58aDMG|6RCR|8aBPWR|9aZMB
2	13165 62311	   	210.72	DCR|3VULN|3DMG|1AART|1ZMB	1AART|2BELT|38LHND|478VULN|58aDMG|6RCR|8BPWR|9ZMB
3	13365 62311	   	210.72	DCR|3VULN|3DMG|1AART|1ZMB	1AART|2BELT|38LWND|478VULN|58aDMG|6RCR|8BPWR|9ZMB
4	61444 23355	 * 	203.75	ACR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59aVULN|69CDMG|7LEGI|8AART|9BPWR
5	11163 63322	 * 	203.10	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|25RCVC|37DMG|47CDMG|67VULN|7BPWR|8ZMB|9DUR|aRCR
6	61444 87141	 * 	201.02	ACR|3VULN|3DMG|1CDMG|2DUR	1MBVNT|2RCVC|3RCR|468DMG|589VULN|78DUR|8BPWR|aCDMG
7	13165 62331	   	199.72	DCR|3VULN|3DMG|1AART	1AART|2BELT|38LHND|478VULN|58aDMG|6RCR|8BPWR|9CGEN
8	13365 62331	   	199.72	DCR|3VULN|3DMG|1AART	1AART|2BELT|38LWND|478VULN|58aDMG|6RCR|8BPWR|9CGEN
9	65244 34162	 * 	198.87	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|238VULN|38BPWR|48CDMG|5AART|68DMG|7BELT|9ASPD|aRCR
10	61444 44178	 * 	198.35	ACR|3VULN|3DMG|1AART	1MBVNT|2RCVC|3RCR|489DMG|578VULN|68FEWX|8BPWR|aAART
11	13165 62321	 * 	198.17	DCR|4VULN|2DMG|1AART	1AART|2BELT|38LHND|478aVULN|58DMG|6RCR|8BPWR|9BEXP
12	13365 62321	   	198.17	DCR|4VULN|2DMG|1AART	1AART|2BELT|38LWND|478aVULN|58DMG|6RCR|8BPWR|9BEXP
13	11163 63332	   	196.16	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|25RCVC|37DMG|47CDMG|67VULN|7BPWR|8ZMB|9LWND|aRCR
14	61447 71134	 * 	195.30	ACR|3VULN|3DMG|2CDMG	1MBVNT|2RCVC|3RCR|48aDMG|568LWND|78aVULN|8aBPWR|9aCDMG
15	13165 62312	   	195.07	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2BELT|38LHND|478VULN|58DMG|6RCR|8BPWR|9ZMB|aLWND
16	13365 62312	   	195.07	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2BELT|38aLWND|478VULN|58DMG|6RCR|8BPWR|9ZMB
17	13165 62313	   	194.97	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2BELT|38LHND|478VULN|58DMG|6RCR|8BPWR|9ZMB|aERES
18	42541 12221	   	193.49	ACR|3VULN|2DMG|1AART|1ZMB	1RPLT|2ZMB|3RCR|4AART|57aVULN|6FEWX|89DMG
19	65244 34142	   	191.93	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|238VULN|38BPWR|48CDMG|5AART|68DMG|7BELT|9RMIN|aRCR
20	65244 34152	   	191.83	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|238VULN|38BPWR|48CDMG|5AART|68DMG|7BELT|9ERES|aRCR
21	65244 34182	   	191.83	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|238VULN|38BPWR|48CDMG|5AART|68DMG|7BELT|9TLV|aRCR
22	61444 87134	 * 	191.19	ACR|3VULN|3DMG|3DUR	1MBVNT|2RCVC|3RCR|468DMG|58aVULN|789DUR|8BPWR
23	61444 87144	   	191.19	ACR|3VULN|3DMG|3DUR	1MBVNT|2RCVC|3RCR|468DMG|589VULN|78aDUR|8BPWR
24	61442 88112	   	190.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2RCVC|3RCR|48DMG|5BELT|68DUR|78VULN|8BPWR|9ZMB|aAART
25	16333 34411	   	190.01	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|58VULN|6RCR|79DMG|aRCVC
26	61444 83138	   	189.63	ACR|3DMG|2VULN|1AART	1MBVNT|2RCVC|3RCR|468DMG|58VULN|78LWND|8BPWR|9DUR|aAART
27	65244 13631	   	189.32	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|238VULN|38BPWR|4CDMG|5AART|68MLV|78DMG|9RCR|aRCVC
28	61444 23358	   	189.27	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aRCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR
29	61444 87132	   	189.19	ACR|3DMG|2VULN|3DUR|1CDMG	1MBVNT|2RCVC|3RCR|468DMG|58VULN|789DUR|8BPWR|aCDMG
30	61444 44171	   	188.79	ACR|3VULN|3DMG|1CDMG	1MBVNT|2RCVC|3RCR|489DMG|578VULN|68FEWX|8BPWR|aCDMG
31	16333 32221	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|5aVULN|6RCR|7FEWX|89DMG
32	16333 34221	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|5aVULN|6RCR|79DMG|8LHND
33	16333 34321	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|5aVULN|6RCR|79DMG|8LWND
34	16333 34412	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|58VULN|6RCR|79DMG|aCGEN
35	16333 34413	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|58VULN|6RCR|79DMG|aLWND
36	16333 36221	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3CDMG|4ASPD|5aVULN|6RCR|7BEXP|89DMG
37	61444 23351	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR|aLWND
38	61444 23352	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR|aCGEN
39	61444 23353	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR|aFEWX
40	61444 23354	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR|aMGNSTR
41	61444 23356	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3RCR|49DMG|59VULN|69CDMG|7LEGI|8AART|9BPWR|aBEXP
42	65244 13632	   	188.02	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|238VULN|38BPWR|4CDMG|5AART|68MLV|78DMG|9RCR|aCGEN
43	65244 13633	   	188.02	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|238VULN|38BPWR|4CDMG|5AART|68MLV|78DMG|9RCR|aLWND
44	65244 13634	   	187.92	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|238VULN|38BPWR|4CDMG|5AART|68MLV|78DMG|9RCR|aERES
45	61444 87142	   	187.37	ACR|3VULN|3DMG|2DUR	1MBVNT|2RCVC|3RCR|468DMG|589VULN|78DUR|8BPWR|aLHND
46	61444 87143	   	187.37	ACR|3VULN|3DMG|2DUR	1MBVNT|2RCVC|3RCR|468DMG|589VULN|78DUR|8BPWR|aLWND
47	61444 87111	   	187.27	ACR|3VULN|3DMG|2DUR	1MBVNT|2RCVC|3RCR|468DMG|58aVULN|78DUR|8BPWR|9DUST
48	61448 23721	 * 	187.27	ACR|3DMG|1AART|3ASPD|2CDMG	1MBVNT|2RCVC|3RCR|48aDMG|58TLV|6AART|78aASPD|8aBPWR|9aCDMG
49	16333 33414	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DUST|3CDMG|4ASPD|58aVULN|6RCR|7CGEN|9DMG
50	16333 34431	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DUST|3CDMG|4ASPD|58aVULN|6RCR|7DMG|9LHND
51	61444 87131	   	186.54	ACR|3DMG|2VULN|3DUR|1ZMB	1MBVNT|2RCVC|3RCR|468DMG|58VULN|789DUR|8BPWR|aZMB
52	61441 21331	   	186.39	ACR|3VULN|2DMG|2CDMG	1MBVNT|2RCVC|3RCR|4aDMG|5aCDMG|6LHND|7ASPD|89aVULN|aBPWR
53	65543 41223	   	185.79	ACR|3VULN|2DMG|1AART|1ZMB	1MBVNT|27aVULN|3BEXP|47FEWX|5RCR|67DMG|7BPWR|8ZMB|9AART
