0	Index      	 *	Score 	Summary	Detail	
1	15236 41122	 * 	187.88	DCR|4VULN|1AART|2CDMG|1ZMB	1aLWND|2ZMB|3AART|458aVULN|6aCDMG|7RCR|9BELT|aBPWR
2	15236 62231	 * 	184.83	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3AART|457VULN|6MBVNT|8RCR|9DMG|aCDMG
3	15236 41332	   	180.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	1LWND|2ZMB|3AART|45aVULN|69CDMG|7RCR|8DUR
4	15263 31122	 * 	179.82	DCR|3VULN|1AART|3CDMG|1ZMB	1aLWND|2ZMB|3AART|46aCDMG|58aVULN|7RCR|9BELT|aBPWR
5	15236 41322	   	179.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1LWND|2ZMB|3AART|45aVULN|6CDMG|7RCR|89DUR
6	21318 34288	 * 	179.04	DCR|3DMG|1AART|1VULN|2CDMG	1RCVC|2MBVNT|3RPLT|47aDMG|5AART|67CDMG|7BPWR|8RCR|9VULN
7	14223 11356	   	178.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2BEXP|3AART|4DUR|579VULN|6RCR|8DMG|aASPD
8	13223 11356	   	178.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2DUST|3AART|4DUR|579VULN|6RCR|8DMG|aASPD
9	15236 41211	   	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2ZMB|3AART|45VULN|6CDMG|7RCR|8DMG|9CGEN|aDUR
10	15236 41231	   	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|45VULN|6CDMG|7RCR|8DMG|9LHND|aASPD
11	15236 41221	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2ZMB|3AART|45VULN|6CDMG|7RCR|8DMG|9ERES|aDUR
12	15263 31126	 * 	177.99	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1LWND|2ZMB|3AART|46CDMG|58VULN|7RCR|9BELT|aDMG
13	15263 31234	   	177.99	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1LWND|2ZMB|3AART|46CDMG|5aVULN|7RCR|8DMG|9LHND
14	15236 32115	 * 	177.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2ZMB|3AART|45VULN|6ASPD|7CANSTR|8aDMG|9RCR
15	15521 21121	   	177.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LWND|2ZMB|39DMG|4CGEN|5AART|6CDMG|7RCR|8VULN|aDUR
16	55521 21121	   	177.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2ZMB|39DMG|4CGEN|5AART|6CDMG|7RCR|8VULN|aDUR
17	21313 67334	 * 	177.37	DCR|3VULN|3DMG|1CDMG	1RCVC|2MBVNT|3RPLT|467DMG|578VULN|7BPWR|9RCR|aCDMG
18	15235 22231	   	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|47VULN|5ASPD|6MLV|8RCR|9DMG|aCDMG
19	15236 34231	   	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|45VULN|6ASPD|7CGEN|8RCR|9DMG|aCDMG
20	15235 12231	   	176.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|47VULN|5ASPD|6TLV|8RCR|9DMG|aCDMG
21	15236 31231	   	176.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|45VULN|6ASPD|7ERES|8RCR|9DMG|aCDMG
22	15236 32112	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2ZMB|3AART|45aVULN|6ASPD|7CANSTR|8DMG|9RCR
