0	Index      	 *	Score 	Summary	Detail	
1	12625 11511	 * 	185.95	DCR|2VULN|3ZMB|1AART|1DMG|2DUR	134ZMB|24DUR|4BPWR|59VULN|6RCR|7LIT|8DMG|aAART
2	12621 13634	 * 	184.87	DCR|2VULN|2DMG|3ZMB|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8aVULN|9ASPD
3	48131 13438	 * 	184.32	DCR|3DMG|2VULN|1AART|2ASPD	1MBVNT|28LWND|39VULN|48ASPD|568DMG|7AART|8BPWR|aRCR
4	42136 43483	 * 	183.60	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|2RMIN|358VULN|48DUR|6AART|78DMG|8BPWR|9LHND|aRCR
5	12621 13621	 * 	183.55	DCR|2DMG|3ZMB|1AART|1VULN|2DUR	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9LIT|aAART
6	12621 13624	 * 	181.95	DCR|2VULN|2DMG|3ZMB|3DUR	134ZMB|24aDUR|4aBPWR|56DMG|7RCR|8aVULN|9aLIT
7	13621 13653	 * 	181.35	DCR|3DMG|2VULN|3ZMB	134ZMB|24BEXP|4BPWR|56aDMG|7RCR|89VULN
8	12625 13262	 * 	180.13	DCR|2VULN|3ZMB|1AART|1CDMG|2DUR	134ZMB|24DUR|4BPWR|5aVULN|6RCR|7CGEN|8CDMG|9AART
9	44522 71224	 * 	179.07	ACR|3VULN|3DMG|2DUR	1MBVNT|289LIT|3aDUR|4RPLT|5RCR|69aVULN|79aDMG|9aBPWR
10	12643 18132	 * 	178.77	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2DUR|4MBVNT|5aVULN|6DMG|7RCR|8CDMG|9AART
11	42123 44538	   	178.37	DCR|3VULN|2DMG|1AART	1MBVNT|2RMIN|358VULN|4RCVC|6AART|7RCR|9aDMG
12	12621 13614	   	177.93	DCR|2VULN|2DMG|3ZMB|2DUR	134ZMB|24DUR|4BPWR|56DMG|7RCR|8aVULN|9RMIN
13	48131 13138	   	177.51	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|2LWND|39VULN|4ASPD|568DMG|7AART|aRCR
14	63323 21341	 * 	177.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|26AART|3ERES|4RCR|5ZMB|7ASPD|8DMG|9aVULN
15	63323 26112	 * 	177.33	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1BEXP|26AART|3ERES|4RCR|5ZMB|7VULN|8aDMG|9DUR
16	63323 26121	   	177.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|26AART|3ERES|4RCR|5ZMB|7aVULN|8DMG|9ASPD
17	63323 26352	   	177.33	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1BEXP|26AART|3ERES|4RCR|5ZMB|7VULN|8DUR|9aDMG
18	12621 14214	   	176.85	DCR|2DMG|3ZMB|1AART|1VULN|2DUR	134ZMB|24DUR|4BPWR|56DMG|7VULN|8VENICY|9AART|aRCR
19	12625 11513	 * 	176.39	DCR|2VULN|3ZMB|1DMG|1CDMG|2DUR	134ZMB|24DUR|4BPWR|59VULN|6RCR|7LIT|8DMG|aCDMG
20	23115 23344	 * 	175.51	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9AART|aASPD
21	55343 43424	 * 	175.12	DCR|4VULN|2AART|2ASPD	18ASPD|2578VULN|3RCVC|4MBVNT|6aAART|8BPWR|9RCR
22	12343 18132	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4MBVNT|5aVULN|6DMG|7RCR|8CDMG|9AART
23	12561 21232	   	174.89	DCR|2VULN|2DMG|3ZMB|1DUR|1SELL	178ZMB|2DUR|37DMG|4SELL|57CGEN|6RCR|7BPWR|9aVULN
24	12643 23474	   	174.68	DCR|2VULN|2DMG|3ZMB|1DUR|1ASPD	13aZMB|2DUR|4MBVNT|5aVULN|6DUST|7ASPD|8aDMG|9RCR|aBPWR
25	12542 61323	 * 	174.46	DCR|3DMG|1AART|2ZMB|2ASPD|2DUR	17ZMB|26DUR|378DMG|4RPLT|57ASPD|7BPWR|9RCR|aAART
26	12621 13623	 * 	173.99	DCR|2DMG|3ZMB|1VULN|1CDMG|2DUR	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9LIT|aCDMG
27	12621 12122	 * 	173.64	DCR|3DMG|3ZMB|1AART|2DUR	134ZMB|24DUR|4BPWR|568DMG|7AART|9ERES|aRCR
28	41531 12412	 * 	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MBVNT|2DUST|3ZMB|4DUR|56DMG|7AART|8RCR|9CDMG|aVULN
29	41531 12473	   	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MBVNT|2DUST|3ZMB|4DUR|56DMG|7AART|8RCR|9VULN|aCDMG
30	12621 35314	   	173.13	DCR|2VULN|2DMG|3ZMB|2DUR	134ZMB|24DUR|4BPWR|57DMG|6CGEN|8aVULN|9RCR
31	12623 15314	   	173.03	DCR|2VULN|2DMG|3ZMB|2DUR	134ZMB|24DUR|4BPWR|5ERES|67DMG|8aVULN|9RCR
32	43144 18472	 * 	172.96	DCR|2VULN|2DMG|2AART	1MBVNT|2FEWX|35VULN|4LHND|6aDMG|7RCR|89AART
33	13621 13634	   	172.64	DCR|2VULN|2DMG|3ZMB|1ASPD	134ZMB|24BEXP|4BPWR|56DMG|7RCR|8aVULN|9ASPD
34	13621 13652	   	172.64	DCR|2VULN|2DMG|3ZMB|1DUR	134ZMB|24BEXP|4BPWR|56DMG|7RCR|89VULN|aDUR
35	12621 14335	 * 	172.61	DCR|3DMG|3ZMB|1VULN|3DUR	134ZMB|248DUR|4BPWR|569DMG|7VULN|aRCR
36	43182 42242	 * 	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|24FEWX|37VULN|5CDMG|6aDMG|8RCR|9AART
37	42131 43681	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2RMIN|3aVULN|4DUR|5DMG|6AART|7ZMB|8CDMG|9RCR
