0	Index      	 *	Score 	Summary	Detail	
1	62162 74212	 * 	195.53	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|aDUR
2	62743 14132	 * 	192.32	DCR|3VULN|3DMG|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47aVULN|57ZMB|7BPWR|8LWND|9RCR
3	62182 47433	 * 	192.12	DCR|3DMG|2VULN|1AART|2ZMB	16aDMG|2MBVNT|3aZMB|4AART|5DUST|7MGNSTR|8RCR|9aVULN|aBPWR
4	62161 18433	 * 	191.57	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	16aDMG|2MBVNT|3ZMB|4RCR|59CDMG|7AART|8VULN
5	62162 74214	   	189.89	ACR|3VULN|2DMG|1AART|1ZMB	19DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|aRCVC
6	62161 18443	 * 	189.10	ACR|3DMG|1AART|1VULN|2ZMB|1CDMG	169DMG|2MBVNT|3aZMB|4RCR|5CDMG|7AART|8VULN
7	62162 74213	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	19DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|aCGEN
8	62162 74223	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|9LWND
9	62162 74233	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|9LHND
10	62162 74211	   	188.49	ACR|3VULN|2DMG|1AART|1ZMB	19DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|aDUST
11	63341 52313	   	188.16	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	18aDMG|2ZMB|3LHND|4RCR|5CDMG|6AART|7RCVC|9VULN
12	62181 27433	 * 	188.02	DCR|2AART|2VULN|2DMG|2ZMB	1aDMG|2MBVNT|3aZMB|46AART|5LWND|7MGNSTR|8RCR|9aVULN|aBPWR
13	62161 18113	   	187.16	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	16aDMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|8RCVC|9VULN
14	62161 18423	   	186.86	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	16aDMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|8VULN|9RCVC
15	62161 18334	   	186.86	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	168DMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|9RCVC|aVULN
16	62745 14443	 * 	186.02	DCR|3DMG|2VULN|1AART|1CDMG	16aDMG|2MBVNT|3CDMG|47VULN|5MLV|8AART|9RCR
17	63341 51333	 * 	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3LHND|4RCR|5CDMG|6AART|7FEWX|89aVULN
18	62161 18314	   	185.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	168DMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|9DMSP|aVULN
19	62161 18442	   	185.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	169DMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|8VULN|aCGEN
20	62161 18444	   	185.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	169DMG|2MBVNT|3ZMB|4RCR|5CDMG|7AART|8VULN|aBEXP
