0	Index      	 *	Score 	Summary	Detail	
1	15611 12621	 * 	189.49	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB|2RCVC	18ASPD|26RCVC|38VULN|4AART|58DUR|7RCR|8BPWR|9DMG|aZMB
2	12611 22526	 * 	187.86	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	12ASPD|38aVULN|4AART|56DUR|7RCR|9DMG
3	12533 24153	 * 	185.84	DCR|2VULN|2DMG|3ASPD|2CDMG|1ZMB	127ASPD|37CDMG|4MLV|5aVULN|67DMG|7BPWR|8RCR|9ZMB
4	23215 22526	 * 	185.44	ACR|4VULN|1AART|1DMG|1DUR	1MLV|2DUR|378aVULN|4RCR|5AART|6RCVC|9DMG
5	33215 22526	   	185.34	ACR|4VULN|1AART|1DMG|1DUR	1ERES|2DUR|378aVULN|4RCR|5AART|6RCVC|9DMG
6	23215 52521	   	185.13	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1MLV|26DUR|378VULN|4RCR|5AART|9DMG|aZMB
7	12611 12526	   	185.07	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	12ASPD|38aVULN|4AART|5DUR|6RCVC|7RCR|9DMG
8	33215 52521	   	185.03	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1ERES|26DUR|378VULN|4RCR|5AART|9DMG|aZMB
9	23215 22156	 * 	184.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|37aVULN|4RCR|5AART|6RCVC|8CDMG|9DMG
10	33215 22156	   	184.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|37aVULN|4RCR|5AART|6RCVC|8CDMG|9DMG
11	12615 11412	 * 	184.63	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	12ASPD|3VULN|4AART|5ZMB|6BEXP|7RCR|8CDMG|9aDMG
12	12615 31412	   	184.53	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	12ASPD|3VULN|4AART|5ZMB|6DUST|7RCR|8CDMG|9aDMG
13	14361 32521	   	184.41	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	13ASPD|2AART|45DUR|68VULN|7RCR|9DMG|aZMB
14	14311 32616	 * 	184.36	DCR|3VULN|1AART|3ASPD|1CDMG|2DUR	138ASPD|2AART|4BEXP|58DUR|678VULN|8BPWR|9RCR|aCDMG
15	35233 24341	 * 	183.78	DCR|4VULN|3DMG|1SELL	179ERES|2RCVC|3RMIN|4SELL|579aVULN|679DMG|79BPWR|8RCR
16	12611 22521	   	183.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	12ASPD|38VULN|4AART|56DUR|7RCR|9DMG|aZMB
17	23215 22154	 * 	182.99	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1MLV|2DUR|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG|aFLTHEA
