0	Index      	 *	Score 	Summary	Detail	
1	11113 13444	 * 	195.47	DCR|4VULN|2DMG|3CDMG	157CDMG|2BELT|3458VULN|5BPWR|6RCR|9aDMG
2	11113 13235	 * 	193.22	DCR|4VULN|3CDMG|1AART|1ZMB	157CDMG|2BELT|345aVULN|5BPWR|6RCR|8AART|9ZMB
3	11113 15264	 * 	189.84	DCR|4VULN|1AART|2CDMG|2ZMB	15CDMG|2BELT|3459VULN|5BPWR|6RCR|78ZMB|aAART
4	11113 12222	   	189.78	DCR|4VULN|1DMG|2CDMG|1ZMB|1ASPD	15CDMG|2BELT|345aVULN|5BPWR|6RCR|7DMG|8ZMB|9ASPD
5	11113 13255	   	189.16	DCR|4VULN|3CDMG|1AART|1ASPD	157CDMG|2BELT|345aVULN|5BPWR|6RCR|8AART|9ASPD
6	11113 13424	   	188.88	DCR|4VULN|3CDMG|1DMG|1ZMB	157CDMG|2BELT|3458VULN|5BPWR|6RCR|9ZMB|aDMG
7	11113 13445	   	188.88	DCR|4VULN|3CDMG|1DMG|1ZMB	157CDMG|2BELT|3458VULN|5BPWR|6RCR|9DMG|aZMB
8	11113 11346	 * 	188.41	DCR|5VULN|1AART|2CDMG	15CDMG|2BELT|3458aVULN|5BPWR|6RCR|7LIT|9AART
9	11113 15364	   	187.89	DCR|4VULN|1AART|2CDMG|1ZMB	15CDMG|2BELT|3459VULN|5BPWR|6RCR|7ZMB|8RCVC|aAART
10	11113 13414	   	184.82	DCR|4VULN|3CDMG|1DMG|1ASPD	157CDMG|2BELT|3458VULN|5BPWR|6RCR|9ASPD|aDMG
11	11113 13442	   	184.82	DCR|4VULN|3CDMG|1DMG|1ASPD	157CDMG|2BELT|3458VULN|5BPWR|6RCR|9DMG|aASPD
12	11133 13444	   	184.47	DCR|3VULN|2DMG|3CDMG	157CDMG|2BELT|358VULN|4RCVC|5BPWR|6RCR|9aDMG
13	12136 51612	 * 	182.89	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2BEXP|3DMG|49aVULN|5SELL|6AART|7ZMB|8RCR
14	11113 12132	   	182.84	DCR|4VULN|1DMG|2CDMG|1ZMB	15CDMG|2BELT|345aVULN|5BPWR|6RCR|7DMG|8RMIN|9ZMB
