0	Index      	 *	Score 	Summary	Detail	
1	63263 61223	 * 	242.29	紫3易伤1散射对甲1双倍秒伤1伤害1暴击	1金币生成2核3伤害4散射对甲579易伤6暴击8挖尘a双倍秒伤
2	63266 11223	   	242.29	紫3易伤1散射对甲1双倍秒伤1伤害1暴击	1金币生成2核3伤害4散射对甲5暴击679易伤8挖尘a双倍秒伤
3	63463 21332	 * 	233.25	紫1散射对甲2易伤1双倍秒伤1全技能1伤害	1金币生成2核3随机矿4散射对甲59易伤6掉矿7伤害8全技能a双倍秒伤
4	66312 31233	 * 	223.68	橙1散射对甲1双倍秒伤2伤害1易伤1全技能1策反	16金币生成2雷电3全技能4策反56伤害6序列升级7核8双倍秒伤9易伤a散射对甲
5	62263 24111	   	220.43	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1时间	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9立即金币a全技能
6	62263 24112	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9立即金币a敌人爆炸
7	62263 24113	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9立即金币a平台
8	62263 24121	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1暴击1时间1挖怪	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9挖怪a暴击
9	62263 24122	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间2挖怪	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9a挖怪
10	62263 24123	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间1挖怪	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9挖怪a额外掉落
11	62263 24131	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1暴击1时间	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9电球减费a暴击
12	62263 24132	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间1挖怪	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9电球减费a挖怪
13	62263 24133	   	220.43	橙1散射对甲1双倍秒伤1易伤1伤害1时间	1金币生成2时间3伤害4散射对甲5易伤6掉矿7核8双倍秒伤9电球减费a敌人爆炸
14	11343 64212	 * 	213.80	橙1散射对甲2易伤1双倍秒伤	17低血量敌人27易伤3等级4雷电57基地爆炸6核7序列升级8散射对甲9金币生成a双倍秒伤
15	11343 64223	   	213.80	橙1散射对甲2易伤1双倍秒伤	17低血量敌人27易伤3等级4雷电579基地爆炸6核7序列升级8散射对甲a双倍秒伤
16	11343 64232	 * 	213.80	橙1散射对甲2易伤1双倍秒伤1全技能	17低血量敌人27易伤3等级4雷电57基地爆炸6核7序列升级8散射对甲9全技能a双倍秒伤
17	63377 33441	   	213.09	紫1散射对甲2易伤1双倍秒伤1全技能	16金币生成2核3加一46易伤5挖青6序列升级7全技能8散射对甲9双倍秒伤a敌人爆炸
18	63377 33442	   	213.09	紫1散射对甲2易伤1双倍秒伤1全技能	16金币生成2核3加一46易伤5挖青6序列升级7全技能8散射对甲9双倍秒伤a最后敌人
19	63377 33443	 * 	213.09	紫1散射对甲2易伤2全技能1双倍秒伤	16金币生成2核3加一46易伤5挖青6序列升级7a全技能8散射对甲9双倍秒伤
20	63377 33444	   	213.09	紫1散射对甲2易伤1双倍秒伤1全技能	16金币生成2核3加一46易伤5挖青6序列升级7全技能8散射对甲9双倍秒伤a雷电
21	63377 23441	   	212.99	紫1散射对甲2易伤1双倍秒伤1全技能	1金币生成2核3加一46易伤5挖青7全技能8散射对甲9双倍秒伤a敌人爆炸
22	63377 23442	   	212.99	紫1散射对甲2易伤1双倍秒伤1全技能	1金币生成2核3加一46易伤5挖青7全技能8散射对甲9双倍秒伤a最后敌人
23	63377 23443	   	212.99	紫1散射对甲2易伤2全技能1双倍秒伤	1金币生成2核3加一46易伤5挖青7a全技能8散射对甲9双倍秒伤
24	63377 23444	   	212.99	紫1散射对甲2易伤1双倍秒伤1全技能	1金币生成2核3加一46易伤5挖青7全技能8散射对甲9双倍秒伤a雷电
