0	Index      	 *	Score 	Summary	Detail	
1	55135 32231	 * 	322.69	橙橙3易伤2矿等1攻速	127易伤37金币生成47矿等5平台6a核7序列升级8最后敌人9攻速
2	55135 32211	   	308.79	橙橙3易伤2矿等1策反	127易伤37金币生成47矿等5平台6a核7序列升级8最后敌人9策反
3	32125 34252	   	305.52	橙橙3易伤1矿等1攻速	1矿等256易伤3基地爆炸4时间7a核8最后敌人9攻速
4	32125 31252	   	305.52	橙橙3易伤1矿等1攻速	1矿等256易伤3基地爆炸4时间7低血量敌人8a核9攻速
5	32245 32231	   	300.55	橙橙2易伤2矿等1攻速	17矿等27易伤347金币生成5平台6a核7序列升级8最后敌人9攻速
6	32432 34521	 * 	300.10	紫橙3易伤2矿等1伤害	14矿等245易伤3a核4序列升级6平台7基地爆炸8伤害9等级
7	33652 31252	   	299.00	橙橙2易伤2矿等1攻速	13矿等2时间46易伤5敌人爆炸7低血量敌人8a核9攻速
8	32115 23252	   	298.90	橙橙2易伤2矿等1攻速	17矿等25易伤3基地爆炸4挖尘6时间8a核9攻速
9	32125 13252	   	298.90	橙橙2易伤2矿等1攻速	17矿等25易伤3基地爆炸4时间6挖尘8a核9攻速
10	32335 23252	   	298.90	橙橙2易伤2矿等1攻速	17矿等25易伤3挖尘4敌人爆炸6时间8a核9攻速
11	32155 32252	   	297.22	橙橙3易伤1矿等1攻速	1矿等256易伤3基地爆炸4最后敌人7低血量敌人8a核9攻速
12	32155 31252	   	297.12	橙橙3易伤1矿等1攻速	1矿等256易伤3基地爆炸4最后敌人7挖青8a核9攻速
13	15261 34222	   	294.40	橙橙3易伤1伤害	1时间24a易伤3雷电5伤害6寒冰对冰7技能89核
14	32432 33355	 * 	294.00	紫橙3易伤3矿等	14a矿等245易伤39核4序列升级6平台7雷电8爆破对冰
15	32432 33351	   	293.58	紫橙3易伤2矿等1暴击	14矿等245易伤39核4序列升级6平台7雷电8爆破对冰a暴击
16	32432 33651	   	293.58	紫橙3易伤2矿等1暴击	14矿等245易伤39核4序列升级6平台7雷电8导弹对毒a暴击
17	32432 36231	   	293.58	紫橙3易伤2矿等1攻速	14矿等245易伤3a核4序列升级6平台7技能点8最后敌人9攻速
18	32436 36321	   	293.58	紫橙3易伤2矿等1攻速	14矿等249易伤3a核4序列升级5掉矿6平台7攻速8低血量敌人
19	55135 31121	   	292.98	橙橙3易伤1矿等1策反	129易伤3金币生成4矿等5平台6a核7最后敌人8策反
