0	Index      	 *	Score 	Summary	Detail	
1	41243 36222	 * 	257.35	橙橙2易伤1暴击	1立即金币24易伤3等级5最后敌人6激光减费7a核8基础对甲9暴击
2	41113 12346	 * 	244.85	橙4易伤2矿等2时间	1立即金币256a易伤3电塔对甲4a时间7加一8核9a矿等a序列升级
3	15111 61311	   	243.55	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a赏金邻近
4	15111 61312	   	243.55	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a随机矿
5	15111 61313	   	243.55	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a立即金币
6	15111 61316	   	243.55	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a赏金塔
7	15111 61314	   	243.45	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a挖尘
8	15111 61315	   	243.45	橙橙2易伤1策反1挖怪	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a挖怪
9	23535 31633	 * 	241.07	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a等级
10	23535 31631	   	240.97	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a技能点
11	23535 31632	   	240.97	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a掉矿
12	15621 33211	   	240.66	橙橙1易伤1攻速1全技能1策反	1策反2雷电3攻速4双倍矿5全技能68核7激光减费9赏金邻近a易伤
13	65233 33125	   	240.66	橙橙1易伤1暴击1全技能1策反	1技能点2雷电3暴击4全技能5易伤6低血量敌人7基地爆炸8策反9a核
14	65233 22125	   	240.56	橙橙1易伤1暴击1全技能1策反	1技能点26雷电3暴击4全技能5易伤7双倍秒伤8策反9a核
15	14321 21663	   	240.46	橙橙1易伤1攻速1平台1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9平台a易伤
16	23565 21332	   	239.55	橙橙1易伤1暴击	1时间2雷电3暴击4加一5金币生成6低血量敌人79核8等级a易伤
17	23565 41332	   	239.55	橙橙1易伤1暴击	1时间2雷电3暴击4加一5金币生成6基地爆炸79核8等级a易伤
18	15111 61351	   	239.30	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9时间a攻速
19	15621 33236	 * 	238.55	橙橙2攻速1矿等1全技能1策反	1策反2雷电3a攻速4双倍矿5全技能68核7激光减费9矿等
20	41361 23126	 * 	234.60	橙4易伤2伤害	13立即金币267a易伤46伤害5赏金塔6序列升级8雷电9核
21	16351 33326	 * 	233.79	橙2易伤2伤害1矿等1攻速1全技能1策反	1策反25易伤3基地爆炸4全技能69伤害7矿等8核a攻速
22	41362 22216	 * 	233.07	橙3易伤2伤害1矿等	13立即金币28a易伤4a伤害5矿等6最后敌人7a雷电9核a序列升级
23	16351 33315	   	233.00	橙3易伤1伤害1矿等1全技能1策反	1策反25a易伤3基地爆炸4全技能6伤害7矿等8核9时间
24	41211 26222	   	231.34	橙橙1易伤1暴击	1立即金币2易伤35等级456低血量敌人5序列升级7a核8基础对甲9暴击
25	41221 56222	   	231.34	橙橙1易伤1暴击	1立即金币2易伤35等级45基地爆炸5序列升级6双倍矿7a核8基础对甲9暴击
26	41214 26222	   	231.24	橙橙1易伤1暴击	1立即金币2易伤3等级456低血量敌人7a核8基础对甲9暴击
27	41221 36222	   	231.24	橙橙1易伤1暴击	1立即金币2易伤35等级45基地爆炸5序列升级6激光减费7a核8基础对甲9暴击
28	41231 36222	   	231.24	橙橙1易伤1暴击	1立即金币2易伤35等级45最后敌人5序列升级6激光减费7a核8基础对甲9暴击
29	41251 36222	   	231.24	橙橙1易伤1暴击	1立即金币2易伤35等级45敌人爆炸5序列升级6激光减费7a核8基础对甲9暴击
30	15111 61331	   	231.00	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9低血量敌人a攻速
31	15111 61361	   	231.00	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9基地爆炸a攻速
32	14321 21613	   	230.80	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9等级a易伤
33	14321 21652	   	230.80	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a基地爆炸
34	14321 21653	   	230.80	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a赏金邻近
35	14321 21651	   	230.70	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a双倍物品
36	41113 42346	 * 	230.69	橙3易伤2矿等3时间	1立即金币25a易伤3电塔对甲46a时间7加一8核9a矿等a序列升级
37	41242 32216	   	230.09	橙4易伤2矿等	1立即金币248a易伤3等级5a矿等6挖青7a雷电9核a序列升级
38	41113 16235	 * 	228.50	橙5易伤2时间	1立即金币25679易伤3电塔对甲49时间89掉矿9序列升级a核
