0	Index      	 *	Score 	Summary	Detail	
1	15134 53621	 * 	277.41	橙橙2易伤1伤害1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a伤害
2	12233 26451	 * 	277.15	橙3易伤3伤害3攻速	1随机矿29a攻速3时间49a伤害59a易伤6核7双倍物品8额外掉落9a序列升级
3	15134 53743	 * 	275.70	橙橙3易伤1平台	1随机矿29a敌人爆炸3加一4双倍秒伤59a易伤67核8平台9a序列升级
4	15134 53713	   	275.60	橙橙3易伤1平台	1随机矿2a敌人爆炸3加一4双倍秒伤59a易伤67核8平台a序列升级
5	12233 26222	   	273.26	橙橙1易伤1伤害1暴击1攻速	1随机矿2攻速3时间4伤害5易伤6a核7双倍物品8低血量敌人9暴击
6	15134 53741	   	270.99	橙橙2易伤1矿等1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a矿等
7	15134 53711	   	270.89	橙橙2易伤1矿等1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a矿等
8	15134 53633	   	265.84	橙橙3易伤	1随机矿2敌人爆炸3加一4双倍秒伤58a易伤67核9最后敌人
9	52463 22122	   	262.43	橙橙1易伤1矿等1暴击1攻速	1技能2攻速3最后敌人4低血量敌人5矿等6a核7双倍物品8易伤9暴击
10	42463 22122	   	262.33	橙橙1易伤1矿等1暴击1攻速	1核弹2攻速3最后敌人4低血量敌人5矿等6a核7双倍物品8易伤9暴击
11	52423 22122	   	262.33	橙橙1易伤1矿等1暴击1攻速	1技能2攻速3最后敌人4挖尘5矿等6a核7双倍物品8易伤9暴击
12	42423 22122	   	262.23	橙橙1易伤1矿等1暴击1攻速	1核弹2攻速3最后敌人4挖尘5矿等6a核7双倍物品8易伤9暴击
13	15134 53611	   	261.23	橙橙2易伤1矿等	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9等级a矿等
14	15134 53623	   	257.35	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a立即金币
15	15134 53622	   	257.25	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a挖尘
16	15134 53624	   	257.25	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a挖青
17	53243 22122	   	256.84	橙橙1易伤1矿等1暴击1策反	1技能2最后敌人3时间4策反5矿等6a核7双倍物品8易伤9暴击
18	15134 53723	   	253.46	橙橙2易伤1平台	1随机矿2a敌人爆炸3加一4双倍秒伤5a易伤67核8平台9立即金币a序列升级
19	15134 53742	   	253.46	橙橙2易伤1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a技能
20	15134 53712	   	253.36	橙橙2易伤1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a技能
21	15134 53744	   	253.36	橙橙2易伤1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a技能点
22	15134 53714	   	253.26	橙橙2易伤1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a技能点
23	52243 26222	   	253.20	橙橙1易伤1暴击1攻速	1技能2攻速3时间4随机矿5易伤6a核7双倍物品8低血量敌人9暴击
24	42243 26222	   	253.10	橙橙1易伤1暴击1攻速	1核弹2攻速3时间4随机矿5易伤6a核7双倍物品8低血量敌人9暴击
25	15143 26363	   	252.20	橙橙2易伤	1随机矿247敌人爆炸3加一57易伤69核7序列升级8技能a时间
26	15134 53182	   	252.00	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8最后敌人9时间
27	15134 53382	   	252.00	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8基地爆炸9时间
28	15134 53482	   	252.00	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8低血量敌人9时间
29	12433 21211	   	251.30	橙3易伤2伤害2攻速1全技能	1随机矿2a攻速3最后敌人4a伤害57a易伤6核8额外掉落9全技能a序列升级
30	15134 53221	   	251.21	橙橙1易伤1伤害1暴击	1随机矿2敌人爆炸3加一4双倍秒伤5易伤67核8立即金币9暴击a伤害
31	11143 21413	   	251.21	橙橙1易伤1伤害1暴击	1随机矿2电塔对甲3挖青4雷电5基地爆炸6易伤7a核8暴击9伤害
32	15134 53643	   	250.63	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9低血量敌人a核弹
33	43363 22122	   	248.68	橙橙1易伤1矿等1暴击	1核弹2最后敌人3技能4低血量敌人5矿等6a核7双倍物品8易伤9暴击
34	13133 22122	   	248.58	橙橙1易伤1矿等1暴击	1随机矿2最后敌人3加一4掉矿5矿等6a核7双倍物品8易伤9暴击
35	43323 22122	   	248.58	橙橙1易伤1矿等1暴击	1核弹2最后敌人3技能4挖尘5矿等6a核7双倍物品8易伤9暴击
