0	Index      	 *	Score 	Summary	Detail	
1	31417 12842	 * 	280.46	橙橙2矿等1易伤1伤害1全技能	1全技能2金币生成3伤害4加一5易伤6a核79矿等8技能
2	53511 34132	 * 	265.18	橙橙1易伤2暴击1全技能1平台	12暴击3技能4全技能5平台6激光减费7a核8时间9易伤
3	26538 12411	   	263.19	橙橙1易伤1伤害1矿等	1时间2伤害3掉矿4加一5双倍物品6a核7矿等8双倍秒伤9易伤
4	22312 14126	 * 	261.76	橙橙2易伤1平台	1时间2低血量敌人3等级4额外掉落5电塔对黄6a易伤78核9平台
5	22343 14126	   	261.76	橙橙2易伤1平台	1时间2低血量敌人3等级4散射对绿5额外掉落6a易伤78核9平台
6	44213 24132	   	261.23	橙橙2易伤1矿等	1最后敌人2额外掉落3挖尘49易伤5散射对喷气6矿等78核a低血量敌人
7	44213 24131	   	261.13	橙橙2易伤1矿等	1最后敌人2额外掉落3挖尘49易伤5散射对喷气6矿等78核a掉矿
8	44213 24133	   	261.13	橙橙2易伤1矿等1卖塔	1最后敌人2额外掉落3挖尘49易伤5散射对喷气6矿等78核a卖塔
9	52363 12261	   	259.75	橙橙1易伤2时间1暴击1攻速	1暴击2攻速36时间4赏金邻近5额外掉落7狙击对黄8a核9易伤
10	53162 61231	   	259.51	橙橙1易伤2暴击1攻速	12暴击3额外掉落4易伤5攻速6赏金邻近7加农对毒8a核9时间
11	33222 23656	   	256.88	橙橙1易伤1伤害1全技能1平台	1全技能2立即金币3平台4双倍秒伤5双倍矿6伤害7易伤8a核9电塔对黄
12	53511 34332	   	256.88	橙橙1易伤2暴击1全技能1平台	12暴击3技能4全技能5平台6激光减费7a核8最后敌人9易伤
13	21133 42116	 * 	256.85	紫橙2矿等1易伤2暴击2时间	19时间2赏金邻近3双倍秒伤49暴击58核69矿等7技能9序列升级a易伤
14	33223 23656	   	256.78	橙橙1易伤1伤害1全技能1平台	1全技能2立即金币3平台45双倍秒伤6伤害7易伤8a核9电塔对黄
15	52513 36321	 * 	254.98	橙橙2攻速1伤害1暴击1全技能	1暴击23攻速4全技能5基地爆炸6激光减费79核8伤害a雷电
16	52513 36323	   	254.98	橙橙2攻速1伤害1暴击1全技能	1暴击23攻速4全技能5基地爆炸6激光减费79核8伤害a双倍矿
17	52513 36322	   	254.88	橙橙2攻速1伤害1暴击1全技能	1暴击23攻速4全技能5基地爆炸6a激光减费79核8伤害
18	22243 14121	   	253.09	橙橙1易伤1矿等1平台	1时间2低血量敌人3多重对愈4金币生成5额外掉落6易伤78核9平台a矿等
19	22312 14121	   	253.09	橙橙1易伤1矿等1平台	1时间2低血量敌人3等级4额外掉落5电塔对黄6易伤78核9平台a矿等
