0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32635 53111	9	 * 	269.66	橙4易伤2时间2全技能1暴击	17策反2357易伤49全技能67时间7序列升级8暴击a核
2	32635 53131	9	 * 	268.20	橙4易伤2时间2暴击1全技能	17策反2357易伤4全技能67时间7序列升级89暴击a核
3	24132 41251	5	 * 	266.56	橙4易伤3时间2雷电	1a掉矿26a时间37雷电4最后敌人568a易伤6a序列升级9核
4	33562 22142	8	   	265.55	橙4易伤3时间1暴击	18a策反2掉矿389a易伤4暴击5低血量敌人6核78a时间8a序列升级
5	32643 11152	10	 * 	264.52	橙4易伤1伤害1等级1攻速1全技能	1策反239a易伤4攻速5全技能6等级7核8伤害
6	24132 43251	5	   	260.01	橙4易伤3时间	1a掉矿26a时间3雷电47最后敌人568a易伤6a序列升级9核
7	24132 53251	7	   	259.91	橙4易伤3时间	1a掉矿27a时间3雷电4最后敌人568a易伤9核a序列升级
8	34631 33242	6	 * 	257.60	橙4易伤2等级1时间1暴击	1a策反2时间358a易伤4低血量敌人6暴击7a等级9核a序列升级
9	52223 35322	4	 * 	255.96	橙3易伤2时间1伤害2暴击	1敌人爆炸28a易伤3金币生成4基地爆炸5a时间6核7伤害9a暴击a序列升级
10	62513 31142	8	   	255.86	橙3易伤2时间2暴击1伤害	1低血量敌人29a易伤3伤害4掉矿5a时间6核7最后敌人8a暴击a序列升级
11	31511 62633	3	 * 	254.95	橙4易伤2伤害1核弹1全技能	1a策反2基地爆炸3全技能459a易伤6核7a伤害8核弹a序列升级
12	32531 65223	3	   	254.95	橙4易伤2伤害1全技能	1a策反259a易伤3全技能4基地爆炸6核7掉矿8a伤害a序列升级
13	35623 36113	1	   	254.85	橙4易伤2伤害1全技能	19策反29伤害3赏金塔4全技能589a易伤6核7赏金邻近9序列升级
14	22522 23265	8	 * 	254.23	橙5易伤1时间1攻速	1掉矿2467a易伤3立即金币5时间8核9攻速
15	22422 23265	8	   	254.13	橙5易伤1时间1攻速	13掉矿2467a易伤5时间8核9攻速
16	24132 51251	6	   	253.23	橙4易伤2时间2雷电	1a掉矿2a时间37雷电4最后敌人568a易伤9核a序列升级
17	33562 21142	6	   	252.12	橙4易伤2时间1暴击	1a策反2掉矿389a易伤4暴击5低血量敌人6核7a时间a序列升级
18	33562 22142	7	   	252.12	橙4易伤2时间1暴击	1a策反2掉矿389a易伤4暴击5低血量敌人6核7a时间a序列升级
19	32643 11162	10	 * 	252.08	橙3易伤2攻速1伤害1等级1全技能	1策反23a易伤49攻速5全技能6等级7核8伤害
20	22522 21365	8	   	251.92	橙4易伤2时间1暴击	1掉矿2469易伤3立即金币57时间8暴击a核
21	22522 23232	8	   	251.92	橙4易伤2时间1暴击	1掉矿2467易伤3立即金币59时间8核a暴击
22	24526 23232	8	   	251.92	橙4易伤2时间1暴击	1掉矿29时间3立即金币4567易伤8核a暴击
23	24426 23232	8	   	251.82	橙4易伤2时间1暴击	13掉矿29时间4567易伤8核a暴击
