0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38414 34122	3	 * 	302.29	橙5易伤2伤害2攻速1时间	1加一26789易伤3时间49伤害59攻速9序列升级a核
2	37283 34122	5	 * 	295.56	橙5易伤2伤害2时间	1加一29时间3掉矿49伤害56789易伤9序列升级a核
3	38283 64122	6	   	295.56	橙5易伤2伤害2时间	1加一25789易伤3掉矿49伤害69时间9序列升级a核
4	38283 74122	5	   	295.56	橙5易伤2伤害2时间	1加一25689易伤3掉矿49伤害79时间9序列升级a核
5	38283 82122	7	   	295.56	橙5易伤2伤害2时间	1加一25689易伤3掉矿49伤害79时间9序列升级a核
6	38283 84122	6	   	295.56	橙5易伤2伤害2时间	1加一25689易伤3掉矿49伤害79时间9序列升级a核
7	38774 13321	3	 * 	289.45	橙4易伤3伤害2雷电1暴击	1加一256a易伤3暴击48a伤害7a雷电9核a序列升级
8	37283 84122	5	 * 	289.25	橙4易伤3时间2伤害	1加一269时间3掉矿49伤害5789易伤9序列升级a核
9	38442 48721	2	   	289.21	橙4易伤3伤害2暴击	1加一235a易伤4雷电67a伤害8a暴击9核a序列升级
10	37414 34222	2	 * 	287.92	橙3易伤3时间2伤害2攻速	1加一289时间367易伤49伤害59攻速9序列升级a核
11	37414 84122	2	   	287.92	橙3易伤3时间2伤害2攻速	1加一269时间378易伤49伤害59攻速9序列升级a核
12	38514 34122	3	   	286.04	橙5易伤2伤害2攻速	1加一26789易伤3最后敌人49伤害59攻速9序列升级a核
13	38114 34122	1	   	285.94	橙5易伤2伤害2攻速	1加一2挖青36789易伤49伤害59攻速9序列升级a核
14	38417 34122	5	   	284.60	橙5易伤2攻速2等级1时间	1加一26789易伤3时间49攻速59等级9序列升级a核
15	38213 82448	2	 * 	282.26	橙3易伤3伤害3时间	1加一259易伤3挖尘489伤害679时间9序列升级a核
16	37245 32448	2	   	282.26	橙3易伤3伤害3时间	1加一279时间3挖尘469易伤589伤害9序列升级a核
17	31244 13821	1	   	282.06	橙5易伤1伤害2暴击2雷电	1加一2a暴击3伤害4568a易伤7a雷电9核a序列升级
18	31383 34122	5	   	280.88	橙5易伤2伤害1时间	1加一29掉矿3时间49伤害56789易伤9序列升级a核
19	38412 34122	3	   	280.88	橙5易伤2伤害1时间	1加一26789易伤3时间49伤害59掉矿9序列升级a核
20	38413 24122	3	   	280.88	橙5易伤2伤害1时间	1加一25789易伤3时间49伤害69掉矿9序列升级a核
21	31243 13821	1	   	280.11	橙4易伤2伤害2暴击2雷电	1加一2a暴击35伤害468a易伤7a雷电9核a序列升级
22	31244 13321	1	   	280.11	橙4易伤2伤害2暴击2雷电	1加一2a暴击38伤害456a易伤7a雷电9核a序列升级
23	31474 13821	1	   	280.11	橙4易伤2伤害2暴击2雷电	1加一2a暴击3568易伤4a伤害7a雷电9核a序列升级
24	38427 13147	7	   	280.07	橙4易伤3时间2暴击	1加一2478易伤347时间47序列升级5立即金币67暴击9雷电a核
25	38427 13812	8	   	280.07	橙4易伤3时间2暴击	1加一247a易伤347时间47序列升级5立即金币67暴击8核9雷电
26	38413 34122	5	 * 	279.23	橙5易伤2时间2攻速	1加一26789易伤39时间49攻速5随机矿9序列升级a核
27	38421 24122	4	   	279.13	橙5易伤2时间2攻速	1加一24789易伤34时间49序列升级59攻速69掉矿a核
28	38421 34132	8	   	278.14	橙3易伤2伤害2时间1等级	1加一247易伤34时间47序列升级57最后敌人67伤害8雷电9等级a核
29	38421 34872	8	   	278.14	橙3易伤2伤害2时间1等级	1加一247易伤34时间47序列升级57最后敌人67伤害8等级9雷电a核
30	38425 52122	7	   	278.08	橙5易伤2时间2等级	1加一24789易伤34时间49序列升级59策反69等级a核
31	38425 54122	6	   	278.08	橙5易伤2时间2等级	1加一24789易伤34时间49序列升级59策反69等级a核
32	38437 64224	8	   	278.04	橙3易伤2伤害2时间1等级	1加一28a易伤3a时间4额外掉落5雷电6等级7a伤害9核a序列升级
33	38468 34122	2	   	277.88	橙5易伤2时间2等级1核弹	1加一23489易伤5核弹69等级79时间9序列升级a核
34	38427 13813	8	   	277.49	橙3易伤3时间2暴击1伤害	1加一247易伤347时间47序列升级5立即金币67暴击8核9雷电a伤害
35	31244 47327	1	   	274.52	橙3易伤3伤害2暴击1时间	1加一27暴击378伤害457易伤6额外掉落7序列升级9时间a核
36	31474 47327	1	   	274.52	橙3易伤3伤害2暴击1时间	1加一27暴击357易伤478伤害6额外掉落7序列升级9时间a核
37	32812 13552	1	   	273.82	橙3易伤2伤害2等级1时间2雷电	1加一28等级35雷电458易伤58序列升级68伤害7双倍矿9时间a核
38	38421 32833	10	   	273.74	橙3易伤3时间1伤害2雷电	1加一249易伤349时间49序列升级5最后敌人6伤害79雷电8全技能a核
39	38424 35833	10	   	273.74	橙3易伤3时间1伤害2雷电	1加一249易伤349时间49序列升级5低血量敌人6伤害79雷电8全技能a核
40	31212 52471	1	   	273.65	橙4易伤1伤害1等级1时间1暴击	1加一2暴击3伤害4等级589a易伤6时间7核
41	36843 14335	3	   	273.55	橙3易伤2伤害2时间2暴击	1加一2平台359易伤45时间59序列升级69暴击7随机矿89伤害a核
42	38843 14335	3	   	273.55	橙3易伤2伤害2时间2暴击	1加一259易伤3平台45时间59序列升级69暴击7随机矿89伤害a核
43	38427 21181	10	 * 	273.21	橙4易伤3时间2攻速	1加一2479易伤347时间479序列升级5立即金币679基地爆炸89攻速a核
44	31474 13321	1	   	273.12	橙3易伤3伤害2暴击2雷电	1加一2a暴击356易伤48a伤害7a雷电9核a序列升级
45	38444 48721	2	   	273.12	橙3易伤3伤害2暴击2雷电	1加一23a易伤45雷电67a伤害8a暴击9核a序列升级
46	31473 13821	1	   	273.12	橙3易伤3伤害2暴击2雷电	1加一2a暴击368易伤45a伤害7a雷电9核a序列升级
47	38413 34222	5	   	272.91	橙4易伤3时间2攻速	1加一2679易伤389时间49攻速5随机矿9序列升级a核
48	38413 84122	5	   	272.91	橙4易伤3时间2攻速	1加一2789易伤369时间49攻速5随机矿9序列升级a核
49	64213 54122	3	   	272.91	橙4易伤3时间2攻速	19攻速2金币生成349时间5789易伤6加一9序列升级a核
50	63213 54122	3	   	272.81	橙4易伤3时间2攻速	19攻速2掉矿349时间5789易伤6加一9序列升级a核
51	63263 54122	4	   	272.81	橙4易伤3时间2攻速	19攻速2掉矿349时间5789易伤6加一9序列升级a核
52	63313 54122	2	   	272.81	橙4易伤3时间2攻速	19攻速2掉矿349时间5789易伤6加一9序列升级a核
