0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14263 12225	6	 * 	292.17	橙5易伤3时间2等级	137敌人爆炸2379a易伤379序列升级4基地爆炸59等级679时间8核
2	14234 32312	5	   	289.98	橙4易伤3时间2等级2攻速	137敌人爆炸238a易伤37a序列升级47等级57a时间6核9a攻速
3	34234 32312	5	   	289.98	橙4易伤3时间2等级2攻速	137基地爆炸238a易伤37a序列升级47等级57a时间6核9a攻速
4	34221 21632	6	 * 	289.97	橙4易伤2伤害2时间1等级	139基地爆炸234a易伤3a序列升级5等级6a伤害7a时间8核
5	54234 32312	5	   	289.68	橙4易伤3时间2等级2攻速	137挖尘238a易伤37a序列升级47等级57a时间6核9a攻速
6	34233 12225	6	   	284.09	橙5易伤3时间1等级	137基地爆炸2379a易伤379序列升级4等级59敌人爆炸679时间8核
7	54233 12225	6	   	283.79	橙5易伤3时间1等级	137挖尘2379a易伤379序列升级4等级59敌人爆炸679时间8核
8	34213 34432	5	 * 	283.47	橙4易伤2伤害2等级1时间	139基地爆炸238a易伤3a序列升级4时间5a等级6核7a伤害
9	14213 32312	5	 * 	276.65	橙4易伤3等级2时间2攻速	137敌人爆炸238a易伤37a序列升级47时间57a等级6核9a攻速
10	34213 32312	5	   	276.65	橙4易伤3等级2时间2攻速	137基地爆炸238a易伤37a序列升级47时间57a等级6核9a攻速
11	54213 32312	5	   	276.35	橙4易伤3等级2时间2攻速	137挖尘238a易伤37a序列升级47时间57a等级6核9a攻速
12	14263 12221	6	   	273.83	橙4易伤3时间2等级	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a低血量敌人
13	14263 12222	6	   	273.83	橙4易伤3时间2等级	137敌人爆炸2379易伤379序列升级4a基地爆炸59等级679时间8核
14	14263 12223	6	   	273.83	橙4易伤3时间2等级	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a金币生成
15	14263 12226	6	   	273.83	橙4易伤3时间2等级	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a最后敌人
16	54263 12221	6	   	273.53	橙4易伤3时间2等级	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a低血量敌人
17	54263 12222	6	   	273.53	橙4易伤3时间2等级	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a敌人爆炸
18	54263 12223	6	   	273.43	橙4易伤3时间2等级	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a加一
19	14234 12223	5	   	270.87	橙5易伤2时间1等级	137敌人爆炸2379a易伤379序列升级4等级59时间679低血量敌人8核
20	34234 12223	5	   	270.87	橙5易伤2时间1等级	137基地爆炸2379a易伤379序列升级4等级59时间679低血量敌人8核
21	54234 12223	5	   	270.57	橙5易伤2时间1等级	137挖尘2379a易伤379序列升级4等级59时间679低血量敌人8核
22	34234 33632	5	   	268.92	橙3易伤2伤害2时间1等级	139基地爆炸23a易伤3a序列升级4等级5a时间6核7立即金币8a伤害
23	14234 36312	5	   	268.47	橙4易伤2时间1等级2攻速	137敌人爆炸238a易伤3a序列升级4等级5a时间6核9a攻速
24	34221 25632	7	   	267.12	橙4易伤2伤害2等级	139基地爆炸234a易伤3a序列升级5a等级6a伤害7挖青8核
25	14253 14321	3	 * 	266.93	橙5易伤3伤害	138敌人爆炸23568易伤38序列升级478伤害9核a双倍矿
26	34253 14321	3	   	266.93	橙5易伤3伤害	138基地爆炸23568易伤38序列升级478伤害9核a双倍矿
27	14253 14322	3	   	266.83	橙5易伤3伤害	138敌人爆炸23568易伤38序列升级478伤害9核a挖尘
28	14253 14323	3	   	266.83	橙5易伤3伤害	138敌人爆炸23568易伤38序列升级478伤害9核a赏金塔
29	34253 14322	3	   	266.83	橙5易伤3伤害	138基地爆炸23568易伤38序列升级478伤害9核a挖尘
