0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23225 34281	1	 * 	307.55	橙5易伤3时间1伤害1等级	13457易伤247时间47序列升级6加一8等级9伤害a核
2	23225 34741	1	   	302.31	橙5易伤3时间1伤害1攻速	13457易伤247时间47序列升级6加一8攻速9伤害a核
3	23225 34241	1	   	298.49	橙5易伤3时间1等级1攻速	13457易伤247时间47序列升级6加一8等级9攻速a核
4	23225 34681	1	   	291.20	橙5易伤3时间1伤害	13457易伤247时间47序列升级6加一8掉矿9伤害a核
5	23521 61623	1	 * 	289.65	橙4易伤3时间2伤害	147a易伤234时间47a序列升级57基地爆炸6核8a伤害9a策反
6	23252 11551	1	   	289.45	橙4易伤3时间2伤害	139a易伤269时间48平台59伤害7核9序列升级
7	23225 35437	1	   	288.98	橙5易伤2时间1伤害1攻速	13459易伤24时间4序列升级6加一7伤害8攻速a核
8	23252 11643	1	   	286.77	橙3易伤3时间2伤害2暴击	13a易伤268时间4平台5a伤害7核9a暴击a序列升级
9	23225 34731	1	   	282.24	橙5易伤3时间1攻速	13457易伤247时间47序列升级6加一8攻速9金币生成a核
10	23226 32632	1	   	282.24	橙5易伤3时间1攻速	13467易伤248时间4序列升级5攻速9最后敌人a核
11	23226 35532	1	   	282.24	橙5易伤3时间1攻速	13468易伤247时间4序列升级5攻速9最后敌人a核
12	23225 34142	1	   	282.24	橙5易伤3时间1攻速	13457易伤247时间47序列升级6加一8核9矿等a攻速
13	23225 34132	1	   	282.14	橙5易伤3时间1攻速	13457易伤247时间47序列升级6加一8核9掉矿a攻速
14	23225 34711	1	   	282.14	橙5易伤3时间1攻速	13457易伤247时间47序列升级6加一8攻速9掉矿a核
15	23226 32622	1	   	282.14	橙5易伤3时间1攻速	13467易伤248时间4序列升级5攻速9挖尘a核
16	23226 35522	1	   	282.14	橙5易伤3时间1攻速	13468易伤247时间4序列升级5攻速9挖尘a核
17	23224 63233	1	   	281.42	橙4易伤3时间1伤害	1349易伤245时间4序列升级6伤害7金币生成8全技能a核
18	24621 51211	8	 * 	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a平台
19	24621 51212	8	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a最后敌人
20	24621 51213	8	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a基地爆炸
21	24621 51231	9	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a平台
22	24621 51231	10	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a基地爆炸
23	24621 51232	9	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a最后敌人
24	24621 51233	10	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a敌人爆炸
25	24621 51233	9	   	280.24	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a基地爆炸
26	24621 51232	10	   	280.14	橙3易伤3伤害2时间1攻速	189易伤2额外掉落3攻速478伤害58时间6核8序列升级a加一
27	23225 14613	1	   	279.97	橙4易伤3时间1伤害	1345易伤24a时间4序列升级6掉矿7雷电8伤害9核
28	23225 34148	1	   	279.55	橙5易伤3时间	13457易伤247时间47序列升级6加一8核9矿等a雷电
29	23225 34158	1	   	279.55	橙5易伤3时间	13457易伤247时间47序列升级6加一8核9策反a雷电
30	23225 34168	1	   	279.55	橙5易伤3时间	13457易伤247时间47序列升级6加一8核9额外掉落a雷电
31	23225 34538	1	   	279.55	橙5易伤3时间	13457易伤247时间47序列升级6加一8额外掉落9核a雷电
32	23226 21114	1	 * 	279.50	橙4易伤2时间2攻速1伤害1卖塔	1348易伤24时间48序列升级58攻速68掉矿7卖塔9伤害a核
33	23225 34138	1	   	279.45	橙5易伤3时间	13457易伤247时间47序列升级6加一8核9掉矿a雷电
34	23226 33264	1	   	279.38	橙4易伤2时间1等级1暴击1攻速	1346易伤24时间4序列升级5攻速7暴击8基地爆炸9等级a核
35	23226 31364	1	   	279.28	橙4易伤2时间1等级1暴击1攻速	1346易伤24时间4序列升级5攻速7挖尘8暴击9等级a核
36	24221 56233	8	   	278.90	橙3易伤3伤害2时间	18a易伤2额外掉落3金币生成478伤害58时间6核8序列升级9全技能
37	23226 32463	1	   	278.68	橙5易伤2时间1攻速	13467易伤24时间4序列升级5攻速8全技能9随机矿a核
38	23226 32443	1	   	278.58	橙5易伤2时间1攻速	13467易伤24时间4序列升级5攻速8全技能9赏金塔a核
39	23226 34613	1	   	277.85	橙4易伤2时间1伤害1攻速	1346易伤24时间4序列升级5攻速7雷电8金币生成9核a伤害
