0	Code 	Date      	Index      	 *	Score 	Summary	Detail	Bounty	
1	4BP9M	14511_06_06	23522 53241	 * 	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DMG|2378aVULN|4aTLV|5aCDMG|678DUR|78aBPWR|9RCR	2
2	4BP9M	14511_06_06	23632 53241	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DMG|2478aVULN|3aTLV|5aCDMG|678DUR|78aBPWR|9RCR	2
3	7VU86	24932_05_04	45621 21231	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1478aVULN|2aCDMG|378DMG|578DUR|6RCR|78aBPWR|9aTLV	6
4	GRBDL	50358_10_27	22253 45122	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1278aVULN|378DUR|4aCDMG|5aTLV|678DMG|78aBPWR|9RCR	4
5	NIVOD	69704_09_19	12511 22424	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1478aVULN|278DUR|3aCDMG|5aTLV|678DMG|78aBPWR|9RCR	1
6	O96CR	71697_01_27	24351 32325	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1278aVULN|3aTLV|478DUR|578DMG|6RCR|78aBPWR|9aCDMG	10
7	3JRIJ	12364_08_21	33212 65326	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1479aVULN|29aDMG|37TLV|57CDMG|6RCR|79aBPWR|89aDUR	4
8	3PE2R	12865_02_07	25411 23162	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	189DMG|289DUR|3aTLV|4aCDMG|5689aVULN|7RCR|89aBPWR	10
9	4O8D3	15630_05_15	23113 31542	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	189DMG|289DUR|3aCDMG|4aTLV|5789aVULN|6RCR|89aBPWR	2
10	4O8D3	15630_05_15	23213 31542	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	189DMG|289DUR|3aCDMG|4aTLV|5789aVULN|6RCR|89aBPWR	3
11	6N4BF	21271_02_07	11461 53122	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1489aVULN|289DUR|3aCDMG|5aTLV|6RCR|789DMG|89aBPWR	9
12	9DB1F	29005_05_29	21332 14262	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DMG|2789aVULN|39TLV|49CDMG|578DUR|6RCR|789BPWR	10
13	A1PKN	30840_08_28	35233 11244	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DUR|23789VULN|49TLV|59CDMG|678DMG|789BPWR|aRCR	6
14	A1PKN	30840_08_28	35233 12244	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DUR|23789VULN|49TLV|59CDMG|678DMG|789BPWR|aRCR	7
15	H2J1V	51008_03_27	45125 11233	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	12789VULN|378DMG|49TLV|59CDMG|678DUR|789BPWR|aRCR	8
16	HQDPU	53146_09_10	33616 21215	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1789aVULN|289DUR|3aCDMG|4aTLV|589DMG|6RCR|89aBPWR	10
17	HQDPU	53146_09_10	33616 21216	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1789aVULN|289DUR|3aCDMG|4aTLV|589DMG|6RCR|89aBPWR	9
18	P9B6I	74581_06_12	43413 22222	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	1379aVULN|29aDMG|47TLV|57CDMG|6RCR|79aBPWR|89aDUR	8
19	UA57R	89008_12_21	61142 22151	   	376.48	DCR|5VULN|3DMG|2TLV|3DUR|2CDMG	178DMG|2789aVULN|3aCDMG|4aTLV|578DUR|6RCR|78aBPWR	8
