0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	K7O4M	60083_10_12	33323 62266	 * 	416.66	DCR|DCR|5VULN|3DMG|3MLV|1CDMG	178MLV|24578VULN|378DMG|69RCR|78BPWR|aCDMG
2	OPVPH	73203_09_24	54334 22333	   	415.04	DCR|DCR|5VULN|3DMG|2MLV|2ASPD	19MLV|245DMG|3459aVULN|459BPWR|67RCR|89ASPD
3	K7O4M	60083_10_12	33323 62264	   	412.67	DCR|DCR|5VULN|3DMG|3MLV	178MLV|24578VULN|378DMG|69RCR|78BPWR|aAART
4	H7CUF	51439_09_08	34512 15323	 * 	409.70	DCR|DCR|4VULN|3DMG|3ASPD|2MLV	1RCVC|278DMG|3aMLV|478aVULN|578ASPD|69RCR|78aBPWR
5	RCO8D	80629_01_04	23533 26135	   	406.70	DCR|DCR|4VULN|3DMG|3MLV|1CDMG	189DMG|2689VULN|3CDMG|4ZMB|589MLV|7aRCR|89BPWR
6	F81EM	45755_05_16	31325 16322	   	406.18	DCR|DCR|4VULN|3DMG|3MLV|2CDMG	178aVULN|2aCDMG|378MLV|478DMG|5RCVC|69RCR|78aBPWR
7	RA99A	80407_08_09	53332 43631	   	406.08	DCR|DCR|4VULN|3DMG|3MLV|2CDMG	179MLV|267DMG|3DUST|49CDMG|5679VULN|679BPWR|8aRCR
8	T54JM	85687_09_21	11366 53133	   	406.08	DCR|DCR|4VULN|3DMG|3MLV|3DUR	138MLV|239DMG|389BPWR|4789VULN|589DUR|6aRCR
9	3UMST	13338_05_25	43131 42241	 * 	404.50	DCR|DCR|3VULN|3DMG|3MLV|3ASPD	139MLV|23aASPD|39aBPWR|49aDMG|5LEGI|67RCR|89aVULN
10	EQLK2	44555_11_23	51332 42612	   	403.65	DCR|DCR|4VULN|3DMG|3ASPD|1MLV	127aVULN|3MLV|47aDMG|57aASPD|68RCR|7aBPWR|9RPLT
11	TPFRZ	87513_07_09	62113 25413	 * 	403.01	DCR|DCR|5VULN|3DMG|3ASPD	13789VULN|289DMG|489ASPD|5RPLT|6aRCR|89BPWR
12	Z13CI	2069_03_24	21322 62254	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	178DMG|278MLV|34789VULN|5RCVC|6aRCR|78BPWR
13	ZFM51	3377_11_09	14162 13335	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	1248aVULN|3LWND|58aDMG|68aMLV|79RCR|8aBPWR
14	BIA4O	35193_04_11	32313 52116	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	1247aVULN|347MLV|47aBPWR|57aDMG|68RCR|9RCVC
15	FBN77	46085_07_17	61314 22216	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	19aDMG|2BBNT|3459aVULN|69aMLV|78RCR|9aBPWR
16	K7O4M	60083_10_12	33323 62262	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	178MLV|24578VULN|378DMG|69RCR|78BPWR|aTBNT
17	K7O4M	60083_10_12	33323 62265	   	403.01	DCR|DCR|5VULN|3DMG|3MLV	178MLV|24578VULN|378DMG|69RCR|78BPWR|aBBNT
