0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	24ZM7	8072_08_13	25623 13311	 * 	456.65	DCR|DCR|3VULN|3MLV|3TLV|3ASPD|1AAC	138ASPD|23aTLV|38aBPWR|48aMLV|58aVULN|67RCR|9AAC
2	FB7N8	46042_02_02	31361 61325	 * 	451.71	DCR|DCR|5VULN|3MLV|3TLV|1DMG	179MLV|24579VULN|379TLV|68RCR|79BPWR|aDMG
3	J65F3	57070_10_21	51122 24431	 * 	450.91	DCR|DCR|3VULN|3MLV|3DMG|1TLV|1AAC	1AART|28aVULN|3AAC|4TLV|58aMLV|69RCR|78aDMG|8aBPWR
4	JOZ11	58670_06_09	35343 33423	 * 	448.90	DCR|DCR|3VULN|3MLV|3TLV|3DMG	18aTLV|25aVULN|378DMG|48aMLV|69RCR|8aBPWR
5	AL2RS	32571_02_12	13322 31553	   	448.19	DCR|DCR|3VULN|3MLV|3DMG|2TLV	157MLV|27aVULN|3DUR|4aTLV|67aDMG|7aBPWR|89RCR
6	MKN95	66989_06_24	35331 33146	   	448.19	DCR|DCR|3VULN|3MLV|3DMG|2TLV	1AART|279VULN|39TLV|478MLV|579DMG|6aRCR|79BPWR
7	FB7N8	46042_02_02	31361 61323	   	447.90	DCR|DCR|5VULN|3MLV|3TLV|1ASPD	179MLV|24579VULN|379TLV|68RCR|79BPWR|aASPD
8	OUUVT	73650_01_23	31133 25242	   	446.82	DCR|DCR|3VULN|3MLV|3DMG|2TLV	18aDMG|28aVULN|35TLV|4RAT|69RCR|78aMLV|8aBPWR
9	LI2L5	63881_04_27	23122 54261	 * 	444.87	DCR|DCR|4VULN|3MLV|3DMG|1TLV	189aVULN|2TLV|39aMLV|49aDMG|5RCVC|67RCR|9aBPWR
10	1SON8	7422_04_09	21325 25215	 * 	443.29	DCR|DCR|4VULN|3MLV|2TLV|2DMG	17DMG|2479VULN|345MLV|47BPWR|67TLV|8aRCR
11	BACBP	34481_10_09	16145 33334	   	441.86	DCR|DCR|3VULN|3MLV|3DMG|1TLV|1ASPD	178VULN|278MLV|3TLV|4ASPD|578DMG|6MBVNT|78BPWR|9aRCR
12	SC1KU	83436_07_12	13223 63214	 * 	441.69	DCR|DCR|3VULN|3TLV|2MLV|2DMG|2AAC	17aTLV|27MLV|34AAC|57aVULN|69RCR|7aBPWR|8aDMG
