0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	LV4RO	65053_10_23	33526 16312	 * 	286.06	ACR|5VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|2AART|379ZMB|47aDMG|5679aVULN|79aBPWR|89aCDMG
2	DO9TP	41472_10_07	32413 15315	   	279.32	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|27aZMB|3AART|4678aVULN|567DMG|67aBPWR|9aCDMG
3	9C9NL	28912_01_11	13333 26124	 * 	278.72	ACR|5VULN|3DMG|3ZMB|1AART|3ASPD	1RCR|2379aVULN|4AART|57aASPD|679ZMB|79aBPWR|89aDMG
4	9C9NL	28912_01_11	13334 26124	   	278.72	ACR|5VULN|3DMG|3ZMB|1AART|3ASPD	1RCR|2379aVULN|4AART|57aDMG|679ZMB|79aBPWR|89aASPD
5	2ALEM	8669_02_16	34336 32242	   	278.72	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2578aVULN|378DMG|4AART|678ZMB|78aBPWR|9aCDMG
6	68VHB	20001_07_31	11141 13421	 * 	278.54	ACR|4VULN|3DMG|2AART|3ZMB|2CDMG	1RCR|28AART|357DMG|457aVULN|57aBPWR|67aZMB|9aCDMG
7	E9O2N	43037_08_14	11323 15642	   	278.54	ACR|4VULN|3DMG|2AART|3ZMB|2CDMG	1RCR|26AART|358DMG|458aVULN|58aBPWR|78aZMB|9aCDMG
8	BEQSH	34881_05_09	31322 42321	   	276.92	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	179ZMB|2RCR|3AART|4aCDMG|579DMG|6789aVULN|79aBPWR
9	NRDHT	70461_02_14	14523 23412	   	276.74	ACR|4VULN|3DMG|2AART|3ZMB|2CDMG	13AART|2RCR|489DMG|5aCDMG|689aVULN|789ZMB|89aBPWR
10	Z1ENZ	2100_12_25	11166 52232	 * 	276.34	ACR|5VULN|3DMG|1AART|3CDMG|3ASPD	1RCR|279DMG|37aASPD|4AART|5679aVULN|79aBPWR|89aCDMG
11	31O2A	10739_12_02	23363 33521	   	273.73	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA|1CDMG	1RCR|2578VULN|3AART|457ZMB|578BPWR|678DMG|9FLTHEA|aCDMG
12	V3JJP	91292_02_28	24212 41236	   	273.71	ACR|5VULN|3DMG|3ZMB|1AART|3DUR	1RCR|2479aVULN|37aZMB|579DMG|6AART|79aBPWR|89aDUR
13	HI1SL	52395_07_24	12231 51524	 * 	273.50	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	1358aVULN|258ZMB|4AART|58aBPWR|6RCR|78aDMG|9aCDMG
14	NB2U1	68995_11_23	62222 52115	   	273.43	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|259aVULN|3AART|459DMG|59aBPWR|6ASPD|7aCDMG|89aZMB
15	PJOL6	75516_05_02	11251 15224	   	273.13	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|2AART|379DMG|467aVULN|579ZMB|79aBPWR|89aCDMG
16	Z27ZB	2169_02_01	63351 15112	   	272.91	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|289ZMB|3AART|4CDMG|5789aVULN|689DMG|89BPWR
17	CN52C	38498_07_13	26116 41113	   	272.54	ACR|4VULN|3DMG|2AART|3ZMB|2CDMG	178ZMB|278aVULN|3RCR|46AART|578DMG|78aBPWR|9aCDMG
18	ZTKA9	4628_09_24	33433 24221	   	272.53	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|289CDMG|3AART|469aVULN|568DMG|689BPWR|789ZMB
19	9FS6F	29232_12_08	41312 33533	   	272.53	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|258ZMB|3AART|459aVULN|589BPWR|689CDMG|789DMG
20	L6MAR	62859_11_25	22363 26135	   	272.53	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|279DMG|3AART|467aVULN|579ZMB|79aBPWR|89aCDMG
21	49T8F	14343_02_08	33362 53411	   	272.51	ACR|5VULN|3DMG|3ZMB|1AART|3DUR	179ZMB|2RCR|37aDMG|4AART|5679aVULN|79aBPWR|89aDUR
22	PVO9E	76591_11_22	11513 26231	   	272.41	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG|2DUR	1RCR|259aVULN|3AART|459DMG|59aBPWR|6CDMG|7aDUR|89aZMB
23	PFUCM	75173_07_19	25132 66123	   	272.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|2369aVULN|4AART|5CDMG|79aZMB|89aDMG|9aBPWR
24	HM4B5	52761_04_20	35354 11313	   	272.13	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|24AART|359aVULN|6CDMG|79aDMG|89aZMB|9aBPWR
25	54JQQ	16739_01_01	31135 52421	   	272.12	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	179ZMB|267DMG|3AART|4RCR|5679aVULN|679BPWR|89CDMG
26	ZKJCI	3818_09_08	13332 23634	 * 	271.93	ACR|4VULN|3DMG|3ZMB|1AART|3FLTHEA	1RCR|28aZMB|369aVULN|4AART|568DMG|68aBPWR|78aFLTHEA
27	E5OVF	42681_04_10	25331 73137	   	271.93	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|279aVULN|37aZMB|4AART|5MBVNT|679DMG|79aBPWR|89aCDMG
28	NV46S	70793_10_15	42121 34262	   	271.93	ACR|4VULN|3DMG|3ZMB|1AART|3FLTHEA	1RCR|259aVULN|357ZMB|4AART|59aBPWR|69aDMG|89aFLTHEA
29	1P5KK	7099_08_16	62134 14333	   	271.71	ACR|5VULN|3DMG|3ZMB|1AART|1FLTHEA	1RCR|24789VULN|378DMG|5AART|678ZMB|78BPWR|aFLTHEA
30	4VOG4	16303_07_04	42212 22251	   	271.71	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|2RCR|379ZMB|46789VULN|567DMG|679BPWR|aCDMG
31	9ZOOS	27877_08_07	31124 33246	   	271.71	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|2RCR|3478aVULN|578DMG|678ZMB|78BPWR|9CDMG
32	P5IQ9	74243_12_09	36131 33133	   	271.71	ACR|5VULN|3DMG|3ZMB|1AART|2ASPD	1RCR|27aZMB|3678aVULN|467DMG|5AART|67aBPWR|9aASPD
33	GE9D5	49186_11_12	11353 31616	   	271.53	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|258ZMB|37AART|4589VULN|589BPWR|689DMG|aCDMG
34	OUMIB	73626_06_12	36251 26211	   	271.33	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|279ZMB|347aVULN|5AART|679DMG|79aBPWR|89aCDMG
35	H7RCQ	51480_03_11	41321 51216	   	271.33	ACR|4VULN|3DMG|1AART|3ZMB|3CDMG	1AART|2RCR|389CDMG|49aDMG|568ZMB|789aVULN|89aBPWR
36	ZB1Q1	2961_12_16	51332 55133	 * 	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|26AART|37aZMB|4789aVULN|57aDMG|7aBPWR
37	2Z19H	7715_06_13	23142 31562	   	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|28AART|3679aVULN|479DMG|579ZMB|79BPWR
38	Z88RG	2712_07_26	31113 32655	   	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|27AART|3489aVULN|589ZMB|689DMG|89BPWR
39	2Z19H	7715_06_13	23142 61362	   	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|26AART|3789aVULN|479DMG|579ZMB|79BPWR
40	7D388	23241_10_06	52521 53233	   	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|29AART|378ZMB|4678aVULN|578DMG|78BPWR
41	J31KJ	56790_12_04	31435 53121	   	271.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|23AART|4689aVULN|589ZMB|789DMG|89aBPWR
42	V6G1P	91551_04_28	36333 31342	   	271.23	ACR|5VULN|3DMG|1AART|3CDMG|2ZMB	1RCR|258CDMG|3578aVULN|4AART|58aBPWR|68aDMG|9aZMB
43	MJ2TS	66842_09_14	63134 42333	   	271.21	ACR|4VULN|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|2RCR|379DMG|467ZMB|5679VULN|679BPWR|89DUR|aCDMG
44	SZNKO	82421_08_08	16333 13531	   	271.21	ACR|4VULN|3DMG|1AART|3ZMB|2ASPD|2DUR	1AART|2RCR|389DMG|489ZMB|5aDUR|6aASPD|789aVULN|89aBPWR
45	MJVB2	66922_05_12	13352 22332	 * 	271.14	ACR|4VULN|3DMG|2AART|3CDMG|3DUR	1RCR|279aVULN|37aDUR|46AART|579CDMG|79aBPWR|89aDMG
46	49T8F	14343_02_08	33362 13411	   	271.13	ACR|4VULN|3DMG|2AART|3ZMB|3DUR	179ZMB|2RCR|37aDMG|46AART|579aVULN|79aBPWR|89aDUR
47	TTOCQ	87896_05_15	63425 11233	   	271.12	ACR|5VULN|3DMG|1AART|3CDMG|2ASPD	1RCR|2AART|358DMG|4568aVULN|58aBPWR|78aCDMG|9aASPD
48	ZD3T6	3147_04_11	32346 31433	   	271.11	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|3CDMG|4789aVULN|578ZMB|6AART|78BPWR
49	ECNAF	43304_08_22	51216 22432	   	271.11	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|2789aVULN|3CDMG|48aDMG|58aZMB|6AART|8aBPWR
50	IMJMD	55675_03_30	22163 13233	   	271.11	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|3578aVULN|478ZMB|6AART|78BPWR|9CDMG
51	CK1CK	38219_01_26	43154 33223	   	271.10	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	157DMG|2aCDMG|37aZMB|4579aVULN|57aBPWR|6RCR|8AART
52	7TPQC	24740_06_26	65221 33363	   	270.99	ACR|5VULN|3DMG|3ZMB|1AART|2DUR	1RCR|278ZMB|3578aVULN|4AART|678DMG|78aBPWR|9aDUR
53	9C9NL	28912_01_11	13334 26253	   	270.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|2379VULN|48AART|579DMG|679ZMB|79BPWR|aCDMG
54	5EMMM	17644_03_16	31212 65432	   	270.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|289aVULN|3CDMG|46AART|589ZMB|789DMG|89BPWR
55	PFUCM	75173_07_19	25132 46123	   	270.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|239aVULN|46AART|5CDMG|79aZMB|89aDMG|9aBPWR
56	DUG9B	42028_11_23	16135 12241	   	270.92	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	178DMG|2aCDMG|378ZMB|4RCR|5AART|6789aVULN|78aBPWR
57	HI5GS	52405_09_28	33314 14226	   	270.90	ACR|4VULN|3DMG|1AART|2CDMG|3ASPD|2DUR	1RCR|2AART|378aVULN|4aDUR|578DMG|678ASPD|78aBPWR|9aCDMG
58	VTP7S	93640_07_19	22211 32463	 * 	270.75	ACR|4VULN|3DMG|1AART|3FLTHEA|3CDMG	1RCR|2AART|359aVULN|457DMG|59aBPWR|69aFLTHEA|89aCDMG
59	VAC27	91899_01_03	43323 23354	   	270.73	ACR|4VULN|3DMG|3ZMB|3CDMG|1AART	1RCR|29aZMB|357DMG|459aVULN|59aBPWR|6AART|89aCDMG
60	B586F	34021_07_07	36222 14113	   	270.71	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|27aDMG|38AART|4579aVULN|67aZMB|7aBPWR
61	OKLL2	72726_09_22	32315 42633	   	270.71	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2478aVULN|39AART|58aZMB|68aDMG|8aBPWR
62	14VDC	5287_11_07	31232 31342	   	270.71	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2689aVULN|35AART|469ZMB|69aBPWR|79aDMG
63	14VDC	5287_11_07	31232 36342	   	270.71	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2679aVULN|35AART|469ZMB|69aBPWR|89aDMG
64	Z5CVL	2454_12_30	31222 43615	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|28aZMB|3CDMG|4689aVULN|58aDMG|7AART|8aBPWR
65	81GA8	25072_09_13	12251 24222	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	189ZMB|2RCR|3AART|46789VULN|589DMG|89BPWR|aCDMG
66	A1REU	30845_10_04	13263 53315	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1789aVULN|2RCR|3AART|4CDMG|59aZMB|69aDMG|9aBPWR
67	DVBDU	42104_12_30	36132 23462	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|1FLTHEA	178DMG|2RCR|3AART|46789VULN|578ZMB|789BPWR|aFLTHEA
68	ECK66	43295_11_08	23531 31146	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1578aVULN|2RCR|3AART|478ZMB|678DMG|78BPWR|9CDMG
69	RFRKJ	80907_08_21	21134 41132	   	270.51	ACR|5VULN|3DMG|3ZMB|1AART|2ASPD	1789aVULN|2RCR|3AART|4aASPD|578DMG|678ZMB|78aBPWR
70	Q69QM	77179_05_12	12326 12232	   	270.45	ACR|4VULN|3DMG|2AART|3CDMG|2ZMB	1RCR|289CDMG|35AART|4aZMB|689aVULN|789DMG|89aBPWR
71	C7HN4	37098_07_17	23126 16236	   	270.33	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|289aVULN|3CDMG|49aDMG|56AART|79aZMB|9aBPWR
72	V7ZAJ	91596_12_13	61142 13323	   	270.32	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	179ZMB|2aCDMG|3789aVULN|4RCR|579DMG|6AART|79aBPWR
