0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	NVAHO	70811_07_25	23516 24131	 * 	454.99	ACR|DCR|5VULN|3TLV|2DMG|3ASPD	189ASPD|2aDMG|3589aVULN|46RCR|789TLV|89aBPWR
2	B2JKZ	33784_05_23	31235 64211	 * 	453.05	DCR|DCR|5VULN|3TLV|3DMG|2AEPOI	17aDMG|257TLV|3457aVULN|57aBPWR|69RCR|8aAEPOI
3	UPQTB	90415_06_20	21531 34263	 * 	452.30	ACR|DCR|4VULN|3TLV|3DMG|3ASPD	19aTLV|256ASPD|359aVULN|48RCR|59aBPWR|79aDMG
4	IDF84	54855_05_03	23222 35331	   	448.36	DCR|DCR|4VULN|3TLV|3DMG|1AEBURN	178TLV|2AEBURN|3478VULN|578DMG|6aRCR|78BPWR|9ASPD
5	O4SQ6	71311_05_07	26323 36334	   	445.71	ACR|DCR|4VULN|3TLV|3DMG|1AEBURN	189DMG|2AEBURN|3aRCR|489TLV|5789VULN|6AART|89BPWR
6	818LM	25051_04_11	24313 12634	 * 	445.71	ACR|ACR|4VULN|3TLV|3DMG|1AEBURN	178DMG|24RCR|378TLV|5678VULN|78BPWR|9AART|aAEBURN
7	JFV1L	57949_12_18	34521 33314	   	445.71	ACR|DCR|4VULN|3TLV|3DMG|1AEBURN	17RCR|2AART|349aVULN|5AEBURN|69aDMG|89aTLV|9aBPWR
8	5TM6R	18988_07_21	22411 15132	   	443.99	DCR|DCR|5VULN|3TLV|3DMG	18aDMG|248TLV|3458aVULN|48aBPWR|69RCR|7AART
9	818LM	25051_04_11	24313 12633	 * 	443.99	ACR|ACR|5VULN|3TLV|3DMG	178DMG|24RCR|378TLV|5678aVULN|78BPWR|9AART
10	KI6CH	61020_11_16	31166 21151	 * 	442.65	ACR|DCR|5VULN|3TLV|3DMG	18RCR|24579VULN|357DMG|579BPWR|679TLV|aDUR
11	V8EK1	91726_09_29	13431 21521	   	441.95	ACR|ACR|4VULN|3TLV|3DMG|3DUR	13RCR|279aVULN|47aTLV|5AETHUN|679DUR|79aBPWR|89aDMG
12	GKOM1	49767_12_28	32224 54123	   	441.65	ACR|ACR|4VULN|3TLV|3DMG|1AEPOI	1589VULN|23RCR|4RAT|689TLV|789DMG|89BPWR|aAEPOI
13	IDF84	54855_05_03	23222 35361	   	441.65	DCR|DCR|4VULN|3TLV|3DMG|1AEBURN	178TLV|2AEBURN|3478VULN|578DMG|6aRCR|78BPWR|9ZMB
14	S3MJ2	82687_10_19	21221 22653	   	440.75	ACR|DCR|4VULN|3TLV|3DMG|2ASPD	17RCR|249aVULN|349TLV|49aBPWR|5BEXP|6aASPD|89aDMG
15	KI6CH	61020_11_16	31166 21153	   	439.93	ACR|DCR|5VULN|3TLV|3DMG	18RCR|24579VULN|357DMG|579BPWR|679TLV|aZMB
16	39FEI	11433_06_26	31163 32313	   	439.30	ACR|DCR|5VULN|2TLV|3DMG|2CDMG	135DMG|2356aVULN|35aBPWR|47RCR|8aTLV|9aCDMG
17	39FEI	11433_06_26	42163 32313	   	439.30	ACR|DCR|5VULN|2TLV|3DMG|2CDMG	1356aVULN|235DMG|35aBPWR|47RCR|8aTLV|9aCDMG
18	PCNS2	74886_02_13	22241 16622	   	439.30	ACR|DCR|5VULN|2TLV|3DMG|2CDMG	1567aVULN|27TLV|37aDMG|49RCR|7aBPWR|8aCDMG
19	6V1JN	21981_02_21	22661 21331	   	439.30	ACR|DCR|5VULN|2TLV|3DMG|2AEPOI	1578aVULN|26RCR|38AEPOI|48aDMG|8aBPWR|9aTLV
20	ZPIZK	4263_06_01	35316 21132	   	438.31	ACR|DCR|3TLV|3VULN|3DMG|1AEBURN	189DMG|2aRCR|389TLV|4AART|5AEBURN|6ASPD|789VULN|89BPWR
21	DAGMB	40235_09_21	13136 13136	   	438.04	ACR|DCR|5VULN|2TLV|3DMG|2DUR	1379aVULN|27DUR|45RCR|679DMG|79BPWR|89TLV
22	94OQP	28236_08_18	31442 15312	   	437.96	ACR|ACR|4VULN|3TLV|3DMG	189DMG|24RCR|389aVULN|5ASPD|6DUR|789TLV|89BPWR
23	LUHLO	65000_01_06	22222 46125	   	437.96	ACR|DCR|4VULN|3TLV|3DMG	17aDMG|278aVULN|3ASPD|49RCR|5DUR|67aTLV|7aBPWR
24	J67PT	57077_05_11	31164 32222	   	437.56	ACR|DCR|3VULN|2TLV|3DMG|3ASPD|1AEBURN	18aDMG|28aASPD|37RCR|4AEBURN|59TLV|68aVULN|8aBPWR
25	IFU7R	55076_10_18	62332 61341	   	437.30	DCR|DCR|5VULN|3TLV|2DMG|1AEPOI	12468VULN|348TLV|48BPWR|59RCR|78DMG|aAEPOI
26	2JCBL	9451_01_27	25213 66221	   	437.30	ACR|DCR|5VULN|3TLV|2DMG|3RAT	1289aVULN|3aDMG|47RCR|589TLV|689RAT|89aBPWR
27	G23Z1	48092_04_20	66333 15321	   	436.55	ACR|DCR|4VULN|3TLV|2DMG|3ASPD	148TLV|26RCR|38aASPD|578aVULN|8aBPWR|9aDMG
28	OZ6IP	70890_02_25	51142 21124	   	436.55	ACR|DCR|4VULN|3TLV|2DMG|3ASPD	16RCR|27aASPD|357aVULN|457TLV|57aBPWR|8RCVC|9aDMG
29	P2ZLZ	73923_11_12	15211 31633	   	436.55	ACR|DCR|4VULN|3TLV|2DMG|3ASPD	1aRCR|247TLV|347ASPD|479BPWR|5679VULN|89DMG
30	S3MLI	82688_01_07	15432 12632	   	436.55	ACR|DCR|4VULN|3TLV|2DMG|3ASPD	129aVULN|3aDMG|48RCR|59aTLV|679ASPD|9aBPWR
31	OZ6IP	70890_02_25	51142 21224	   	435.56	ACR|DCR|3TLV|3VULN|2DMG|3ASPD|2AEFBLL	16RCR|27aASPD|357VULN|457TLV|57aBPWR|8aAEFBLL|9aDMG
