0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	NQI8N	70384_08_15	42213 41343	 * 	377.65	DCR|2SPLARM|2MDPS|3VULN|2AART|2DMG	16AART|238VULN|48SPLARM|58DMG|7RCR|8BPWR|9aMDPS
2	V8EZS	91725_01_24	24363 32533	 * 	370.63	DCR|2SPLARM|2MDPS|3VULN|2DMG|2ASPD	137VULN|23SPLARM|37BPWR|47ASPD|57DMG|6RCR|8ZMB|9aMDPS
3	H1IL9	50917_05_29	51135 11351	 * 	369.98	DCR|2SPLARM|2MDPS|3VULN|3ASPD|1AART	147VULN|247ASPD|3AART|47BPWR|57SPLARM|6RCR|8aMDPS|9RPLT
4	R9BPD	80324_11_27	33125 42315	   	364.37	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1NUKE	17SPLARM|2ERES|3AART|47VULN|57DMG|6RCR|7BPWR|89MDPS|aNUKE
5	SAUMG	83338_07_16	62133 34326	 * 	362.61	DCR|2SPLARM|2MDPS|3DMG|2ASPD|1AART|2CDMG	148DMG|24SPLARM|3AART|48BPWR|58ASPD|6RCR|78CDMG|9aMDPS
6	46IZC	14042_05_29	12263 33632	   	361.00	DCR|2SPLARM|2MDPS|3VULN|2DMG|2DUR	137VULN|23SPLARM|37BPWR|47DUR|57DMG|6RCR|8aMDPS|9RCVC
7	GI78S	49539_09_30	32531 52322	   	360.28	DCR|2SPLARM|2MDPS|2VULN|1AART|2DUR|1DMG|1ASPD	17SPLARM|27DUR|3DMG|4ASPD|5AART|67VULN|7BPWR|8RCR|9aMDPS
8	EHQJ7	43762_05_25	62312 13112	 * 	360.06	DCR|2SPLARM|2MDPS|3DMG|2VULN|1AART	1BELT|28VULN|378DMG|4AART|58SPLARM|6RCR|8BPWR|9aMDPS
9	Z8BIV	2720_03_25	52235 32432	   	359.00	DCR|2SPLARM|2MDPS|3VULN|2DMG|2DUR	18DMG|256VULN|38DUR|48SPLARM|7RCR|8BPWR|9aMDPS
10	PJROT	75525_01_26	13133 43124	 * 	358.17	ACR|4VULN|2SPLARM|2MDPS|2DMG|1AART	1RCR|2368VULN|38BPWR|48DMG|58SPLARM|7AART|9aMDPS
11	CL4JD	38317_10_16	62623 32243	   	357.96	DCR|2SPLARM|2MDPS|3DMG|2VULN|1AART	158DMG|2AART|3ERES|48VULN|68SPLARM|7RCR|8BPWR|9aMDPS
12	P4I3N	74152_03_30	12244 11211	   	357.96	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1CDMG	17DMG|2CDMG|3AART|47VULN|57SPLARM|6RCR|7BPWR|89MDPS|aBELT
13	P4I3N	74152_03_30	12244 11212	   	357.96	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1CDMG	17DMG|2CDMG|3AART|47VULN|57SPLARM|6RCR|7BPWR|89MDPS|aLIT
14	P4I3N	74152_03_30	12244 11213	   	357.96	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1CDMG|1MSE	17DMG|2CDMG|3AART|47VULN|57SPLARM|6RCR|7BPWR|89MDPS|aMSE
15	P4I3N	74152_03_30	12244 11214	   	357.96	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1CDMG	17DMG|2CDMG|3AART|47VULN|57SPLARM|6RCR|7BPWR|89MDPS|aDUR
16	P4I3N	74152_03_30	12244 11215	   	357.96	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1CDMG	17DMG|2CDMG|3AART|47VULN|57SPLARM|6RCR|7BPWR|89MDPS|aLHND
17	PRKJU	76222_09_26	33136 54323	 * 	357.83	ACR|2SPLARM|2MDPS|3DMG|2VULN|1AART|2CDMG	1RCR|248DMG|34CDMG|48BPWR|58VULN|6AART|78SPLARM|9aMDPS
18	1F7UH	6208_12_10	24313 21632	   	357.49	DCR|2SPLARM|2MDPS|3DMG|2VULN|2DUR	17DUR|24SPLARM|347DMG|47BPWR|57VULN|6RCR|8aMDPS|9SNIFST
19	M8QAE	65921_06_01	61233 25623	   	357.10	DCR|2SPLARM|2MDPS|3VULN|2DMG|2DUR	17SPLARM|247VULN|34DMG|47BPWR|5CGEN|67DUR|8RCR|9aMDPS
20	15MQA	5353_06_20	21413 62372	   	357.00	DCR|2SPLARM|2MDPS|3VULN|2DMG|2DUR	1MBVNT|247VULN|34DUR|47BPWR|57SPLARM|67DMG|8RCR|9aMDPS
21	OJ8N9	72600_10_03	56222 34211	   	356.80	DCR|2SPLARM|2MDPS|2VULN|2ASPD|1AART|2DUR	18SPLARM|26DUR|38VULN|4AART|58ASPD|7RCR|8BPWR|9aMDPS
22	11F8T	4973_06_15	11546 21112	   	356.75	DCR|2SPLARM|2MDPS|3VULN|2ASPD|1AART	18SPLARM|2LIT|378VULN|4AART|58ASPD|6RCR|8BPWR|9aMDPS
23	GBQVZ	48966_12_10	23215 15161	   	356.66	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1ASPD	1AART|27VULN|37DMG|4MULARM|5ASPD|67SPLARM|7BPWR|8RCR|9aMDPS
24	OG2CQ	72313_11_14	64333 15223	   	355.55	DCR|2SPLARM|2MDPS|2AART|2DMG|1VULN|2DUR	17DUR|26AART|3VULN|47SPLARM|57DMG|7BPWR|8RCR|9aMDPS
25	LBM6M	63308_02_12	11325 61412	   	355.49	DCR|2SPLARM|2MDPS|3DMG|2VULN|2DUR	156DMG|28VULN|38DUR|48SPLARM|7RCR|8BPWR|9aMDPS
26	2FROD	9135_05_20	23253 44348	   	355.49	DCR|2SPLARM|2MDPS|3DMG|2VULN|2DUR	18VULN|24SPLARM|348DMG|48BPWR|58DUR|6MBVNT|7RCR|9aMDPS
27	3GB6C	12049_07_24	14313 62142	 * 	355.40	DCR|5VULN|3SPLARM|3DMG|1MDPS|1AART	1AART|25789VULN|379DMG|479SPLARM|6RCR|79BPWR|aMDPS
28	LCS3Q	63414_05_27	15424 23232	   	355.36	DCR|2SPLARM|2MDPS|2VULN|2DMG|1AART|1AAC	17VULN|2RMIN|37DMG|4AART|57SPLARM|6RCR|7BPWR|8aMDPS|9AAC
29	AU6C8	33388_05_27	42236 43121	 * 	354.62	DCR|3SPLARM|2MDPS|3VULN|3DUR|1AART	178VULN|2ERES|378SPLARM|478DUR|5AART|6RCR|78BPWR|9aMDPS
30	2MULB	9771_07_14	63111 35243	 * 	354.56	DCR|3SPLARM|2MDPS|3DMG|2VULN|1ASPD	147SPLARM|247DMG|3RPLT|47BPWR|57VULN|6RCR|8ASPD|9aMDPS
31	B3HLP	33868_08_28	21623 35326	 * 	354.52	ACR|2SPLARM|2MDPS|3VULN|2ASPD|1AART|1DMG	1RCR|27SPLARM|3AART|467VULN|57ASPD|7BPWR|8DMG|9aMDPS
32	FJZI2	46739_09_27	53253 13222	 * 	354.51	DCR|3VULN|1SPLARM|3DMG|3ASPD|1MDPS|1AART	178ASPD|2AART|3RCVC|478DMG|578VULN|6RCR|78BPWR|9SPLARM|aMDPS
33	FJZI2	46739_09_27	53553 13222	   	354.51	DCR|3VULN|1SPLARM|3DMG|3ASPD|1MDPS|1AART	178ASPD|2AART|3DMSP|478DMG|578VULN|6RCR|78BPWR|9SPLARM|aMDPS
34	S6Z86	82894_04_24	21121 23314	 * 	353.67	DCR|3MDPS|2SPLARM|3VULN|2ASPD|1AART	138VULN|2AART|48ASPD|58SPLARM|69aMDPS|7RCR|8BPWR
35	7313F	22338_08_01	12341 31624	   	353.65	DCR|2SPLARM|2MDPS|2VULN|2ASPD|1AART|1DMG	17VULN|2DMG|37SPLARM|4RPLT|57ASPD|6AART|7BPWR|8RCR|9aMDPS
36	VMHQB	92991_09_23	26163 33473	   	353.49	DCR|2SPLARM|2MDPS|3DMG|2VULN|2DUR	137DMG|23SPLARM|37BPWR|47VULN|5MBVNT|67DUR|8RCR|9aMDPS
37	RJZ51	81189_06_09	22213 15335	   	353.39	DCR|3VULN|1SPLARM|3DMG|3ASPD|1MDPS|1CDMG	189ASPD|2CDMG|389DMG|4SPLARM|5DUR|689VULN|7RCR|89BPWR|aMDPS
38	HRNTR	53264_10_13	11234 73123	   	353.00	DCR|2SPLARM|2MDPS|2DMG|2ASPD|1VULN|1AART	17SPLARM|27ASPD|3AART|4MBVNT|57DMG|6RCR|7BPWR|8VULN|9aMDPS
39	HRNTR	53264_10_13	13234 73123	   	353.00	DCR|2SPLARM|2MDPS|2DMG|2ASPD|1VULN|1AART	17SPLARM|2AART|37ASPD|4MBVNT|57DMG|6RCR|7BPWR|8VULN|9aMDPS
40	61OHV	19353_12_31	16342 13315	   	352.75	DCR|2SPLARM|2MDPS|3VULN|2ASPD|1AART	137VULN|2AART|47ASPD|5RCVC|67SPLARM|7BPWR|8RCR|9aMDPS
41	Z43NI	2339_05_05	52333 22155	 * 	352.74	DCR|2SPLARM|2MDPS|2AART|2ASPD|1VULN|2DUR	18DUR|24AART|3VULN|58ASPD|6RCR|78SPLARM|8BPWR|9aMDPS
42	9FMEV	29216_11_10	23226 55213	 * 	352.58	DCR|4VULN|2SPLARM|2MDPS|2DMG	17DMG|2DUST|3567VULN|47SPLARM|7BPWR|8RCR|9aMDPS
