0	Index      	 *	Score 	Summary	Detail	
1	13112 61626	 * 	220.42	DCR|3VULN|3DMG|3CDMG|1AART	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aAART
2	12213 22661	   	215.26	DCR|3VULN|3DMG|3CDMG|1ZMB	189CDMG|2ZMB|389VULN|4ASPD|5LWND|6RCR|789DMG|89BPWR|aFEWX
3	12213 22662	   	215.26	DCR|3VULN|3DMG|3CDMG|1ZMB	189CDMG|2ZMB|389VULN|4ASPD|5LWND|6RCR|789DMG|89BPWR|aMLV
4	12213 22664	   	215.26	DCR|3VULN|3DMG|3CDMG|1ZMB	189CDMG|2ZMB|389VULN|4ASPD|5LWND|6RCR|789DMG|89BPWR|aBELT
5	12213 22666	   	215.16	DCR|3VULN|3DMG|3CDMG|1ZMB	189CDMG|2ZMB|389VULN|4ASPD|5LWND|6RCR|789DMG|89BPWR|aDUST
6	12215 22633	 * 	204.77	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18CDMG|29ZMB|38VULN|4ASPD|5FEWX|6RCR|78DMG|8BPWR|aAART
7	13112 61621	   	204.16	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aASPD
8	12215 22664	   	200.82	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	18CDMG|2ZMB|38VULN|4ASPD|5FEWX|6RCR|78DMG|8BPWR|9MBVNT|aAART
9	56434 51214	 * 	199.62	ACR|3VULN|3DMG|1CDMG|2DUR	1MBVNT|2RCR|35DUR|459VULN|5BPWR|678DMG|aCDMG
10	63232 11426	 * 	199.00	DCR|5VULN|2DMG|1AART	12679VULN|37LWND|47DMG|5AART|7BPWR|8CGEN|aRCR
11	35313 22662	 * 	198.25	DCR|5VULN|3DMG	1RPLT|23489VULN|589LWND|6RCR|789DMG|89BPWR|aBEXP
12	35313 22663	   	198.25	DCR|5VULN|3DMG	1RPLT|23489VULN|589LWND|6RCR|789DMG|89BPWR|aRCVC
13	35313 22661	   	198.15	DCR|5VULN|3DMG	1RPLT|23489VULN|589LWND|6RCR|789DMG|89BPWR|aERES
14	13612 61622	   	197.32	DCR|3VULN|3DMG|3CDMG	178CDMG|278LWND|3FEWX|49aVULN|578DMG|6RCR|78BPWR
15	13112 61622	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aFEWX
16	13112 61624	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aLHND
17	13112 61625	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aBEXP
18	13112 61634	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2aLWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT
19	13112 61635	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT|aDMSP
20	13112 61636	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT|aRPLT
21	13112 61642	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9LHND|aMGNSTR
22	13112 61643	   	197.22	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9LHND|aFEWX
