0	Index      	 *	Score 	Summary	Detail	
1	21252 13536	 * 	207.13	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	1aAART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG
2	21152 13536	 * 	200.40	ACR|3AART|2VULN|2DMG|1CDMG	13aAART|2RCR|46VULN|5LHND|78DMG|9CDMG
3	21252 41432	 * 	200.27	ACR|3VULN|1AART|2FLTHEA|1DMG|1ZMB	1AART|2RCR|39MLV|479VULN|5ZMB|6BEXP|89FLTHEA|9BPWR|aDMG
4	21252 61432	   	200.17	ACR|3VULN|1AART|2FLTHEA|1DMG|1ZMB	1AART|2RCR|39MLV|479VULN|5ZMB|6DUST|89FLTHEA|9BPWR|aDMG
5	21152 13552	 * 	198.13	ACR|3VULN|2AART|2DMG	13AART|2RCR|46aVULN|5LHND|78DMG|9RPLT
6	21112 13152	   	198.09	ACR|3VULN|2AART|2DMG|1SELL	13AART|2RCR|49LWND|5LHND|69aVULN|79DMG|8SELL|9BPWR
7	21114 13152	   	198.09	ACR|3VULN|2AART|2DMG|1SELL	13AART|2RCR|49LWND|5FEWX|69aVULN|79DMG|8SELL|9BPWR
8	21152 13526	   	198.03	ACR|3VULN|2AART|2DMG	13AART|2RCR|46aVULN|5LHND|78DMG|9TLV
9	21152 63152	   	197.89	ACR|3VULN|2AART|2DMG|1SELL	13AART|2RCR|49aVULN|5LHND|69DUST|79DMG|8SELL|9BPWR
10	21151 25262	 * 	197.44	ACR|2AART|2VULN|2DMG|2ZMB	13AART|2RCR|4aVULN|5LIT|6aZMB|7MLV|8ERES|9aDMG|aBPWR
11	21152 13531	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9CDMG|aBEXP
12	21152 13532	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9CDMG|aFEWX
13	21152 13535	   	196.13	ACR|2AART|2DMG|2VULN|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9CDMG|aCGEN
14	21152 13553	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9RPLT|aCDMG
15	21154 13531	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5FEWX|78DMG|9CDMG|aBEXP
16	21154 13532	   	196.13	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5aFEWX|78DMG|9CDMG
17	21112 13153	   	196.09	ACR|2AART|2DMG|2VULN|1CDMG|1SELL	13AART|2RCR|49LWND|5LHND|69VULN|79DMG|8SELL|9BPWR|aCDMG
18	21114 13153	   	196.09	ACR|2AART|2DMG|2VULN|1CDMG|1SELL	13AART|2RCR|49LWND|5FEWX|69VULN|79DMG|8SELL|9BPWR|aCDMG
19	21152 13366	   	196.03	ACR|2AART|2DMG|2VULN|1FLTHEA	13AART|2RCR|46VULN|5LHND|7aDMG|8DUST|9FLTHEA
20	21152 13533	   	196.03	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9CDMG|aDUST
21	21152 13534	   	196.03	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5LHND|78DMG|9CDMG|aERES
22	21154 13533	   	196.03	ACR|2AART|2VULN|2DMG|1CDMG	13AART|2RCR|46VULN|5FEWX|78DMG|9CDMG|aERES
23	21152 63153	   	195.89	ACR|2AART|2DMG|2VULN|1CDMG|1SELL	13AART|2RCR|49VULN|5LHND|69DUST|79DMG|8SELL|9BPWR|aCDMG
24	21252 13531	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG|aBEXP
25	21252 13532	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG|aFEWX
26	21252 13535	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG|aCGEN
27	21452 13531	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3CGEN|46VULN|5ZMB|78DMG|9CDMG|aBEXP
28	21452 13532	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3CGEN|46VULN|5ZMB|78DMG|9CDMG|aFEWX
29	21252 13533	   	195.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG|aDUST
30	21252 13534	   	195.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG|aERES
31	21452 13533	   	195.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|3CGEN|46VULN|5ZMB|78DMG|9CDMG|aDUST
32	21452 13234	   	193.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCR|3CGEN|46aVULN|5ZMB|7DMG|8RCVC|9CDMG
33	15625 22232	 * 	192.03	ACR|2VULN|2DMG|1AART|3ASPD|1DUR	19aASPD|29DMG|3RCR|4LHND|5RMIN|6DUR|7AART|89VULN|9BPWR
