0	Index      	 *	Score 	Summary	Detail	
1	12456 13121	 * 	197.43	DCR|2AART|2DMG|1VULN|2CDMG|2ZMB|1DUR	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9DUR|aVULN
2	36232 16235	 * 	194.33	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|8DUR|9CDMG|aDMG
3	66324 12321	 * 	191.39	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1ZMB|2RCR|3BEXP|45DMG|6aVULN|79ASPD|8AART
4	41322 14335	 * 	191.08	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|26ASPD|3DUST|4LWND|568VULN|6BPWR|7RCR|9CDMG|aDMG
5	41332 14335	   	191.08	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|26ASPD|3DUST|4LHND|568VULN|6BPWR|7RCR|9CDMG|aDMG
6	12456 13111	   	190.49	DCR|2AART|2DMG|1VULN|2CDMG|2ZMB	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9FEWX|aVULN
7	44241 11213	 * 	189.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|3LWND|4DMSP|578VULN|68DUR|8BPWR|9DMG|aRCR
8	44311 11213	   	189.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|34FEWX|578VULN|68DUR|8BPWR|9DMG|aRCR
9	31232 14335	   	188.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	16ASPD|2DUST|3LWND|468VULN|5AART|6BPWR|7RCR|9CDMG|aDMG
10	66324 12322	 * 	187.45	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1ZMB|2RCR|3BEXP|45DMG|6VULN|79ASPD|8AART|aCDMG
11	36232 16335	   	187.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|8BEXP|9CDMG|aDMG
12	13651 11263	   	187.28	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	18CDMG|2DMG|3RMIN|4AART|578VULN|68DUR|8BPWR|9MLV|aRCR
13	13651 11241	   	187.18	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	18CDMG|2DMG|3RMIN|4AART|578VULN|68DUR|8BPWR|9LSRHEA|aRCR
14	11351 11213	   	187.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	18CDMG|23DUST|4AART|578VULN|68DUR|8BPWR|9DMG|aRCR
15	13451 11241	   	187.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	18CDMG|2DMG|3NUKE|4AART|578VULN|68DUR|8BPWR|9LSRHEA|aRCR
16	36236 83331	 * 	187.04	ACR|4VULN|1AART|1DMG|1ASPD	1ASPD|2RCR|3LWND|489aVULN|5MBVNT|6AART|7DMG
17	13325 22435	 * 	186.73	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|256DMG|3LWND|4AART|7RCR|8BEXP|9VULN|aZMB
18	66321 33131	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2RCR|3BEXP|47DMG|5AART|6CGEN|8ASPD|9aVULN
19	66321 43131	   	186.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2RCR|3BEXP|47DMG|5AART|6TLV|8ASPD|9aVULN
20	12451 11241	 * 	186.38	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB|2DUR	18CDMG|28ZMB|3DMG|4AART|57VULN|68DUR|8BPWR|9LSRHEA|aRCR
21	36232 16421	 * 	186.16	ACR|4VULN|2AART|1ASPD|1DUR	1ASPD|2RCR|36LWND|467aVULN|58AART|6BPWR|9DUR
22	13325 26314	 * 	186.12	DCR|3DMG|2VULN|1AART|1CDMG	1CDMG|256DMG|3LWND|4AART|79VULN|8DMSP|aRCR
23	13352 12362	 * 	186.12	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|26DMG|3LWND|45aVULN|7BELT|8AART|9RCR
24	12454 33121	   	185.98	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB|1DUR	17CDMG|27ZMB|37DMG|4AART|5RPLT|6RCVC|7BPWR|8RCR|9DUR|aVULN
25	36232 16422	 * 	185.71	ACR|3VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|2RCR|36LWND|467VULN|58AART|6BPWR|9DUR|aCDMG
26	24121 22653	 * 	185.33	ACR|3VULN|2DMG|1AART|1DUR	1aLIT|2TLV|3AART|48aVULN|5RCR|6BEXP|7DUR|9aDMG|aBPWR
27	36232 16234	   	185.27	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|8DUR|9CDMG|aZMB
28	24121 12653	   	185.23	ACR|3VULN|2DMG|1AART|1DUR	1aLIT|2TLV|3AART|48aVULN|5RCR|6DUST|7DUR|9aDMG|aBPWR
