0	Index      	 *	Score 	Summary	Detail	
1	32136 14321	 * 	205.43	DCR|3VULN|3DMG|1AART|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aAART
2	32136 14323	 * 	182.22	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aFEWX
3	32136 14324	 * 	182.22	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aMLV
4	32136 14325	 * 	182.22	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aLIT
5	31136 14364	 * 	182.12	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|368VULN|4SELL|568DMG|68BPWR|7RCR|9MBVNT|aCDMG
6	32136 14322	 * 	182.12	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aDUST
7	32136 14326	 * 	182.12	DCR|3VULN|3DMG|1CDMG|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CDMG|aAIRHEA
8	32136 14332	 * 	179.58	DCR|3VULN|3DMG|1ZMB|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9ZMB|aMLV
9	32136 14333	 * 	179.58	DCR|3VULN|3DMG|1ZMB|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9ZMB|aCGEN
10	32136 14334	 * 	179.58	DCR|3VULN|3DMG|1ZMB|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9ZMB|aRMIN
11	33518 31421	 * 	179.56	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1LHND|2aAART|3MBVNT|48DMG|5CDMG|6ASPD|7RCR|9VULN
12	32136 14331	 * 	179.33	DCR|3VULN|3DMG|1ZMB|2SELL	128LHND|268BPWR|368VULN|4aSELL|568DMG|7RCR|9ZMB
13	31136 14321	 * 	175.51	DCR|3VULN|3DMG|1DUR|1SELL	128LHND|368VULN|4SELL|568DMG|68BPWR|7RCR|9LWND|aDUR
14	31136 14341	 * 	175.51	DCR|3VULN|3DMG|1DUR|1SELL	128LHND|368VULN|4SELL|568DMG|68BPWR|7RCR|9FEWX|aDUR
15	32136 14316	 * 	175.51	DCR|3VULN|3DMG|1ASPD|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9CGEN|aASPD
16	32136 14362	 * 	175.51	DCR|3VULN|3DMG|1ASPD|1SELL	128LHND|268BPWR|368VULN|4SELL|568DMG|7RCR|9BEXP|aASPD
