0	Index      	 *	Score 	Summary	Detail	
1	12234 34324	 * 	205.48	ACR|3VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9LWND|aDMG
2	12234 34331	   	205.24	ACR|3VULN|1AART|1DMG|2ASPD|2DUR|1ZMB|1SELL	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9SELL|aDMG
3	16122 32343	 * 	203.33	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aDUR
4	16512 32742	 * 	202.64	ACR|3VULN|2DMG|1AART|2ZMB	1RCR|29VENICY|3AART|46DMG|5MBVNT|79aVULN|89ZMB|9BPWR
5	11544 11212	 * 	201.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LIT|3DUR|4567VULN|8AART|9DMG|aCDMG
6	16511 32215	 * 	201.99	ACR|4VULN|2DMG|1AART	1RCR|2aVENICY|3AART|46DMG|579aVULN|8aLWND|aBPWR
7	16511 32324	   	201.79	ACR|4VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579aVULN|89TLV|9BPWR
8	36632 11241	 * 	200.20	DCR|4VULN|2DMG|1AART|2DUR	1479VULN|2AART|3DMSP|5LWND|69DMG|89DUR|9BPWR|aRCR
9	12234 34234	   	199.52	ACR|4VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|479aVULN|57ASPD|6AART|7BPWR|8CGEN
10	12234 34314	   	199.52	ACR|4VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478aVULN|57ASPD|6AART|7BPWR|9CGEN
11	12234 34236	   	199.07	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|479VULN|57ASPD|6AART|7BPWR|8CGEN|aCDMG
12	12234 34316	   	199.07	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9CGEN|aCDMG
13	13211 32346	 * 	197.66	ACR|4VULN|1AART|1DMG|2ZMB	1RCR|29FEWX|39ZMB|4RCVC|5789VULN|6AART|9BPWR|aDMG
14	12341 21653	   	197.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RCR|2aDUR|3CDMG|4aVULN|5AART|6LIT|7BELT|8MLV|9aDMG|aBPWR
15	12234 34336	 * 	196.62	ACR|3VULN|2AART|2ASPD|2DUR|1ZMB|1SELL	1RCR|27DUR|3ZMB|478VULN|57ASPD|6aAART|7BPWR|9SELL
16	16122 32341	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aDMSP
17	16122 32342	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aRCVC
18	16122 32346	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aRPLT
19	32221 52356	 * 	196.33	DCR|4VULN|3CDMG|1AART|2ZMB|1SELL	128aVULN|28BPWR|3SELL|48ZMB|578CDMG|6RCR|9AART
20	16122 32344	   	196.29	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4aERES|5ZMB|7AART|89DMG|9BPWR
21	16122 32345	   	196.29	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aMBVNT
22	16561 32322	 * 	194.83	ACR|3DMG|2VULN|1AART|1ASPD	1RCR|29VENICY|3AART|47MLV|59VULN|689DMG|9BPWR|aASPD
23	16511 32232	   	194.73	ACR|3VULN|2DMG|1AART|1ASPD	1RCR|2VENICY|3AART|46DMG|57aVULN|8LWND|9ASPD
24	16511 32213	   	194.73	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2VENICY|3AART|46DMG|579VULN|8LWND|aDUR
25	16511 32362	   	194.63	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2VENICY|3AART|46DMG|57aVULN|8TLV|9DUR
26	16515 22112	 * 	194.48	ACR|2AART|2VULN|2DMG|1ZMB	1RCR|2VENICY|36AART|45DMG|7ZMB|8aVULN|9MBVNT
27	12434 34331	   	194.14	ACR|3VULN|1AART|1DMG|2ASPD|2DUR|1SELL	1RCR|27DUR|3NUKE|478VULN|57ASPD|6AART|7BPWR|9SELL|aDMG
28	12643 23123	   	193.88	ACR|3DMG|1AART|1VULN|2ASPD|2DUR	1RCR|29DUR|38ASPD|49LWND|569DMG|7AART|9BPWR|aVULN
29	13211 32316	   	193.60	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2FEWX|3ZMB|4RCVC|5789VULN|6AART|aDMG
30	13224 34133	 * 	193.60	ACR|4VULN|1AART|3ASPD|1ZMB	1RCR|27FEWX|3ZMB|479aVULN|578ASPD|6AART|7BPWR
31	12234 34112	 * 	193.55	ACR|2VULN|1AART|3ASPD|3DUR|1FLTHEA|1ZMB	1RCR|279DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|aFLTHEA
32	12234 34531	   	193.44	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD|2DUR|1SELL	1RCR|27DUR|38ZMB|47VULN|57ASPD|6AART|7BPWR|9SELL|aDMG
33	13224 34324	   	193.25	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|478VULN|57ASPD|6AART|7BPWR|9LWND|aDMG
34	13224 34331	   	193.01	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB|1SELL	1RCR|27FEWX|3ZMB|478VULN|57ASPD|6AART|7BPWR|9SELL|aDMG
35	12261 41311	   	192.98	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	1RCR|25DUR|38ZMB|4CDMG|6VULN|7AART|9aDMG
