0	Index      	 *	Score 	Summary	Detail	
1	11631 11651	 * 	199.65	ACR|3VULN|2DMG|1AART|2ZMB	19aVULN|2AART|3RCVC|4RCR|59ZMB|6AIRHEL|7LHND|89DMG|9BPWR
2	54242 13522	 * 	199.48	DCR|3VULN|3DMG|1AART|1ZMB|1SELL	1MBVNT|2SELL|3AART|467DMG|578VULN|7BPWR|9ZMB|aRCR
3	11631 32166	 * 	198.70	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19aVULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG
4	11631 61153	   	198.70	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	189VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|aCDMG
5	54242 23522	 * 	195.27	DCR|3DMG|2AART|2VULN|1ZMB|1SELL	1MBVNT|2SELL|36AART|478DMG|57VULN|7BPWR|9ZMB|aRCR
6	11661 22112	 * 	192.73	DCR|3VULN|3DMG|1AART	147VULN|2AART|3RCVC|57CANSTR|679DMG|7BPWR|8BELT|aRCR
7	52327 23834	 * 	191.48	DCR|3VULN|2DMG|3ASPD|3DUR	1MBVNT|239DUR|4aDMG|59aVULN|6RCR|79aASPD|8RPLT|9aBPWR
8	11631 32442	 * 	189.98	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|79DMG|8ASPD|aCDMG
9	11631 32164	   	189.98	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|aASPD
10	11631 61142	   	189.98	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	18VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|9DUR|aCDMG
11	13123 53162	 * 	189.72	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2RCVC|36TLV|4AART|567DMG|6BPWR|8CDMG|aRCR
12	11631 32161	 * 	189.35	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8aCDMG
13	23254 47434	   	189.32	DCR|3VULN|3DMG|1AART	1RMIN|279ERES|379VULN|479DMG|5MBVNT|6RPLT|79BPWR|8RCR|aAART
14	58144 44232	 * 	188.90	ACR|3VULN|3DMG|3ASPD	1MBVNT|279ASPD|37aERES|4RCR|579DMG|6RPLT|79aBPWR|89aVULN
15	58144 44234	   	188.90	ACR|3VULN|3DMG|3ASPD	1MBVNT|279ASPD|37ERES|4RCR|579DMG|6RPLT|79BPWR|89aVULN
16	54243 37481	   	187.95	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	1MBVNT|2SELL|3AART|49DMG|5LIT|69VULN|79DUR|8RCR|9BPWR|aCDMG
17	52282 24742	   	187.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2aDUR|3CGEN|4aVULN|5ZMB|6RCR|7AART|8LIT|9aDMG|aBPWR
18	52182 24742	   	187.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1MBVNT|2aDUR|3TLV|4aVULN|5ZMB|6RCR|7AART|8LIT|9aDMG|aBPWR
19	11631 32634	 * 	187.78	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD|1DUR	19VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|aASPD
