0	Index      	 *	Score 	Summary	Detail	
1	22365 21325	 * 	190.52	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aDMG|26CDMG|3aVULN|4ASPD|5AART|7RCR|8LIT|9aLHND|aBPWR
2	63533 52131	 * 	190.03	ACR|5VULN|1AART|1DMG	1678aVULN|25LHND|3AART|4RCR|9DMG
3	23335 11262	 * 	189.12	DCR|3DMG|2VULN|1AART|1CDMG	14aDMG|2LIT|3AART|5CDMG|68VULN|7LSRICY|9RCR
4	62115 52122	 * 	186.22	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1678VULN|2DUR|3DMG|4TLV|5AART|9ZMB|aRCR
5	22165 21352	 * 	185.91	DCR|2DMG|1AART|3CDMG|1VULN|1DUR|1ASPD	19DMG|269CDMG|3DUR|4ASPD|5AART|7RCR|89CGEN|9BPWR|aVULN
6	21324 67246	   	185.78	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|29BEXP|3MBVNT|4DUST|5AART|6RCR|7aVULN|89CDMG|9BPWR
7	23332 34152	   	184.79	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	146DMG|26LIT|3AART|5SELL|6BPWR|7ZMB|8RCR|9CDMG|aVULN
8	12365 21225	 * 	184.18	DCR|2AART|2VULN|1DMG|2CDMG|1ASPD	1ASPD|26CDMG|3aVULN|4DMG|59AART|7RCR|8LWND
9	22365 21225	   	184.18	DCR|2AART|2VULN|1DMG|2CDMG|1ASPD	1DMG|26CDMG|3aVULN|4ASPD|59AART|7RCR|8LWND
10	22124 51135	   	183.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	18DMG|28CDMG|3DUR|4FEWX|5AART|68VULN|7BELT|8BPWR|9CGEN|aRCR
11	22124 51115	   	183.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	18DMG|28CDMG|3DUR|4FEWX|5AART|68VULN|7BELT|8BPWR|9ERES|aRCR
12	21432 33635	 * 	182.57	DCR|3VULN|3DMG|3DUR	19aDMG|2BEXP|39aDUR|4DMSP|5LHND|6MLV|79aVULN|8RCR|9aBPWR
13	63511 52132	   	181.81	DCR|4VULN|1AART|1DMG|2DUR	1678VULN|2LHND|3AART|45DUR|9DMG|aRCR
14	24318 81123	   	181.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	19aDMG|2DUR|3MBVNT|4VULN|5AART|6RCR|7ZMB|8LHND
15	24318 81323	   	181.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	19aDMG|2DUR|3MBVNT|4VULN|5AART|6RCR|7ZMB|8FEWX
16	21357 11245	 * 	181.58	DCR|3DMG|3CDMG|1AART|3ASPD	18aDMG|26BEXP|3MBVNT|48aCDMG|58aASPD|7AART|8aBPWR|9RCR
17	63532 21161	 * 	180.64	ACR|3DMG|2VULN|1AART|1SELL	18VULN|28LHND|3AART|4RCR|5SELL|689DMG|7BELT|8BPWR|aRPLT
18	63532 21162	 * 	180.64	ACR|3DMG|2VULN|1AART|1SELL	18VULN|28LHND|3AART|4RCR|5SELL|689DMG|7BELT|8BPWR|aMLV
19	63532 21163	 * 	180.54	ACR|3DMG|2VULN|1AART|1SELL	18VULN|28LHND|3AART|4RCR|5SELL|689DMG|7BELT|8BPWR|aTLV
20	23335 11263	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|2LIT|3AART|5CDMG|68VULN|7LSRICY|9RCR|aASPD
21	12365 21325	 * 	179.54	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aASPD|26CDMG|3aVULN|4DMG|5AART|7RCR|8LIT|9aLHND|aBPWR
22	12465 21223	 * 	179.54	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	18ASPD|26CDMG|38FEWX|48DMG|5AART|7RCR|8BPWR|9BELT|aVULN
23	22465 21223	   	179.54	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	18DMG|26CDMG|38FEWX|48ASPD|5AART|7RCR|8BPWR|9BELT|aVULN
24	22365 21336	   	178.87	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	1aDMG|26aCDMG|3VULN|4ASPD|5AART|7RCR|8aLIT|9MBVNT|aBPWR
25	62615 21321	 * 	178.67	DCR|2VULN|1AART|3CDMG|1DMG|1DUR	1aVULN|2DUR|346CDMG|5AART|7RCR|8ERES|9DMG
26	25331 34363	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|2ZMB|3CGEN|48VULN|5BEXP|7RCR|9DUR|aAART
27	23332 34161	   	178.08	DCR|3DMG|1AART|1VULN|1ZMB|1DUR|1SELL	146DMG|26LIT|3AART|5SELL|6BPWR|7ZMB|8RCR|9VULN|aDUR
28	21412 13164	   	177.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|2BEXP|3DUR|4aVULN|5FEWX|6RCR|7ASPD|8AART
29	23334 54122	   	177.87	DCR|3DMG|2VULN|1AART	145DMG|27LIT|3AART|6aVULN|8RCR|9CGEN
30	14314 11535	   	177.29	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|2DUR|1ZMB	18ASPD|28DUR|3MBVNT|4VULN|5ZMB|6AART|78CDMG|8BPWR|9DMG|aRCR
31	63533 52132	   	177.20	ACR|4VULN|1AART|1DMG	1678VULN|25LHND|3AART|4RCR|9DMG|aRMIN
32	63533 52331	   	177.20	ACR|4VULN|1AART|1DMG	167aVULN|258LHND|3AART|4RCR|9DMG
