0	Index      	 *	Score 	Summary	Detail	
1	14552 33123	 * 	178.07	DCR|4VULN|3ZMB|2CDMG	13aLWND|236ZMB|36aBPWR|4DMSP|569aVULN|7RCR|8aCDMG
2	41163 33221	 * 	176.52	DCR|3VULN|3ZMB|1CDMG|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aCDMG
3	41163 33252	   	176.52	DCR|3VULN|3ZMB|1CDMG|2DUR|1ASPD	12DUR|36aVULN|456ZMB|6BPWR|7RCR|8ASPD|9CDMG
4	11513 14323	 * 	174.63	ACR|4VULN|2DMG|1DUR	1aLWND|2DUR|349aVULN|5RCR|6RCVC|7RPLT|8aDMG|aBPWR
5	31512 23126	 * 	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DUR|349VULN|5DMG|6BEXP|7ZMB|8RCR|aAART
6	11513 16216	 * 	173.37	ACR|2VULN|2DMG|1AART|2DUR	19LWND|29DUR|34VULN|5RCR|6RCVC|7CGEN|89DMG|9BPWR|aAART
7	11513 11216	   	173.27	ACR|2VULN|2DMG|1AART|2DUR	19LWND|29DUR|34VULN|5RCR|6RCVC|7TLV|89DMG|9BPWR|aAART
8	11513 13216	   	173.27	ACR|2VULN|2DMG|1AART|2DUR	19LWND|29DUR|34VULN|5RCR|6RCVC|7ERES|89DMG|9BPWR|aAART
9	21512 23154	 * 	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|34VULN|5DMG|6BEXP|7ZMB|8RCR|9CDMG|aAART
10	31512 23154	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|34VULN|5DMG|6BEXP|7ZMB|8RCR|9CDMG|aAART
11	21536 31234	 * 	171.55	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1FEWX|2DUR|3VULN|4ASPD|59DMG|6LWND|7RCR|8AART|aCDMG
12	31536 31234	   	171.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUST|2DUR|3VULN|4ASPD|59DMG|6LWND|7RCR|8AART|aCDMG
13	11553 24233	 * 	170.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2DUR|37aVULN|4CGEN|5RCR|6AART|8CDMG|9ZMB
14	41163 33121	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|369VULN|456ZMB|6BPWR|7RCR|8CDMG|aLIT
15	41163 33122	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|369VULN|456ZMB|6BPWR|7RCR|8CDMG|aLHND
16	41163 33123	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|369VULN|456ZMB|6BPWR|7RCR|8CDMG|aMLV
17	41163 33126	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|369VULN|456ZMB|6BPWR|7RCR|8CDMG|aFEWX
18	41163 33152	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|36aVULN|456ZMB|6BPWR|7RCR|8CDMG|9CGEN
19	41163 33532	   	169.58	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|368VULN|456ZMB|6BPWR|7RCR|9RMIN|aCDMG
20	41163 33422	   	169.48	DCR|3VULN|3ZMB|1CDMG|2DUR	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ERES|aCDMG
21	21152 13526	   	169.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1FEWX|2DUR|3AART|457VULN|6CGEN|8DMG|9ASPD|aRCR
22	41163 33124	   	169.34	DCR|3VULN|3ZMB|1CDMG|2DUR|1SELL	12DUR|369VULN|456ZMB|6BPWR|7RCR|8CDMG|aSELL
