0	Index      	 *	Score 	Summary	Detail	
1	53223 23344	 * 	206.08	ACR|3VULN|3DMG|1AART|1ASPD	18ERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR|aAART
2	53223 24322	 * 	202.33	ACR|4VULN|2DMG|1AART|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9LIT|aAART
3	53223 24342	 * 	201.39	ACR|4VULN|3DMG|2ASPD	18ERES|2RCR|3aASPD|4678VULN|589DMG|8BPWR
4	53232 15531	 * 	199.49	ACR|3DMG|1AART|1VULN|3ASPD|2DUR	179ERES|2RCR|367ASPD|4AART|567DMG|679BPWR|89DUR|aVULN
5	53223 24352	 * 	198.89	ACR|5VULN|2DMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|4678aVULN|58DMG|8BPWR|9DUR
6	43232 36122	 * 	198.21	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|69aVULN|7CDMG|8RCR
7	53223 24341	   	194.78	ACR|4VULN|3DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|589DMG|8BPWR|aLWND
8	53223 24343	   	194.78	ACR|4VULN|3DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|589DMG|8BPWR|aLIT
9	53232 36432	   	194.73	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|68aVULN|7CDMG|9DUR
10	53223 24314	   	192.67	ACR|4VULN|2DMG|1CDMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9DUST|aCDMG
11	53223 24335	   	191.95	ACR|5VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678aVULN|58DMG|8BPWR|9CGEN
12	53223 24362	   	191.95	ACR|5VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678aVULN|58DMG|8BPWR|9BEXP
13	53223 24312	   	191.85	ACR|5VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678aVULN|58DMG|8BPWR|9DUST
14	53232 32145	   	191.73	ACR|3VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3ASPD|4AART|59DMG|68aVULN|7RMIN
15	33232 36122	   	191.27	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2ZMB|3ASPD|4AART|5DMG|69aVULN|7CDMG|8RCR
16	53223 23322	   	190.43	ACR|3VULN|2DMG|1AART|1ASPD	18ERES|2RCR|3ASPD|468VULN|58DMG|7RCVC|8BPWR|9LIT|aAART
17	53245 23322	   	190.43	ACR|3VULN|2DMG|1AART|1ASPD	18ERES|2RCR|3ASPD|48DMG|568VULN|7RCVC|8BPWR|9LIT|aAART
18	53223 32145	   	189.93	ACR|3VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3ASPD|48aVULN|59DMG|6CGEN|7AART
19	53223 12145	   	189.83	ACR|3VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3ASPD|48aVULN|59DMG|6TLV|7AART
20	53223 23346	   	189.82	ACR|3VULN|3DMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR|aDUR
21	53223 23342	   	189.49	ACR|3VULN|3DMG|2ASPD	18ERES|2RCR|3aASPD|468VULN|589DMG|7RCVC|8BPWR
22	43232 36152	 * 	188.87	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|6aVULN|79CDMG|8RCR
23	53223 23352	   	188.27	ACR|4VULN|2DMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|468aVULN|58DMG|7RCVC|8BPWR|9DUR
24	53223 32141	   	187.92	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1ERES|2RCR|3ASPD|48VULN|59DMG|6CGEN|7AART|aFLTHEA
25	53223 42141	   	187.92	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1ERES|2RCR|3ASPD|48VULN|59DMG|6MLV|7AART|aFLTHEA
26	53223 12141	   	187.82	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1ERES|2RCR|3ASPD|48VULN|59DMG|6TLV|7AART|aFLTHEA
