0	Index      	 *	Score 	Summary	Detail	
1	42331 33143	 * 	185.73	DCR|3VULN|2AART|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56aVULN|7LSRICY|8RCR
2	12313 61631	 * 	182.47	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|89DMG|aVULN
3	14313 61631	   	182.47	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1RMIN|2CDMG|3DUR|45ZMB|6RCR|7AART|89DMG|aVULN
4	42321 16132	 * 	182.40	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB|1SELL	1aCDMG|2AART|3SELL|4CGEN|5aVULN|6MLV|7RCR|8DMG|9aZMB|aBPWR
5	42321 36316	 * 	181.73	DCR|4VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568aVULN|7RCR|9ZMB
6	24323 41263	 * 	181.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	15ASPD|2LIT|3DUST|45DMG|5BPWR|6AART|7CDMG|8RCR|9VULN|aZMB
7	42331 33153	 * 	180.60	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	19CDMG|2AART|3SELL|4DMG|56aVULN|7LSRICY|8RCR
8	42321 16162	 * 	178.62	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|59VULN|6MLV|7RCR|8aDMG
9	42321 36512	 * 	178.62	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|89DMG|aFEWX
10	42321 36511	 * 	178.52	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|89DMG|aERES
11	42362 36112	 * 	178.52	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8CGEN|9aDMG
12	24611 21354	 * 	178.40	DCR|4VULN|1AART|2ASPD|2DUR	19ASPD|2LIT|39DUR|4589VULN|6MBVNT|7RCR|9BPWR|aAART
13	42321 36513	 * 	178.37	DCR|2VULN|2DMG|1AART|1CDMG|2SELL	1CDMG|2AART|3aSELL|4CGEN|56VULN|7RCR|89DMG
14	23512 16431	 * 	177.62	DCR|4VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|3BEXP|4DUR|567aVULN|8RCR|9AART
15	42331 33146	 * 	177.02	DCR|2AART|2VULN|1DMG|1CDMG|1DUR|1SELL	1CDMG|29AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aDUR
16	42321 36322	 * 	176.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9FEWX|aDMG
17	42321 36342	 * 	176.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9LHND|aDMG
18	42321 36352	 * 	176.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9BEXP|aDMG
19	42321 36362	 * 	176.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9DMG|aFEWX
20	42321 36332	 * 	176.59	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9DUST|aDMG
21	42321 36361	 * 	176.59	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9DMG|aERES
22	42321 36363	 * 	176.44	DCR|3VULN|1AART|1DMG|1CDMG|2SELL	1CDMG|2AART|3aSELL|4CGEN|568VULN|7RCR|9DMG
23	12313 61661	 * 	176.33	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|79AART|8DMG|aVULN
24	24611 21352	 * 	175.26	DCR|4VULN|1DMG|2ASPD|2DUR	19ASPD|2LIT|39DUR|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
25	42331 33113	 * 	174.29	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56aVULN|7LSRICY|8RCR|9DMSP
26	12313 61636	 * 	173.85	DCR|2DMG|2AART|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7aAART|89DMG
27	42166 23132	 * 	173.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	17CDMG|2AART|3MLV|4RPLT|5ZMB|6VULN|8aDMG|9RCR
28	42311 33143	 * 	172.61	DCR|3VULN|2AART|1CDMG|1ASPD|1SELL	1CDMG|29AART|3SELL|4ASPD|56aVULN|7LSRICY|8RCR
29	24623 41232	 * 	172.53	DCR|2DMG|1AART|2CDMG|3DUR|2ASPD	1aASPD|2LIT|359DUR|4aDMG|6AART|7aCDMG|8RCR|aBPWR
30	24611 21372	 * 	172.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2LIT|3DUR|458VULN|6MBVNT|7RCR|9DMG|aAART
31	42321 16163	 * 	172.03	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|59VULN|6MLV|7RCR|8DMG|aZMB
32	42362 36113	 * 	171.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8CGEN|9DMG|aZMB
33	42331 33156	 * 	171.88	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1SELL	19CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aDUR
34	23321 41425	 * 	171.54	DCR|2VULN|1AART|3ASPD|2CDMG|2ZMB	126ASPD|29BPWR|3MBVNT|49CDMG|59ZMB|79VULN|8AART|aRCR
