0	Index      	 *	Score 	Summary	Detail	
1	36318 44372	 * 	312.42	DCR|DCR|2MLV|1VULN|1TLV|1CDMG	1LWND|2MBVNT|3TLV|48MLV|5AEFRZ|67RCR|9CDMG|aVULN
2	36318 44811	   	304.48	DCR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8VULN|9ASPD|aCDMG
3	36318 44542	 * 	302.41	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1LWND|2MBVNT|39TLV|4MLV|5AEFRZ|67RCR|8CDMG|aVULN
4	51314 52322	 * 	293.17	DCR|DCR|2DMG|1VULN|1TLV	19CGEN|25DMG|3TLV|4LHND|68RCR|7RAT|aVULN
5	11314 52342	   	292.97	DCR|DCR|2DMG|1VULN|1TLV	1ERES|25DMG|3TLV|4LHND|68RCR|7RAT|9AEFRZ|aVULN
6	36318 44812	   	290.83	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8VULN|9ASPD|aCGEN
7	36318 44813	   	290.83	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8VULN|9ASPD|aFEWX
8	36318 44814	   	290.73	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8VULN|9ASPD|aBEXP
9	14242 44871	 * 	290.11	DCR|DCR|2VULN|1TLV|1CDMG	1ERES|2MBVNT|38VULN|4RCVC|5CGEN|67RCR|9CDMG|aTLV
10	14222 44871	   	290.01	DCR|DCR|2VULN|1TLV|1CDMG	14ERES|2MBVNT|38VULN|5CGEN|67RCR|9CDMG|aTLV
11	11313 52342	   	289.55	DCR|DCR|2TLV|1VULN|1DMG	1ERES|2DMG|35TLV|4LHND|68RCR|7RAT|9AEFRZ|aVULN
12	36322 44331	   	288.33	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LWND|2MBVNT|3TLV|4RCVC|5CGEN|67RCR|8MLV|9VULN|aCDMG
13	36113 44331	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LWND|2MBVNT|3RCVC|4ERES|5TLV|67RCR|8MLV|9VULN|aCDMG
14	36318 44431	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8CGEN|9VULN|aCDMG
15	36318 44512	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8CDMG|9DMSP|aVULN
16	36318 44831	   	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8VULN|9CGEN|aCDMG
17	36318 44314	   	287.01	DCR|DCR|2MLV|1TLV|1ASPD	1LWND|2MBVNT|3TLV|48MLV|5AEFRZ|67RCR|9RAT|aASPD
18	14213 24826	   	285.71	DCR|DCR|2VULN|1AAC|1ASPD	1ERES|2MBVNT|3aVULN|4BASICY|5AAC|69RCR|7ASPD|8DUR
19	14242 44471	   	284.76	DCR|DCR|2VULN|1TLV	1ERES|2MBVNT|39VULN|4RCVC|5CGEN|67RCR|8DUR|aTLV
20	14242 44881	   	284.76	DCR|DCR|2VULN|1TLV	1ERES|2MBVNT|38VULN|4RCVC|5CGEN|67RCR|9DUR|aTLV
21	14243 44881	   	284.76	DCR|DCR|2VULN|1TLV	1ERES|2MBVNT|38VULN|4RCVC|5AME|67RCR|9DUR|aTLV
22	14316 44471	   	284.76	DCR|DCR|2VULN|1TLV	1ERES|2MBVNT|35CGEN|49VULN|67RCR|8DUR|aTLV
23	26126 41151	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2MBVNT|3RCVC|4FRZFST|5DMG|6VULN|79RCR|8ASPD|aTLV
24	36126 41151	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LWND|2MBVNT|3RCVC|4FRZFST|5DMG|6VULN|79RCR|8ASPD|aTLV
25	14222 44471	   	284.66	DCR|DCR|2VULN|1TLV	14ERES|2MBVNT|39VULN|5CGEN|67RCR|8DUR|aTLV
26	14222 44881	   	284.66	DCR|DCR|2VULN|1TLV	14ERES|2MBVNT|38VULN|5CGEN|67RCR|9DUR|aTLV
27	14223 44881	   	284.66	DCR|DCR|2VULN|1TLV	14ERES|2MBVNT|38VULN|5AME|67RCR|9DUR|aTLV
28	14326 41151	   	284.59	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ERES|2MBVNT|3CGEN|4MULHEA|5DMG|6VULN|79RCR|8ASPD|aTLV
29	36318 44532	   	284.41	DCR|DCR|2MLV|1TLV|1CDMG	1LWND|2MBVNT|3TLV|4aMLV|5AEFRZ|67RCR|8CDMG|9RAT
30	11314 52315	 * 	284.22	DCR|DCR|2DMG|1TLV|1MLV	1ERES|25DMG|3TLV|4LHND|68RCR|7RAT|9DUST|aMLV
31	36318 44711	   	282.89	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2MBVNT|3TLV|4MLV|5AEFRZ|67RCR|8LIT|9AART|aVULN
