0	Index      	 *	Score 	Summary	Detail	
1	23426 33422	 * 	333.48	DCR|DCR|2VULN|2TLV|1MLV|1ASPD	149LIT|29VULN|3ASPD|5LHND|68RCR|79TLV|9BPWR|aMLV
2	23434 33421	 * 	330.74	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4LHND|68RCR|79TLV|9BPWR|aFEWX
3	23434 33422	   	330.74	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4LHND|68RCR|79TLV|9BPWR|aBBNT
4	23434 33423	   	330.74	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4LHND|68RCR|79TLV|9BPWR|aTBNT
5	23414 33421	   	330.64	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4DUST|68RCR|79TLV|9BPWR|aFEWX
6	23414 33422	   	330.64	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4DUST|68RCR|79TLV|9BPWR|aBBNT
7	23414 33423	   	330.64	DCR|DCR|3VULN|2TLV|1ASPD	19LIT|259VULN|3ASPD|4DUST|68RCR|79TLV|9BPWR|aTBNT
8	53662 12231	 * 	319.77	DCR|DCR|2MLV|2DMG|1VULN	1RAT|27DMG|36MLV|4LHND|5DUR|89RCR|aVULN
9	51233 14263	   	318.10	DCR|DCR|2VULN|1TLV|1MLV	1RAT|23VULN|4DUR|5LWND|6MLV|7TLV|8SPLARM|9aRCR
10	23534 33411	   	317.01	DCR|DCR|3VULN|1TLV|1AAC	1LIT|25aVULN|3AAC|4LHND|68RCR|7TLV|9RMIN
11	23514 33411	   	316.91	DCR|DCR|3VULN|1TLV|1AAC	1LIT|25aVULN|3AAC|4DUST|68RCR|7TLV|9RMIN
12	23434 33411	   	316.37	DCR|DCR|3VULN|1TLV|1ASPD	1LIT|25aVULN|3ASPD|4LHND|68RCR|7TLV|9RMIN
13	23414 33411	   	316.27	DCR|DCR|3VULN|1TLV|1ASPD	1LIT|25aVULN|3ASPD|4DUST|68RCR|7TLV|9RMIN
14	23624 33411	   	316.27	DCR|DCR|3VULN|1TLV|1ASPD	1LIT|25aVULN|3AETHUN|4ASPD|68RCR|7TLV|9RMIN
15	53333 22222	 * 	314.74	DCR|DCR|2DMG|1VULN|1TLV|2DUR|2RAT	15RAT|27DMG|3TLV|45DUR|5BPWR|6VULN|8aRCR|9LIT
16	51225 52322	   	311.86	DCR|DCR|2VULN|1TLV|1DMG	1RAT|23VULN|4AEFRZ|5DMG|6aRCR|7DUR|8TLV|9LIT
17	53613 52331	   	310.09	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1RAT|2DMG|3MLV|4CGEN|5DMSP|69RCR|7DUR|8TLV|aVULN
18	53621 52331	   	309.89	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1RAT|2DMG|3MLV|4AEFBLL|5ERES|69RCR|7DUR|8TLV|aVULN
19	53633 22222	   	308.85	DCR|DCR|2DMG|1VULN|1MLV|2DUR|2RAT	15RAT|27DMG|3MLV|45DUR|5BPWR|6VULN|8aRCR|9LIT
20	23364 33411	   	308.32	DCR|DCR|3VULN|1TLV	1LIT|25aVULN|3DUR|4NUKE|68RCR|7TLV|9RMIN
21	53332 22222	   	308.02	DCR|DCR|2DMG|1VULN|1TLV|2DUR	1RAT|27DMG|3TLV|45DUR|6VULN|8aRCR|9LIT
22	23534 33421	   	307.92	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49LHND|68RCR|79TLV|9BPWR|aFEWX
23	23534 33422	   	307.92	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49LHND|68RCR|79TLV|9BPWR|aBBNT
24	23534 33423	   	307.92	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49LHND|68RCR|79TLV|9BPWR|aTBNT
25	23514 33421	   	307.72	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49DUST|68RCR|79TLV|9BPWR|aFEWX
26	23514 33422	   	307.72	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49DUST|68RCR|79TLV|9BPWR|aBBNT
27	23514 33423	   	307.72	DCR|DCR|2VULN|2TLV|1AAC	19LIT|25VULN|3AAC|49DUST|68RCR|79TLV|9BPWR|aTBNT
28	53363 22222	 * 	307.34	DCR|DCR|2TLV|2DMG|1VULN	1RAT|27DMG|36TLV|4LHND|5VULN|8aRCR|9LIT
29	23426 33321	   	307.28	DCR|DCR|2VULN|2TLV|1ASPD	148LIT|28VULN|3ASPD|5LHND|6aRCR|78TLV|8BPWR|9FEWX
30	23426 33351	   	307.28	DCR|DCR|2VULN|2TLV|1ASPD	148LIT|28VULN|3ASPD|5LHND|6aRCR|78TLV|8BPWR|9LWND
31	53563 22222	   	307.24	DCR|DCR|2TLV|2DMG|1VULN	1RAT|27DMG|3LEGI|46TLV|5VULN|8aRCR|9LIT
32	23426 33311	   	307.18	DCR|DCR|2VULN|2TLV|1ASPD	148LIT|28VULN|3ASPD|5LHND|6aRCR|78TLV|8BPWR|9BEXP
33	23426 33421	   	307.18	DCR|DCR|2VULN|2TLV|1ASPD	149LIT|29VULN|3ASPD|5LHND|68RCR|79TLV|9BPWR|aBEXP
34	23426 33423	   	307.18	DCR|DCR|2VULN|2TLV|1ASPD|1MSE	149LIT|29VULN|3ASPD|5LHND|68RCR|79TLV|9BPWR|aMSE
35	23526 33422	   	306.05	DCR|DCR|2TLV|1VULN|1MLV|1AAC	149LIT|2VULN|3AAC|59LHND|68RCR|79TLV|9BPWR|aMLV
36	23364 33421	   	305.79	DCR|DCR|2VULN|2TLV|2DUR	19LIT|25VULN|39DUR|4NUKE|68RCR|79TLV|9BPWR|aFEWX
37	23364 33422	   	305.79	DCR|DCR|2VULN|2TLV|2DUR	19LIT|25VULN|39DUR|4NUKE|68RCR|79TLV|9BPWR|aBBNT
38	23364 33423	   	305.79	DCR|DCR|2VULN|2TLV|2DUR	19LIT|25VULN|39DUR|4NUKE|68RCR|79TLV|9BPWR|aTBNT
