0	Index      	 *	Score 	Summary	Detail	
1	42222 14234	 * 	259.27	DCR|DCR|1VULN|1TLV|2RAT	1LIT|2BBNT|3VULN|4LHND|59RAT|6TLV|7aRCR|8FRZARM
2	22264 31511	 * 	257.26	DCR|DCR|1VULN|1MLV	1CGEN|2DUST|3DUR|4RPLT|5MDPS|69RCR|7RAT|8VULN|aMLV
3	36141 32245	 * 	252.25	DCR|2VULN|2MLV|2DMG	1BBNT|2AART|3TBNT|4aVULN|5aDMG|6aMLV|7RCVC|8MBVNT|9RCR|aBPWR
4	35233 53136	 * 	248.45	DCR|DCR|1VULN|1DMG|2AART	1BBNT|2MDPS|3VULN|48LHND|56AART|7DMG|9aRCR
5	35233 53336	   	248.35	DCR|DCR|1VULN|1DMG|2AART	1BBNT|2MDPS|3VULN|4LHND|56AART|7DMG|8AEPOI|9aRCR
6	43353 52133	 * 	246.09	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1LIT|2LWND|3DMG|45VULN|6DLOT|7MLV|8RCR|9CDMG|aTLV
7	44323 52133	   	246.09	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1LIT|25VULN|3DMG|4LWND|6DLOT|7MLV|8RCR|9CDMG|aTLV
8	42233 51251	   	245.62	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1LIT|2BBNT|39VULN|4ZMB|5MLV|6ASPD|7RCR|8AAC|aTLV
9	42323 11663	   	243.63	DCR|DCR|1MLV|1AAC	1LIT|2BBNT|3AAC|4DUR|5MLV|6CGEN|7aRCR|8TBNT|9AART
10	33134 32425	 * 	243.33	DCR|2VULN|2TLV|3DUR|1AAC	1BBNT|247DUR|3LHND|57VULN|67TLV|7BPWR|8RCR|9AART|aAAC
11	33328 82135	 * 	242.10	DCR|3VULN|2TLV|2DUR	1BBNT|27DUR|367VULN|4MBVNT|57TLV|7BPWR|8LIT|9RAT|aRCR
12	35233 33136	   	241.90	DCR|DCR|1VULN|1DMG	1BBNT|2MDPS|3VULN|48LHND|5AART|6RCVC|7DMG|9aRCR
13	35233 33636	   	241.90	DCR|DCR|1VULN|1DMG	1BBNT|2MDPS|3VULN|4LHND|5AART|68RCVC|7DMG|9aRCR
14	36322 11636	   	241.90	DCR|DCR|1VULN|1DMG	1BBNT|2AART|38RCVC|4DMG|5FEWX|6VULN|7MDPS|9aRCR
15	44261 21132	   	241.90	DCR|DCR|1VULN|1DMG	1LIT|2VULN|37BELT|4DUR|5DMG|6MULHEA|89RCR|aTBNT
16	32533 13313	 * 	241.90	DCR|2VULN|2TLV|1MLV	1BBNT|27ERES|3AART|4MLV|57TLV|67VULN|7BPWR|8RAT|9FEWX|aRCR
17	35233 33336	   	241.80	DCR|DCR|1VULN|1DMG	1BBNT|2MDPS|3VULN|4LHND|5AART|6RCVC|7DMG|8AEPOI|9aRCR
18	35233 43136	   	241.80	DCR|DCR|1VULN|1DMG	1BBNT|26MDPS|3VULN|48LHND|5AART|7DMG|9aRCR
19	36321 11636	   	241.80	DCR|DCR|1VULN|1DMG	1BBNT|2AART|38RCVC|4DMG|5DUST|6VULN|7MDPS|9aRCR
20	44261 21131	   	241.80	DCR|DCR|1VULN|1DMG	1LIT|2VULN|37BELT|4DUR|5DMG|6MULHEA|89RCR|aAEWIND
21	44261 21133	   	241.80	DCR|DCR|1VULN|1DMG	1LIT|2VULN|37BELT|4DUR|5DMG|6MULHEA|89RCR|aDUST
22	35233 43336	   	241.70	DCR|DCR|1VULN|1DMG	1BBNT|26MDPS|3VULN|4LHND|5AART|7DMG|8AEPOI|9aRCR
23	33432 24126	 * 	240.43	DCR|DCR|1VULN|3DUR	1BBNT|245DUR|3FEWX|6RAT|7VULN|8aRCR|9TBNT
24	33134 32452	 * 	240.27	DCR|3VULN|2TLV|3DUR	1BBNT|247DUR|3LHND|57aVULN|67TLV|7BPWR|8RCR|9CGEN
25	33134 32412	   	240.17	DCR|3VULN|2TLV|3DUR|1NUKE	1BBNT|247DUR|3LHND|57aVULN|67TLV|7BPWR|8RCR|9NUKE
26	33234 32212	   	240.17	DCR|3VULN|2TLV|3DUR	1BBNT|247DUR|3DUST|578VULN|67TLV|7BPWR|9CGEN|aRCR
