0	Index      	 *	Score 	Summary	Detail	
1	31313 33651	 * 	314.66	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1CDMG|2AEBURN|3TLV|4DUR|56VULN|7ASPD|8aRCR|9MBVNT
2	14523 23331	 * 	305.97	DCR|DCR|2VULN|2TLV	1RAT|23TLV|4ERES|5aVULN|6CGEN|78RCR|9DUR
3	14523 23334	 * 	304.10	DCR|DCR|2TLV|1VULN|1MLV	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9DUR|aMLV
4	31316 15251	   	300.76	DCR|DCR|2TLV|1VULN|1ASPD|1CDMG	1CDMG|2AEBURN|38TLV|4DUR|5ASPD|6VULN|7aRCR|9MBVNT
5	14523 23311	   	297.67	DCR|DCR|2VULN|2TLV	1RAT|23TLV|4ERES|5aVULN|6CGEN|78RCR|9LHND
6	14523 23321	   	297.67	DCR|DCR|2VULN|2TLV	1RAT|23TLV|4ERES|5aVULN|6CGEN|78RCR|9FEWX
7	14523 23314	   	295.79	DCR|DCR|2TLV|1VULN|1MLV	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9LHND|aMLV
8	14523 23324	   	295.79	DCR|DCR|2TLV|1VULN|1MLV	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9FEWX|aMLV
9	14523 23336	   	294.15	DCR|DCR|2TLV|1VULN|1ASPD	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9DUR|aASPD
10	46143 23331	   	291.70	DCR|DCR|2VULN|1TLV	12ERES|2BPWR|3TLV|4RAT|5aVULN|6CGEN|78RCR|9DUR
11	23455 22331	   	291.55	DCR|DCR|2TLV|1VULN|1CDMG	1CGEN|2CDMG|34TLV|5MDPS|6aRCR|7AART|8VULN|9RAT
12	32455 22331	   	291.45	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2ERES|34TLV|5MDPS|6aRCR|7AART|8VULN|9RAT
13	31316 15151	   	286.58	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1CDMG|2AEBURN|3TLV|4DUR|5ASPD|6VULN|7aRCR|8DMSP|9MBVNT
14	31316 15351	   	286.48	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1CDMG|2AEBURN|3TLV|4DUR|5ASPD|6VULN|7aRCR|8AEWIND|9MBVNT
15	32513 33651	   	286.38	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2ERES|3RCVC|4DUR|56VULN|7DMG|8aRCR|9MBVNT
16	31213 33651	   	286.28	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2AEBURN|3ERES|4DUR|56VULN|7DMG|8aRCR|9MBVNT
17	14523 23316	   	285.84	DCR|DCR|2TLV|1VULN|1ASPD	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9LHND|aASPD
18	14523 23326	   	285.84	DCR|DCR|2TLV|1VULN|1ASPD	1RAT|23TLV|4ERES|5VULN|6CGEN|78RCR|9FEWX|aASPD
