0	Index      	 *	Score 	Summary	Detail	
1	14226 33634	 * 	303.13	DCR|DCR|2VULN|1DMG|1AAC|1CDMG|1SELL	1CDMG|2SELL|3AAC|4DUR|5MBVNT|69RCR|78VULN|aDMG
2	12453 33533	 * 	301.21	DCR|DCR|2VULN|1MLV|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5BEXP|69RCR|78VULN|aMLV
3	12452 33532	   	283.41	DCR|DCR|2VULN|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5LWND|69RCR|78VULN|aAART
4	14226 33632	   	283.07	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	1CDMG|2SELL|3AAC|4DUR|5MBVNT|69RCR|78VULN|aDMSP
5	14226 33631	   	282.97	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	1CDMG|2SELL|3AAC|4DUR|5MBVNT|69RCR|78VULN|aBEXP
6	14226 33633	   	282.97	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	1CDMG|2SELL|3AAC|4DUR|5MBVNT|69RCR|78VULN|aCANSTR
7	12453 33532	   	281.94	DCR|DCR|2VULN|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5BEXP|69RCR|78VULN|aRAT
8	12452 33531	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5LWND|69RCR|78VULN|aBEXP
9	12452 33533	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5LWND|69RCR|78VULN|aDUST
10	12453 33531	   	274.91	DCR|DCR|2VULN|1AAC|1CDMG	1CDMG|2RPLT|3DMSP|4AAC|5aBEXP|69RCR|78VULN
11	11321 54631	 * 	273.85	ACR|DCR|2VULN|2TLV|2CDMG	19CDMG|2TBNT|3CGEN|48RCR|5AETHUN|69VULN|79TLV|9BPWR|aAME
12	11321 54632	   	273.85	ACR|DCR|2VULN|2TLV|2CDMG	19CDMG|2TBNT|3CGEN|48RCR|5AETHUN|69VULN|79TLV|9BPWR|aLIT
13	11321 54633	   	273.85	ACR|DCR|2VULN|2TLV|2CDMG	19CDMG|2TBNT|3CGEN|48RCR|5AETHUN|69VULN|79TLV|9BPWR|aBELT
14	11223 12463	   	273.33	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2TBNT|3DMG|46RCR|5ZMB|7BBNT|8TLV|9aVULN
