0	Index      	 *	Score 	Summary	Detail	
1	24312 25318	 * 	289.70	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6aVULN|79RCR|8DMG
2	14314 22162	 * 	284.22	DCR|DCR|2VULN|2DMG	12MSLFST|2BPWR|3RAT|4RMIN|57VULN|69RCR|8aDMG
3	66122 33411	 * 	276.11	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5DUST|6RAT|78VULN|8BPWR|9RCR|aDUR
4	24312 25311	   	271.80	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6VULN|79RCR|8DMG|aDUR
5	13643 12141	   	270.97	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1MSLFST|2CDMG|3VULN|4MDPS|5RAT|6LHND|7AAC|8aRCR|9DMG
6	24312 25315	   	270.43	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6VULN|79RCR|8DMG|aRAT
7	24312 25317	 * 	269.80	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD	1RPLT|2RMIN|3ASPD|4aCDMG|5MBVNT|6VULN|79RCR|8DMG
8	25312 25118	   	269.53	DCR|DCR|2VULN|1ASPD|1CDMG|1NUKE	1RPLT|2NUKE|3ASPD|4CDMG|5MBVNT|6aVULN|79RCR|8CGEN
9	25312 25218	   	269.53	DCR|DCR|2VULN|1ASPD|1CDMG|1NUKE	1RPLT|2NUKE|3ASPD|4CDMG|5MBVNT|6aVULN|79RCR|8RMIN
10	66121 23411	   	267.91	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5RAT|6LHND|78VULN|8BPWR|9RCR|aRCVC
11	66121 23413	   	267.91	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5RAT|6LHND|78VULN|8BPWR|9RCR|aCGEN
12	66122 33412	   	267.81	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5DUST|6RAT|78VULN|8BPWR|9RCR|aRCVC
13	66122 33413	   	267.81	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5DUST|6RAT|78VULN|8BPWR|9RCR|aCGEN
14	66121 23412	   	267.81	DCR|2VULN|2MLV|2TLV	1AART|28TLV|38MLV|4RPLT|5RAT|6LHND|78VULN|8BPWR|9RCR|aDUST
15	14314 22161	   	266.63	DCR|DCR|2VULN|1DMG	12MSLFST|2BPWR|3RAT|4RMIN|57VULN|69RCR|8DMG|aLIT
16	14314 22163	   	266.53	DCR|DCR|2VULN|1DMG	12MSLFST|2BPWR|3RAT|4RMIN|57VULN|69RCR|8DMG|aLSRICY
17	31361 61364	 * 	266.47	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2AART|3MBVNT|4ASPD|5MLV|6LWND|7aRCR|8MDPS|9VULN
18	62361 21364	   	266.47	DCR|DCR|1VULN|1MLV|1ASPD	1AART|2LWND|3MBVNT|4ASPD|5MLV|6BEXP|7aRCR|8MDPS|9VULN
19	12412 62141	 * 	264.85	DCR|DCR|1VULN|2ASPD|1CDMG|1NUKE	1MSLFST|2BBNT|3VULN|47ASPD|5CDMG|6RAT|8aRCR|9NUKE
20	14314 23162	   	264.63	DCR|DCR|2DMG|1VULN|2RAT	12MSLFST|2BPWR|37RAT|4RMIN|5VULN|69RCR|8aDMG
21	24312 25312	   	263.49	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6VULN|79RCR|8DMG|aRCVC
22	24312 25313	   	263.49	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6VULN|79RCR|8DMG|aLHND
23	24312 25314	   	263.49	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2RMIN|3ASPD|4CDMG|5MBVNT|6VULN|79RCR|8DMG|aZMB
24	66333 21511	 * 	259.82	DCR|2VULN|1TLV|2ASPD|1MLV	1AART|2TLV|34VULN|5MLV|6aASPD|7ERES|8DUR|9RCR
