0	Index      	 *	Score 	Summary	Detail	
1	53182 32346	 * 	301.07	DCR|DCR|2MLV|1VULN|1AAC|1ASPD	1LIT|2MBVNT|3ZMB|49MLV|5ASPD|6VULN|7AAC|8aRCR
2	35621 33362	 * 	297.94	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MLV|2RAT|3VULN|4AME|5AAC|6aRCR|7MDPS|8TLV|9CANSTR
3	35621 33423	   	291.76	DCR|DCR|2MLV|1VULN|1AAC	18MLV|2RAT|3VULN|4AME|5AAC|6aRCR|7MDPS|9BELT
4	32522 36343	 * 	290.18	DCR|3MLV|2VULN|3DMG	156MLV|2TBNT|356DMG|4RCVC|56BPWR|79VULN|8RCR|aRAT
5	32522 53114	 * 	289.83	DCR|3VULN|3MLV|2DMG	15aMLV|2TBNT|35DMG|4RCVC|5aBPWR|6aAME|79aVULN|8RCR
6	32522 23114	   	289.63	DCR|3VULN|3MLV|2DMG	15aMLV|2TBNT|35DMG|4RCVC|5aBPWR|6aERES|79aVULN|8RCR
7	36522 23114	   	289.63	DCR|3VULN|3MLV|2DMG	15aMLV|2BBNT|35DMG|4RCVC|5aBPWR|6aERES|79aVULN|8RCR
8	32522 36325	 * 	288.89	DCR|3MLV|3DMG|1VULN|1TLV|1SELL	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9SELL|aTLV
9	53622 73322	   	288.41	DCR|DCR|2MLV|1VULN|1CDMG	1LIT|2MBVNT|3BASHEA|45MLV|6CDMG|7RAT|89RCR|aVULN
10	32522 36353	   	283.34	DCR|3MLV|2VULN|3DMG	156MLV|2TBNT|356DMG|4RCVC|56aBPWR|7aVULN|8RCR|9aAME
11	32522 36341	   	283.24	DCR|3MLV|2VULN|3DMG	156MLV|2TBNT|356DMG|4RCVC|56BPWR|79VULN|8RCR|aRPLT
12	32522 36342	   	283.14	DCR|3MLV|2VULN|3DMG	156MLV|2TBNT|356DMG|4RCVC|56BPWR|79VULN|8RCR|aAEFRZ
13	35142 33115	 * 	281.87	DCR|DCR|2VULN|1MLV|2RAT	1MLV|27RAT|3BLAICY|4RCVC|5LIT|6aVULN|89RCR
14	35152 33115	   	281.77	DCR|DCR|2VULN|1MLV|2RAT	1MLV|27RAT|3BLAICY|4AEFRZ|5LIT|6aVULN|89RCR
15	23234 33418	   	281.48	DCR|DCR|2MLV|1VULN|1CDMG	1MBVNT|24RMIN|37MLV|57AEFBLL|6aRCR|7BPWR|8VULN|9CDMG
16	53622 73321	   	276.39	DCR|DCR|2MLV|1DMG|1CDMG	1LIT|2MBVNT|3BASHEA|45MLV|6CDMG|7RAT|89RCR|aDMG
17	35621 32433	   	274.35	DCR|DCR|1VULN|1MLV|1AAC	1MLV|2RAT|3VULN|4AME|5AAC|6aRCR|7BELT|8DUR|9LHND
18	35621 32413	   	274.25	DCR|DCR|1VULN|1MLV|1AAC	1MLV|2RAT|3VULN|4AME|5AAC|6aRCR|7BELT|8DUR|9DUST
19	26612 14744	 * 	273.83	DCR|3VULN|2MLV|1TLV|2RAT|1SELL	1MBVNT|29aVULN|3aMLV|4LWND|5TLV|6aRAT|7SELL|8RCR|aBPWR
20	52563 33112	 * 	273.35	DCR|DCR|2TLV|1VULN|2RAT	1LIT|27RAT|35TLV|4BLASTR|6VULN|89RCR|aLWND
21	52563 33113	   	273.35	DCR|DCR|2TLV|1VULN|2RAT	1LIT|27RAT|35TLV|4BLASTR|6VULN|89RCR|aCGEN
22	32522 36331	   	273.29	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aZMB
23	32522 36335	   	273.29	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aRMIN
24	36522 36331	   	273.29	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2BBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aZMB
25	23735 33418	   	273.25	DCR|DCR|2TLV|1VULN|1CDMG	1MBVNT|2RMIN|37AEWIND|47AEBURN|57TLV|6aRCR|7BPWR|8VULN|9CDMG
26	52563 33111	   	273.25	DCR|DCR|2TLV|1VULN|2RAT	1LIT|27RAT|35TLV|4BLASTR|6VULN|89RCR|aERES
27	32522 36332	   	273.19	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aDUST
28	32522 36333	   	273.19	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aLSRREG
29	32522 36336	   	273.19	DCR|3MLV|3DMG|1VULN|1ASPD|1MSE	156MLV|2TBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aMSE
30	36522 36332	   	273.19	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2BBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aDUST
31	36522 36333	   	273.19	DCR|3MLV|3DMG|1VULN|1ASPD	156MLV|2BBNT|356DMG|4RCVC|56BPWR|7VULN|8RCR|9ASPD|aLSRREG
32	23231 33488	 * 	273.03	DCR|DCR|3MLV|1CDMG	1MBVNT|24RMIN|357MLV|6aRCR|7BPWR|8DMSP|9CDMG
