0	Index      	 *	Score 	Summary	Detail	
1	32141 54113	 * 	181.73	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1ZMB	123DUR|4CDMG|5AART|6DMG|78VULN|9RCR|aZMB
2	32525 13351	 * 	175.97	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|3CDMG|4RCR|57VULN|6SNIHEL|8ASPD|9DMG|aAART
3	36222 53334	 * 	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2BELT|3RMIN|4RCR|5ASPD|68aVULN|7AART|9DMG
4	36226 33334	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2BELT|3RMIN|4RCR|58aVULN|6ASPD|7AART|9DMG
5	32522 52211	 * 	174.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4RCR|5ZMB|68VULN|7CGEN|9aDMG
6	32522 52215	 * 	172.58	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3CDMG|4RCR|5ZMB|68aVULN|7CGEN|9DMG
7	36222 53335	 * 	172.57	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1DUR|2BELT|3RMIN|4RCR|5ASPD|68VULN|7AART|9DMG|aFLTHEA
8	36226 33335	   	172.57	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1DUR|2BELT|3RMIN|4RCR|58VULN|6ASPD|7AART|9DMG|aFLTHEA
9	32464 13221	 * 	171.77	DCR|4VULN|1AART|3DUR	128DUR|3458VULN|6RCR|78aMLV|8BPWR|9AART
10	32464 13223	   	171.77	DCR|4VULN|1AART|3DUR	128DUR|3458VULN|6RCR|78MLV|8BPWR|9AART|aLIT
11	32141 54111	   	170.73	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	123DUR|4CDMG|5AART|6DMG|78VULN|9RCR|aCGEN
12	32141 54112	   	170.63	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	123DUR|4CDMG|5AART|6DMG|78VULN|9RCR|aDUST
13	33116 46131	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2DUST|3LHND|4RCR|5ZMB|6AART|7aVULN|8ASPD|9DMG
14	32526 23311	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3CDMG|4RCR|5LIT|69VULN|7DMG|8MLV|aAART
15	32526 23211	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|3CDMG|4RCR|5LIT|69VULN|7DMG|8ERES|aAART
16	32436 51131	 * 	169.01	DCR|3VULN|2DMG|3DUR	12aDUR|35aVULN|4DUST|6LIT|7RCR|8aDMG|9RMIN|aBPWR
17	32141 24113	   	168.60	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB|1ASPD	123DUR|4CDMG|5AART|6ASPD|78VULN|9RCR|aZMB
18	65332 41222	 * 	168.53	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2MLV|3RCR|4ERES|5CDMG|6AART|78DMG|9VULN|aASPD
19	23216 23524	 * 	168.18	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|2ZMB|3CGEN|4DLOT|56AART|7RCR|8aVULN|9DMG
20	22233 46131	   	168.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2DUR|3ZMB|4BEXP|5RCR|6AART|7aVULN|8ASPD|9DMG
21	22233 46511	   	168.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2DUR|3ZMB|4BEXP|5RCR|6AART|7aVULN|8DMG|9ASPD
22	23123 46131	   	168.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ZMB|3BEXP|4DUR|5RCR|6AART|7aVULN|8ASPD|9DMG
23	23123 46511	   	168.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ZMB|3BEXP|4DUR|5RCR|6AART|7aVULN|8DMG|9ASPD
24	65332 34222	   	167.93	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2MLV|3RCR|4ERES|5CDMG|68DMG|7AART|9VULN|aASPD
25	32464 13322	 * 	167.90	DCR|3VULN|1AART|1CDMG|2DUR	12DUR|345VULN|6RCR|7MLV|8AART|9CDMG|aBEXP
26	32464 13323	   	167.90	DCR|3VULN|1AART|1CDMG|2DUR	12DUR|345VULN|6RCR|7MLV|8AART|9CDMG|aRCVC
27	32464 13321	   	167.80	DCR|3VULN|1AART|1CDMG|2DUR	12DUR|345VULN|6RCR|7MLV|8AART|9CDMG|aERES
28	33416 25133	 * 	167.67	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2DUST|3LWND|4RCR|58VULN|6LHND|79DMG|aAART
29	33416 35133	   	167.67	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2DUST|3LWND|4RCR|58VULN|6BEXP|79DMG|aAART
30	32525 22143	 * 	167.43	ACR|2VULN|2DMG|3DUR|1CDMG	12aDUR|3CDMG|4RCR|5aVULN|6DUST|7LIT|8aDMG|9RPLT|aBPWR
31	32525 52121	   	167.28	ACR|2VULN|2DMG|3DUR|1CDMG|1SELL	12aDUR|3CDMG|4RCR|5aVULN|6FEWX|7LIT|8aDMG|9SELL|aBPWR
32	32525 22121	   	167.18	ACR|2VULN|2DMG|3DUR|1CDMG|1SELL	12aDUR|3CDMG|4RCR|5aVULN|6DUST|7LIT|8aDMG|9SELL|aBPWR
33	32525 61213	 * 	165.95	ACR|4VULN|2CDMG|3DUR	128DUR|38CDMG|4RCR|578aVULN|6RPLT|8BPWR|9LHND
34	33416 25123	   	165.74	ACR|3VULN|1AART|1DMG|1DUR	1DUR|2DUST|3LWND|4RCR|589VULN|6LHND|7DMG|aAART
35	33416 35123	   	165.74	ACR|3VULN|1AART|1DMG|1DUR	1DUR|2DUST|3LWND|4RCR|589VULN|6BEXP|7DMG|aAART
36	64132 42131	 * 	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|23ERES|4VULN|5DUR|6RCR|78DMG|9CDMG|aAART
37	53553 31223	 * 	165.49	ACR|4VULN|1AART|2ZMB	18DUST|24ZMB|3478VULN|48BPWR|5RCR|68LHND|9BEXP|aAART
38	36222 52234	 * 	164.93	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2BELT|3RMIN|4RCR|57ASPD|6aVULN|8AART|9DMG
39	36226 32234	   	164.93	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2BELT|3RMIN|4RCR|5aVULN|67ASPD|8AART|9DMG
40	32146 14113	 * 	164.92	DCR|2VULN|1AART|3DUR|2ZMB|1CDMG	123DUR|4CDMG|5aZMB|6AART|78VULN|9RCR
41	14323 61341	   	164.64	ACR|3VULN|1AART|1DMG|1DUR	1aCGEN|2DMSP|3DUR|467VULN|5RCR|8AART|9DMG
42	14323 61342	   	164.64	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2DMSP|3DUR|467VULN|5RCR|8AART|9DMG|aRPLT
43	32462 13224	   	164.60	DCR|3VULN|1AART|3DUR|1ASPD	128DUR|348VULN|5DMSP|6RCR|78MLV|8BPWR|9AART|aASPD
44	22241 62142	 * 	164.29	DCR|2DMG|3ZMB|1AART|1DUR	157aLHND|2DUR|38aZMB|4AART|6RCR|9aDMG|aBPWR
45	32141 24115	 * 	164.21	DCR|2VULN|1AART|3DUR|2ASPD|1CDMG	123DUR|4CDMG|5AART|6aASPD|78VULN|9RCR
46	12453 42221	 * 	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1CGEN|24LHND|34CDMG|4BPWR|58VULN|6ASPD|7RCR|9aDMG
47	32141 54313	   	164.14	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ZMB	123DUR|4CDMG|5AART|6DMG|7VULN|8RCVC|9RCR|aZMB
