0	Index      	 *	Score 	Summary	Detail	
1	22331 35214	 * 	242.41	ACR|3VULN|3DMG|2AART|3ASPD|1CDMG	178DMG|2RCVC|378ASPD|49AART|5RCR|678VULN|78BPWR|aCDMG
2	22331 35211	   	235.70	ACR|3VULN|3DMG|2AART|3ASPD	178DMG|2RCVC|378ASPD|49AART|5RCR|678VULN|78BPWR|aDUR
3	22331 35224	   	232.43	ACR|3VULN|3DMG|1AART|3ASPD|1CDMG	178DMG|29RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|aCDMG
4	22331 35261	 * 	231.41	ACR|4VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678aVULN|78BPWR|9MLV
5	22331 35231	   	231.31	ACR|4VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678aVULN|78BPWR|9ERES
6	22331 35215	   	228.76	ACR|3VULN|3DMG|2AART|3ASPD	178DMG|2RCVC|378ASPD|49AART|5RCR|678VULN|78BPWR|aRMIN
7	22331 35216	   	228.76	ACR|3VULN|3DMG|2AART|3ASPD	178DMG|2RCVC|378ASPD|49AART|5RCR|678VULN|78BPWR|aFEWX
8	22331 35212	   	228.66	ACR|3VULN|3DMG|2AART|3ASPD	178DMG|2RCVC|378ASPD|49AART|5RCR|678VULN|78BPWR|aDLOT
9	22331 35262	   	228.31	ACR|3VULN|3DMG|1AART|3ASPD|1ZMB	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9MLV|aZMB
10	22331 35232	   	228.21	ACR|3VULN|3DMG|1AART|3ASPD|1ZMB	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9ERES|aZMB
11	22331 35221	   	225.72	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|29RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|aDUR
12	22331 35264	   	224.25	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9MLV|aDUR
13	22331 35234	   	224.15	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9ERES|aDUR
14	22332 34233	 * 	221.83	DCR|3VULN|3DMG|1AART|3DUR|2ASPD	189DMG|2RCVC|39ASPD|4AART|578DUR|689VULN|89BPWR|aRCR
15	22332 61233	   	221.83	DCR|3VULN|3DMG|1AART|3DUR|2ASPD	189DMG|2RCVC|39ASPD|4AART|568DUR|789VULN|89BPWR|aRCR
16	22331 35452	   	221.80	ACR|3VULN|3DMG|1AART|2ASPD|1ZMB	17aDMG|2RCVC|37ASPD|4AART|5RCR|678VULN|7BPWR|9ZMB
17	22214 35212	 * 	218.83	DCR|3VULN|3DMG|1AART|3CDMG	178DMG|2RCVC|3AART|478CDMG|5RPLT|678VULN|78BPWR|9BEXP|aRCR
18	22214 35262	   	218.83	DCR|3VULN|3DMG|1AART|3CDMG	178DMG|2RCVC|3AART|478CDMG|5RPLT|678VULN|78BPWR|9LHND|aRCR
19	22215 55212	   	218.83	DCR|3VULN|3DMG|1AART|3CDMG	178DMG|2RCVC|3AART|478CDMG|578VULN|6RPLT|78BPWR|9BEXP|aRCR
20	22331 35225	   	218.78	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|29RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|aRMIN
21	22331 35226	   	218.78	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|29RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|aFEWX
22	22331 35222	   	218.68	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|29RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|aDLOT
23	22331 35352	   	217.59	ACR|3DMG|2AART|2VULN|2ASPD|1ZMB	17aDMG|2RCVC|37ASPD|48AART|5RCR|67VULN|7BPWR|9ZMB
24	22331 35265	   	217.31	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9MLV|aRMIN
25	22331 35235	   	217.21	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9ERES|aRMIN
26	22331 35263	   	217.21	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9MLV|aDUST
27	22331 35233	   	217.11	ACR|3VULN|3DMG|1AART|3ASPD	178DMG|2RCVC|378ASPD|4AART|5RCR|678VULN|78BPWR|9ERES|aDUST
28	22331 35355	   	215.59	ACR|2AART|2VULN|2DMG|2ASPD|1CDMG|1ZMB	17DMG|2RCVC|37ASPD|48AART|5RCR|67VULN|7BPWR|9ZMB|aCDMG
