0	Index      	 *	Score 	Summary	Detail	
1	31832 54274	 * 	189.87	DCR|3DMG|1AART|1VULN|2ZMB|2DUR	149DMG|2MBVNT|3RPLT|59DUR|6RCR|7AART|89ZMB|9BPWR|aVULN
2	36253 12412	 * 	189.32	DCR|3VULN|3DMG|1AART	157DMG|249VULN|3DMSP|6LWND|8RCR|aAART
3	32123 61114	 * 	188.07	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCR|7LWND|8aASPD|9AART|aBPWR
4	32123 62114	   	187.97	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCR|7DUST|8aASPD|9AART|aBPWR
5	32143 61114	   	187.97	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2ZMB|3aVULN|4DUST|5MBVNT|6RCR|7LWND|8aASPD|9AART|aBPWR
6	32143 64114	   	187.97	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2ZMB|3aVULN|4DUST|5MBVNT|6RCR|7BEXP|8aASPD|9AART|aBPWR
7	32122 14336	 * 	186.33	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4BEXP|5LEGI|6RCR|7CGEN|9aFLTHEA|aBPWR
8	32123 65337	   	186.33	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCR|7CGEN|9aFLTHEA|aBPWR
9	32123 68337	   	186.33	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCR|7MLV|9aFLTHEA|aBPWR
10	32122 16336	   	186.23	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4BEXP|5LEGI|6RCR|7TLV|9aFLTHEA|aBPWR
11	32123 67337	   	186.23	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCR|7TLV|9aFLTHEA|aBPWR
12	32142 14336	   	186.23	DCR|3DMG|2VULN|2FLTHEA|1ZMB	18aDMG|2ZMB|3aVULN|4DUST|5LEGI|6RCR|7CGEN|9aFLTHEA|aBPWR
13	32133 12644	 * 	185.76	DCR|2VULN|2DMG|3ZMB|2CDMG	1aDMG|268ZMB|3aVULN|4LIT|5FEWX|7RCR|9aCDMG|aBPWR
14	35151 32331	 * 	185.07	DCR|3DMG|2VULN|3CDMG|1ZMB	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aZMB
15	36124 42131	 * 	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6LHND|7RCR|aCDMG
16	36124 12121	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aCDMG
17	32123 72437	   	184.03	DCR|3DMG|2VULN|2FLTHEA|1ZMB	16aDMG|2ZMB|3aVULN|46BEXP|5MBVNT|6aBPWR|7RCR|8CGEN|9aFLTHEA
18	32123 72637	   	183.93	DCR|3DMG|2VULN|2FLTHEA|1ZMB	16aDMG|2ZMB|3aVULN|46BEXP|5MBVNT|6aBPWR|7RCR|8TLV|9aFLTHEA
19	36121 46334	 * 	183.81	DCR|3VULN|2AART|2DMG	15DMG|278VULN|3LWND|46AART|9MBVNT|aRCR
20	31175 48124	 * 	182.83	ACR|3DMG|2VULN|1AART|1DUR	18aDMG|2MBVNT|3aLWND|4DUST|5RCR|6DUR|7AART|9aVULN|aBPWR
21	31175 48334	 * 	182.83	ACR|3VULN|2DMG|1AART|1DUR	1aDMG|2MBVNT|3aLWND|4DUST|5RCR|6DUR|7AART|89aVULN|aBPWR
22	36124 42331	 * 	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|289VULN|3LWND|4AART|5DUR|6LHND|7RCR|aCDMG
23	36124 12321	   	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|289VULN|3LWND|4AART|5DUR|6DUST|7RCR|aCDMG
24	31832 52128	 * 	182.45	DCR|3DMG|2VULN|2ZMB|2DUR	148DMG|2MBVNT|3RPLT|58DUR|6RCR|78ZMB|8BPWR|9aVULN
25	32123 74537	   	181.53	DCR|3DMG|2VULN|2FLTHEA|1ZMB	16aDMG|2ZMB|3aVULN|46BEXP|5MBVNT|6aBPWR|7ERES|8RCR|9aFLTHEA
26	32133 52634	 * 	181.45	DCR|3DMG|2VULN|3ZMB	19aDMG|289ZMB|36VULN|4LIT|59FEWX|7RCR|9BPWR
27	32133 52636	 * 	181.45	DCR|3VULN|2DMG|3ZMB	19DMG|289ZMB|36aVULN|4LIT|59FEWX|7RCR|9BPWR
28	31832 54284	   	180.52	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	149DMG|2MBVNT|3RPLT|5DUR|6RCR|7AART|8ZMB|aVULN
29	36121 41224	 * 	180.27	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	15DMG|2VULN|3LWND|46AART|7CDMG|8aASPD|9RCR
30	32133 52245	   	180.15	DCR|3VULN|2DMG|2ZMB|2DUR	1aDMG|29ZMB|36aVULN|4LIT|5FEWX|7RCR|8aDUR|aBPWR
31	32133 52235	 * 	180.12	DCR|3VULN|2DMG|3DUR|1ZMB	1aDMG|2ZMB|36aVULN|4LIT|5FEWX|7RCR|89aDUR|aBPWR
32	31833 48122	 * 	178.75	DCR|3DMG|2VULN|2ASPD|2DUR	148DMG|2MBVNT|3RPLT|58ASPD|68DUR|7RCR|8BPWR|9aVULN
33	31832 52121	   	178.40	DCR|3DMG|3ZMB|1VULN|2DUR	148DMG|2MBVNT|3RPLT|58DUR|6RCR|78aZMB|8BPWR|9VULN
34	32123 72314	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	16DMG|2ZMB|39VULN|46BEXP|5MBVNT|6BPWR|7RCR|8ASPD|aAART
35	61452 17344	 * 	178.33	DCR|3VULN|3DMG|2ZMB|1SELL	1aZMB|2MBVNT|3AIRHEL|4SELL|56aVULN|78aDMG|9RCR|aBPWR
36	36336 12142	   	178.07	DCR|3VULN|2AART|1DMG|1DUR	1DMG|269VULN|3BEXP|4DUR|5LIT|7RCR|8aAART
37	31833 48171	 * 	177.95	DCR|3DMG|1AART|2ASPD|1CDMG|2DUR	148DMG|2MBVNT|3RPLT|58ASPD|68DUR|7RCR|8BPWR|9CDMG|aAART
38	31831 54274	   	177.64	DCR|3DMG|1AART|1VULN|2ZMB	149DMG|2MBVNT|3RPLT|59FEWX|6RCR|7AART|89ZMB|9BPWR|aVULN
39	31834 54274	   	177.64	DCR|3DMG|1AART|1VULN|2ZMB	149DMG|2MBVNT|3RPLT|59BEXP|6RCR|7AART|89ZMB|9BPWR|aVULN
40	14123 34522	   	177.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|235VULN|4DMSP|6DMG|7RCR|8AART|9ZMB|aASPD
41	36122 42131	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	18DMG|29VULN|3LWND|4AART|5LHND|6LEGI|7RCR|aCDMG
42	66124 12321	 * 	177.46	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	18ZMB|289VULN|3LWND|4AART|5DUR|68DUST|7RCR|8BPWR|aCDMG
43	14433 16322	   	177.02	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1RCVC|28aVULN|3DMG|4ASPD|5AART|6CDMG|7SELL|9RCR
44	14633 16322	   	177.02	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1RCVC|28aVULN|3ASPD|4DMG|5AART|6CDMG|7SELL|9RCR
45	36233 16322	   	177.02	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1DMG|28aVULN|3DMSP|4ASPD|5AART|6CDMG|7SELL|9RCR
46	32123 72117	   	176.30	DCR|3DMG|2VULN|2DUR|1ZMB	16aDMG|2ZMB|3aVULN|468BEXP|5MBVNT|6aBPWR|7RCR|9aDUR
47	32133 52265	   	176.30	DCR|3VULN|2DMG|2DUR|1ZMB	1aDMG|2ZMB|36aVULN|4LIT|5FEWX|7RCR|8aDUR|9RCVC|aBPWR
48	35141 22215	   	176.22	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7RCR|8ERES|9DUR|aAART
49	31115 38144	   	175.99	ACR|3DMG|2VULN|1AART	18aDMG|2MBVNT|3aLWND|4LHND|5RCR|6FEWX|7AART|9aVULN|aBPWR
50	31115 38334	   	175.99	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|3aLWND|4LHND|5RCR|6FEWX|7AART|89aVULN|aBPWR
51	14153 42123	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|239VULN|4AART|5DUR|6FEWX|7RCR|8DMG|aASPD
52	32123 76514	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	16DMG|2ZMB|39VULN|46BEXP|5MBVNT|6BPWR|7ASPD|8RCR|aAART
53	31115 18144	   	175.89	ACR|3DMG|2VULN|1AART	18aDMG|2MBVNT|3aLWND|4LHND|5RCR|6DUST|7AART|9aVULN|aBPWR
54	31115 18334	   	175.89	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|3aLWND|4LHND|5RCR|6DUST|7AART|89aVULN|aBPWR
55	31125 18144	   	175.89	ACR|3DMG|2VULN|1AART	18aDMG|2MBVNT|3aLWND|4BEXP|5RCR|6DUST|7AART|9aVULN|aBPWR
56	31125 18364	   	175.89	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|3aLWND|4BEXP|5RCR|6DUST|7AART|89aVULN|aBPWR
57	31175 28144	   	175.89	ACR|3DMG|2VULN|1AART	18aDMG|2MBVNT|3aLWND|4DUST|5RCR|6FEWX|7AART|9aVULN|aBPWR
58	31175 28334	   	175.89	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|3aLWND|4DUST|5RCR|6FEWX|7AART|89aVULN|aBPWR
59	31643 24854	 * 	175.72	DCR|4VULN|3DMG	189DMG|2MBVNT|389CGEN|4MLV|5LIT|6789VULN|89BPWR|aRCR
60	36122 42331	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|289VULN|3LWND|4AART|5LHND|6LEGI|7RCR|aCDMG
61	36115 13336	   	175.33	DCR|3DMG|2VULN|2FLTHEA	18aDMG|2aVULN|3LWND|4LEGI|5CGEN|6RCR|7RMIN|9aFLTHEA|aBPWR
62	36111 13336	   	175.23	DCR|3DMG|2VULN|2FLTHEA	18aDMG|2aVULN|3LWND|4LEGI|5TLV|6RCR|7RMIN|9aFLTHEA|aBPWR
63	33121 26634	   	174.97	DCR|3DMG|2VULN|1AART	15aDMG|2aLHND|3LWND|4AART|6MBVNT|7FEWX|8aVULN|9RCR|aBPWR
64	36121 26734	   	174.97	DCR|3DMG|2VULN|1AART	15aDMG|2aVULN|3LWND|4AART|6MBVNT|7FEWX|8aLHND|9RCR|aBPWR
65	36122 54334	   	174.97	DCR|3VULN|2DMG|1AART	1aDMG|26aVULN|3LWND|4AART|5LHND|7aFEWX|8MBVNT|9RCR|aBPWR
66	31832 52163	   	174.94	DCR|3DMG|1AART|2ZMB|2DUR|1ASPD	148DMG|2MBVNT|3RPLT|58DUR|6RCR|78ZMB|8BPWR|9ASPD|aAART
67	33121 23634	   	174.87	DCR|3DMG|2VULN|1AART	15aDMG|2aLHND|3LWND|4AART|6MBVNT|7DUST|8aVULN|9RCR|aBPWR
68	36121 23234	   	174.87	DCR|3DMG|2VULN|1AART	15aDMG|2aVULN|3LWND|4AART|6MBVNT|7DUST|8aBEXP|9RCR|aBPWR
69	36121 23734	   	174.87	DCR|3DMG|2VULN|1AART	15aDMG|2aVULN|3LWND|4AART|6MBVNT|7DUST|8aLHND|9RCR|aBPWR
70	36123 35334	   	174.87	DCR|3DMG|2VULN|1AART	16aDMG|2aVULN|3LWND|4AART|5DUST|7aFEWX|8MBVNT|9RCR|aBPWR
71	31833 48125	 * 	174.81	DCR|3DMG|1VULN|2ASPD|1CDMG|2DUR	148DMG|2MBVNT|3RPLT|58ASPD|68DUR|7RCR|8BPWR|9VULN|aCDMG
72	36122 53334	   	174.77	DCR|3VULN|2DMG|1AART	1aDMG|26aVULN|3LWND|4AART|5LHND|7aDUST|8MBVNT|9RCR|aBPWR
73	14123 34521	 * 	174.54	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|235VULN|4DMSP|6DMG|7RCR|8AART|9aZMB
74	32122 14536	 * 	174.53	DCR|2VULN|2DMG|2FLTHEA|2ZMB	1aDMG|28ZMB|3aVULN|4BEXP|5LEGI|6RCR|7CGEN|9aFLTHEA|aBPWR
75	31225 33224	   	174.50	DCR|2VULN|2AART|2DMG|1DUR	16DMG|2MBVNT|3DMSP|4DUR|59AART|78VULN|aRCR
76	32122 16536	   	174.43	DCR|2VULN|2DMG|2FLTHEA|2ZMB	1aDMG|28ZMB|3aVULN|4BEXP|5LEGI|6RCR|7TLV|9aFLTHEA|aBPWR
77	31184 67114	 * 	174.23	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aDMG|2MBVNT|3LWND|4aZMB|5DUST|6RCR|7VULN|8aASPD|9AART|aBPWR
78	35151 32335	   	174.07	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aRCVC
79	35151 32336	   	174.07	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aFEWX
80	35151 32332	   	173.97	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aDUST
81	35151 32333	   	173.97	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aERES
82	35151 32334	   	173.97	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9RCR|aTLV
83	65342 12332	   	173.92	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1ZMB|2DLOT|39AART|4MGNLIT|5VULN|6aDMG|7ASPD|8RCR
84	14123 34512	 * 	173.78	DCR|4VULN|1AART|1DMG	1RCVC|235aVULN|4DMSP|6DMG|7RCR|8AART|9FEWX
85	32123 65314	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2ZMB|39VULN|4BEXP|5MBVNT|6RCR|7CGEN|aAART
86	32123 68314	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2ZMB|39VULN|4BEXP|5MBVNT|6RCR|7MLV|aAART
87	14123 34532	   	173.68	DCR|4VULN|1AART|1DMG	1RCVC|235aVULN|4DMSP|6DMG|7RCR|8AART|9MBVNT
88	36253 12422	   	173.67	DCR|3DMG|2VULN|1AART	157DMG|24VULN|3DMSP|6LWND|8RCR|9RCVC|aAART
89	36263 12412	   	173.67	DCR|3DMG|2VULN|1AART	157DMG|29VULN|3DMSP|4RCVC|6LWND|8RCR|aAART
90	36121 41223	   	173.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2VULN|3LWND|46AART|7CDMG|8ASPD|9RCR|aCGEN
91	36121 41226	   	173.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2VULN|3LWND|46AART|7CDMG|8ASPD|9RCR|aBELT
92	36121 41124	   	173.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2VULN|3LWND|46AART|7CDMG|8RMIN|9RCR|aASPD
