0	Index      	 *	Score 	Summary	Detail	
1	41312 27327	 * 	208.40	DCR|4VULN|3DMG|3CDMG|2RCVC	15RCVC|279DMG|3MBVNT|479CDMG|6789VULN|79BPWR|aRCR
2	61312 27327	   	204.53	DCR|4VULN|3DMG|3CDMG	1DMSP|279DMG|3MBVNT|479CDMG|5RCVC|6789VULN|79BPWR|aRCR
3	16125 13432	 * 	197.02	ACR|3VULN|2DMG|1AART|2DUR	157DUST|2RCR|35aVULN|4AART|5aBPWR|6CANSTR|8aDUR|9aDMG
4	16126 11161	   	197.02	ACR|3VULN|2DMG|1AART|2DUR	1DUST|2RCR|369VULN|4AART|57DUR|8aDMG
5	45151 11131	 * 	193.97	DCR|2AART|2VULN|2DMG|1ZMB	1RCVC|27AART|34DMG|5MBVNT|6RCR|8ZMB|9aVULN
6	41153 31261	 * 	193.61	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24aDMG|3AART|5LWND|6RCR|7DUR|89VULN
7	41155 31131	   	193.47	DCR|2AART|2VULN|2DMG|1ZMB	1RCVC|24DMG|37AART|5BEXP|6RCR|8ZMB|9aVULN
8	41151 11131	   	193.37	DCR|2AART|2VULN|2DMG|1ZMB	1RCVC|24DMG|37AART|5MBVNT|6RCR|8ZMB|9aVULN
9	45312 33351	   	192.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2AART|34VULN|5ASPD|6RCR|7CDMG|8DUR|9DMG|aZMB
10	45321 33351	   	192.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2AART|35VULN|4ASPD|6RCR|7CDMG|8DUR|9DMG|aZMB
11	45151 11433	 * 	192.03	DCR|3DMG|2AART|1VULN|1ZMB	1RCVC|27AART|348DMG|5MBVNT|6RCR|8BPWR|9ZMB|aVULN
12	16126 12161	   	191.63	ACR|3VULN|2DMG|1AART|1DUR	17DUST|2RCR|369VULN|4AART|5DUR|8aDMG
13	41151 11433	   	191.43	DCR|3DMG|2AART|1VULN|1ZMB	1RCVC|248DMG|37AART|5MBVNT|6RCR|8BPWR|9ZMB|aVULN
14	36132 73381	 * 	190.34	ACR|3VULN|3DMG|1AART	17CGEN|2ERES|378VULN|4MBVNT|5RCR|67aDMG|7BPWR|9AART
15	41383 23232	   	189.98	DCR|3VULN|3DMG|1CDMG|1ZMB	1RCVC|256DMG|3MBVNT|469VULN|6BPWR|7CDMG|8ZMB|aRCR
16	65151 11131	   	189.96	DCR|2AART|2VULN|2DMG|1ZMB	1DMSP|27AART|34DMG|5MBVNT|6RCR|8ZMB|9aVULN
17	61153 31261	   	189.61	DCR|3DMG|2VULN|1AART|1DUR	1DMSP|24aDMG|3AART|5LWND|6RCR|7DUR|89VULN
18	61155 31131	   	189.46	DCR|2AART|2VULN|2DMG|1ZMB	1DMSP|24DMG|37AART|5BEXP|6RCR|8ZMB|9aVULN
19	61151 11131	   	189.36	DCR|2AART|2VULN|2DMG|1ZMB	1DMSP|24DMG|37AART|5MBVNT|6RCR|8ZMB|9aVULN
20	41151 11731	   	189.30	DCR|2AART|2VULN|2DMG|1ASPD	1RCVC|24DMG|37AART|5MBVNT|6RCR|8ASPD|9aVULN
21	33352 25261	 * 	188.89	ACR|4VULN|2DMG|1AART	16CGEN|2BEXP|38DMG|467aVULN|5RCR|6BPWR|9AART
22	65312 33351	   	188.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DMSP|2AART|34VULN|5ASPD|6RCR|7CDMG|8DUR|9DMG|aZMB
23	65321 33351	   	188.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DMSP|2AART|35VULN|4ASPD|6RCR|7CDMG|8DUR|9DMG|aZMB
24	42313 12135	   	188.46	DCR|3VULN|3DMG|1ZMB|1DUR	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679MLV|79BPWR|8RCR|aDUR
25	45312 36121	 * 	188.38	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|347aVULN|57ASPD|6RCR|7BPWR|8ZMB|9FEWX
26	45312 36131	   	188.38	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aRMIN
27	45321 36121	   	188.38	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|357aVULN|47ASPD|6RCR|7BPWR|8ZMB|9FEWX
28	45321 36131	   	188.38	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aRMIN
29	45312 36132	   	188.28	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aSNIHEL
30	45312 36133	   	188.28	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aTLV
31	45321 36132	   	188.28	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aSNIHEL
32	45321 36133	   	188.28	DCR|4VULN|1AART|2ASPD|1ZMB	1RCVC|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aTLV
33	42311 22135	   	188.16	DCR|3VULN|3DMG|1ZMB|1DUR	1RCVC|279VULN|3RPLT|4ZMB|579TLV|679DMG|79BPWR|8RCR|aDUR
34	42313 62132	   	188.16	DCR|3VULN|3DMG|1ZMB|1ASPD	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aASPD
35	65151 11433	   	188.03	DCR|3DMG|2AART|1VULN|1ZMB	1DMSP|27AART|348DMG|5MBVNT|6RCR|8BPWR|9ZMB|aVULN
36	45312 36111	   	187.82	DCR|3VULN|1AART|1CDMG|2ASPD|1ZMB	1RCVC|2AART|347VULN|57ASPD|6RCR|7BPWR|8ZMB|9ERES|aCDMG
37	45321 36111	   	187.82	DCR|3VULN|1AART|1CDMG|2ASPD|1ZMB	1RCVC|2AART|357VULN|47ASPD|6RCR|7BPWR|8ZMB|9ERES|aCDMG
38	31362 25262	 * 	187.58	ACR|4VULN|3DMG|1ASPD	1CGEN|2679VULN|368DMG|4LEGI|5RCR|6BPWR|aASPD
39	61151 11433	   	187.43	DCR|3DMG|2AART|1VULN|1ZMB	1DMSP|248DMG|37AART|5MBVNT|6RCR|8BPWR|9ZMB|aVULN
40	31362 25213	   	187.13	ACR|3VULN|3DMG|1FLTHEA|1DUR	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9FLTHEA|aDUR
41	16125 23161	   	186.99	ACR|3VULN|2DMG|1AART	15DUST|2RCR|359VULN|4AART|5BPWR|6BEXP|7RCVC|8aDMG
42	16124 13161	   	186.99	ACR|3VULN|2DMG|1AART	1DUST|2RCR|369VULN|4AART|5FEWX|7RCVC|8aDMG
43	16325 13161	   	186.99	ACR|3VULN|2DMG|1AART	1DUST|2RCR|3FEWX|4AART|569VULN|7RCVC|8aDMG
44	31362 22634	 * 	186.70	ACR|3VULN|3DMG|2CDMG	19CGEN|26aVULN|369DMG|4LEGI|5RCR|69BPWR|7RMIN|89CDMG
45	41151 13271	   	186.57	DCR|3DMG|2VULN|1AART	1RCVC|24aDMG|3AART|5MBVNT|6RCR|7FEWX|89VULN
46	31362 25223	   	186.50	ACR|3VULN|3DMG|2CDMG	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9aCDMG
47	41151 12271	   	186.47	DCR|3DMG|2VULN|1AART	1RCVC|24aDMG|3AART|5MBVNT|6RCR|7DUST|89VULN
48	45312 33115	   	186.07	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1RCVC|2aAART|34VULN|5ASPD|6RCR|7CDMG|8CGEN|9DMG
49	45321 33115	   	186.07	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1RCVC|2aAART|35VULN|4ASPD|6RCR|7CDMG|8CGEN|9DMG
50	61383 23232	   	185.97	DCR|3VULN|3DMG|1CDMG|1ZMB	1DMSP|256DMG|3MBVNT|469VULN|6BPWR|7CDMG|8ZMB|aRCR
51	45312 33251	   	185.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2AART|34VULN|5ASPD|6RCR|7CDMG|8BEXP|9DMG|aZMB
52	45321 33251	   	185.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2AART|35VULN|4ASPD|6RCR|7CDMG|8BEXP|9DMG|aZMB
53	21242 31116	 * 	185.53	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	19BASHEA|2AART|39CDMG|4VULN|5BELT|6DUR|7RCR|89DMG|9BPWR|aZMB
54	61151 11731	   	185.30	DCR|2AART|2VULN|2DMG|1ASPD	1DMSP|24DMG|37AART|5MBVNT|6RCR|8ASPD|9aVULN
55	21268 84111	 * 	185.08	DCR|2VULN|2DMG|1AART|2CDMG	19BASHEA|2AART|3aCDMG|4MBVNT|59VULN|6BELT|7RCR|89DMG|9BPWR
56	41153 33326	   	185.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|24DMG|3AART|5LWND|6RCR|7CDMG|8DUR|9VULN|aZMB
57	41223 31356	 * 	184.73	DCR|3DMG|1AART|3ASPD|3DUR	1RCVC|29aDMG|3DMSP|4AART|5LWND|6RCR|79aDUR|89aASPD|9aBPWR
58	62313 12135	   	184.46	DCR|3VULN|3DMG|1ZMB|1DUR	1DMSP|279VULN|3RPLT|4ZMB|579DMG|679MLV|79BPWR|8RCR|aDUR
59	65312 36121	   	184.37	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|347aVULN|57ASPD|6RCR|7BPWR|8ZMB|9FEWX
60	65312 36131	   	184.37	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aRMIN
61	65321 36121	   	184.37	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|357aVULN|47ASPD|6RCR|7BPWR|8ZMB|9FEWX
62	65321 36131	   	184.37	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aRMIN
63	65312 36132	   	184.27	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aSNIHEL
64	65312 36133	   	184.27	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3479VULN|57ASPD|6RCR|7BPWR|8ZMB|aTLV
65	65321 36132	   	184.27	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aSNIHEL
66	65321 36133	   	184.27	DCR|4VULN|1AART|2ASPD|1ZMB	1DMSP|2AART|3579VULN|47ASPD|6RCR|7BPWR|8ZMB|aTLV
67	45312 33524	   	184.21	DCR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2AART|349aVULN|5ASPD|6RCR|7CDMG|8MBVNT
68	45321 33524	   	184.21	DCR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2AART|359aVULN|4ASPD|6RCR|7CDMG|8MBVNT
69	62311 22135	   	184.16	DCR|3VULN|3DMG|1ZMB|1DUR	1DMSP|279VULN|3RPLT|4ZMB|579TLV|679DMG|79BPWR|8RCR|aDUR
70	62313 62132	   	184.16	DCR|3VULN|3DMG|1ZMB|1ASPD	1DMSP|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aASPD
71	65312 36111	   	183.82	DCR|3VULN|1AART|1CDMG|2ASPD|1ZMB	1DMSP|2AART|347VULN|57ASPD|6RCR|7BPWR|8ZMB|9ERES|aCDMG
72	65321 36111	   	183.82	DCR|3VULN|1AART|1CDMG|2ASPD|1ZMB	1DMSP|2AART|357VULN|47ASPD|6RCR|7BPWR|8ZMB|9ERES|aCDMG
73	21213 41163	   	183.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BASHEA|2AART|3CDMG|4TLV|5RCR|6DUR|7aDMG|89VULN
74	45312 31221	 * 	183.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2AART|348VULN|5ASPD|6RCR|7DUR|9LWND|aDMG
75	45312 31261	   	183.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2AART|348VULN|5ASPD|6RCR|7DUR|9BEXP|aDMG
76	45321 31221	   	183.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2AART|358VULN|4ASPD|6RCR|7DUR|9LWND|aDMG
77	45321 31261	   	183.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2AART|358VULN|4ASPD|6RCR|7DUR|9BEXP|aDMG
78	45312 31211	   	183.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2AART|348VULN|5ASPD|6RCR|7DUR|9LEGI|aDMG
