0	Index      	 *	Score 	Summary	Detail	
1	61131 73844	 * 	187.92	DCR|3DMG|2VULN|1AART|2ZMB	1aVULN|2CGEN|3MBVNT|45aDMG|6aZMB|7AART|8LEGI|9RCR|aBPWR
2	61334 32622	   	186.01	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|2CGEN|39ZMB|4MLV|5FEWX|6RCR|79DMG|8AART|9BPWR|aASPD
3	61131 73251	   	181.57	DCR|3DMG|2VULN|1AART|1ZMB	18VULN|2CGEN|3MBVNT|459DMG|6ZMB|7AART|aRCR
4	43642 23323	 * 	179.34	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1CGEN|2RCVC|38VULN|4RCR|57AART|6ASPD|9ZMB|aDMG
5	61137 13744	   	179.21	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1aVULN|2CGEN|3MBVNT|4aDMG|5DUR|6DUST|7AART|8aZMB|9RCR|aBPWR
6	61334 32623	   	179.07	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|2CGEN|39ZMB|4MLV|5FEWX|6RCR|79DMG|8AART|9BPWR|aLHND
7	61542 23323	   	179.04	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2CGEN|3RCVC|4RCR|57AART|6ASPD|9ZMB|aDMG
8	61334 32621	   	178.97	DCR|2VULN|2DMG|1AART|2ZMB	19VULN|2CGEN|39ZMB|4MLV|5FEWX|6RCR|79DMG|8AART|9BPWR|aERES
9	44311 31134	 * 	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|289VULN|3ZMB|4BEXP|5DMG|6RCR|7ASPD|aAART
10	61311 31134	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2CGEN|3ZMB|4BEXP|5DMG|6RCR|7ASPD|aAART
11	61351 31134	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2CGEN|3ZMB|4FEWX|5DMG|6RCR|7ASPD|aAART
12	44211 31313	   	177.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1CGEN|2aVULN|3DUR|4TLV|5aDMG|6RCR|7ASPD|8aLWND|9AART|aBPWR
13	44211 31613	   	177.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1CGEN|2aVULN|3DUR|4TLV|5aDMG|6RCR|7ASPD|8aLHND|9AART|aBPWR
14	61261 31114	   	176.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|2CGEN|3DUR|4ASPD|57DMG|6RCR|9MLV|aAART
