0	Index      	 *	Score 	Summary	Detail	
1	26221 16215	 * 	210.50	DCR|4VULN|2DMG|1AART|2DUR|1ZMB	1aDUR|234aVULN|5DUST|6ZMB|7AART|8aDMG|9RCR|aBPWR
2	31134 62336	 * 	208.17	DCR|3VULN|3DMG|2AART	18MLV|29AART|3LIT|48aDMG|568VULN|7RCR|8BPWR
3	25315 15211	 * 	205.32	ACR|4VULN|2DMG|1AART|2DUR	18DUR|2AART|389aVULN|4ERES|5RCR|6BEXP|78DMG|8BPWR
4	31134 62331	   	203.52	DCR|3VULN|2AART|2DMG|1ZMB	18MLV|29AART|3LIT|48DMG|568VULN|7RCR|8BPWR|aZMB
5	26231 16215	 * 	200.22	DCR|3VULN|2DMG|1AART|3DUR|1ZMB	14aDUR|23aVULN|5DUST|6ZMB|7AART|8aDMG|9RCR|aBPWR
6	52514 12311	   	200.03	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	18aVULN|28CGEN|3RCR|4ASPD|5AART|6LHND|78DMG|8BPWR|9ZMB
7	31134 62342	   	199.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ZMB|aDUR
8	31134 62326	   	196.72	DCR|3VULN|3DMG|1AART	18MLV|2AART|3LIT|48aDMG|568VULN|7RCR|8BPWR|9FEWX
9	25451 32211	   	195.60	DCR|3VULN|2DMG|1AART|2DUR	18DUR|2AART|38DMG|49aVULN|5DUST|6RCR|78CGEN|8BPWR
10	25315 15213	 * 	195.04	ACR|3VULN|2DMG|1AART|3DUR	18aDUR|2AART|389VULN|4ERES|5RCR|6BEXP|78DMG|8BPWR
11	31134 62352	   	194.95	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ASPD|aDUR
12	52525 22212	 * 	192.52	ACR|3DMG|2VULN|1AART|2DUR	19VULN|29CGEN|3RCR|4aDUR|5LSRICY|679DMG|8AART|9BPWR
13	31134 62333	   	192.51	DCR|3VULN|2AART|2DMG	18MLV|29AART|3LIT|48DMG|568VULN|7RCR|8BPWR|aCGEN
14	31134 62335	   	192.51	DCR|3VULN|2AART|2DMG	18MLV|29AART|3LIT|48DMG|568VULN|7RCR|8BPWR|aLWND
15	31134 62363	   	192.51	DCR|3VULN|2AART|2DMG	18MLV|2aAART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LHND
16	31134 62332	   	192.41	DCR|3VULN|2AART|2DMG	18MLV|29AART|3LIT|48DMG|568VULN|7RCR|8BPWR|aLSRHEA
17	31134 62334	   	192.41	DCR|3VULN|2AART|2DMG	18MLV|29AART|3LIT|48DMG|568VULN|7RCR|8BPWR|aERES
18	31134 62341	   	192.07	DCR|3VULN|2DMG|1AART|1ZMB	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ZMB|aBEXP
19	31134 62343	   	191.97	DCR|3VULN|2DMG|1AART|1ZMB	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ZMB|aMBVNT
20	52514 12313	   	191.31	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	18VULN|28CGEN|3RCR|4ASPD|5AART|6LHND|78DMG|8BPWR|9ZMB|aDUR
21	25315 15212	   	191.12	ACR|3VULN|2DMG|1AART|2DUR	18DUR|2AART|389VULN|4ERES|5RCR|6BEXP|78DMG|8BPWR|aCANSTR
22	25315 15221	   	191.12	ACR|3VULN|2DMG|1AART|2DUR	18DUR|2AART|38aVULN|49ERES|5RCR|6BEXP|78DMG|8BPWR
23	21633 12265	 * 	189.68	ACR|2VULN|3ZMB|1AART|1DMG|3DUR	12aDUR|2aBPWR|35aZMB|4RCR|6FEWX|7AART|8DMG|9aVULN
24	31134 62351	   	188.01	DCR|3VULN|2DMG|1AART|1ASPD	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ASPD|aBEXP
25	31134 62353	   	188.01	DCR|3VULN|2DMG|1AART|1ASPD	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9ASPD|aRPLT
26	52223 26213	   	188.00	DCR|4VULN|2DMG|2DUR|1ZMB	1469VULN|2CGEN|39DMG|59DUR|7RCVC|8RCR|9BPWR|aZMB
27	26224 16211	   	187.52	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|234aVULN|5ZMB|6FEWX|7AART|8DMG|9RCR
28	26221 16211	   	187.42	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|234aVULN|5DUST|6ZMB|7AART|8DMG|9RCR
29	46223 16211	   	187.42	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUST|234aVULN|5DUR|6ZMB|7AART|8DMG|9RCR
30	52525 22211	   	187.23	ACR|3DMG|2VULN|1AART|1DUR	19VULN|29CGEN|3RCR|4DUR|5LSRICY|679DMG|8AART|9BPWR|aFEWX
31	52525 22213	   	187.23	ACR|3DMG|2VULN|1AART|1DUR	19VULN|29CGEN|3RCR|4DUR|5LSRICY|679DMG|8AART|9BPWR|aRMIN
32	52221 26216	 * 	187.16	DCR|4VULN|3DMG|1ASPD	1469VULN|2CGEN|379DMG|59DUST|8RCR|9BPWR|aASPD
33	52543 22212	   	187.13	ACR|3DMG|2VULN|1AART|1DUR	19VULN|29CGEN|3RCR|4VENICY|5BEXP|679DMG|8AART|9BPWR|aDUR
34	51251 33322	   	185.87	DCR|4VULN|2DMG|1AART	1389VULN|2LWND|469ERES|5AART|79DMG|9BPWR|aRCR
35	31615 22121	   	185.83	ACR|3VULN|2DMG|1AART|1DUR	1MLV|2AART|3DUR|4BEXP|5RCR|67DMG|89aVULN
36	21323 14662	   	185.78	DCR|2DMG|1AART|1VULN|3DUR|2ASPD|1ZMB|1SELL	129DUR|29BPWR|3SELL|4ZMB|59ASPD|6AART|7RCR|89DMG|aVULN
37	25215 22111	   	185.73	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2AART|3BEXP|4ERES|5RCR|67DMG|89aVULN
38	52223 53361	   	185.61	DCR|3VULN|2DMG|1AART|1DUR	149VULN|2CGEN|39DMG|5DUR|6RCR|7MLV|89LIT|9BPWR|aAART
39	23155 22111	   	184.63	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2BEXP|3CGEN|4AART|5RCR|67DMG|89aVULN
40	23455 22111	   	184.53	ACR|3VULN|2DMG|1AART|1DUR	1DUR|2BEXP|3ERES|4AART|5RCR|67DMG|89aVULN
41	52514 12312	   	184.27	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|28CGEN|3RCR|4ASPD|5AART|6LHND|78DMG|8BPWR|9ZMB|aCANSTR
42	52553 22422	   	184.19	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2CGEN|3RCR|479DMG|5MBVNT|6AART|8CDMG|aDUR
