0	Index      	 *	Score 	Summary	Detail	
1	11313 31132	 * 	299.12	DCR|2VULN|2TLV|2MLV|1DMG|1RPLT|1CDMG	1AAC|27TLV|3RPLT|47VULN|5RCVC|67MLV|7BPWR|8DMG|9CDMG|aRCR
2	25331 55331	 * 	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1LWND|2RMIN|3RPLT|4BEXP|5LIT|67RCR|8VULN|9DUR|aTLV
3	11154 22745	   	294.31	DCR|DCR|1TLV|1LIT|1VULN	1AAC|2TLV|3BBNT|4MBVNT|5TBNT|6VULN|7aRCR|8LIT|9RPLT
4	25331 55223	 * 	292.53	DCR|DCR|1TLV|1LIT|1MLV|1DMG|1RPLT	1LWND|2RMIN|3RPLT|4BEXP|5LIT|67RCR|8MLV|9TLV|aDMG
5	41216 21532	 * 	289.07	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1CDMG	1BEXP|2CDMG|3LIT|4DMSP|59RCR|6aVULN|7MLV|8TLV
6	41226 21532	   	289.07	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1CDMG	1BEXP|2CDMG|3LIT|4RCVC|59RCR|6aVULN|7MLV|8TLV
7	41236 21532	   	288.97	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1CDMG	1BEXP|2CDMG|3LIT|4AEFBLL|59RCR|6aVULN|7MLV|8TLV
8	11313 31422	   	285.47	DCR|2VULN|2TLV|2MLV|1DMG|1RPLT	1AAC|27TLV|3RPLT|47VULN|5RCVC|67MLV|7BPWR|8LHND|9RCR|aDMG
9	11313 31622	   	285.47	DCR|2VULN|2TLV|2MLV|1DMG|1RPLT	1AAC|27TLV|3RPLT|47VULN|5RCVC|67MLV|7BPWR|8BEXP|9RCR|aDMG
10	11313 31222	   	285.37	DCR|2VULN|2TLV|2MLV|1DMG|1RPLT	1AAC|27TLV|3RPLT|47VULN|5RCVC|67MLV|7BPWR|8DUST|9RCR|aDMG
11	51621 35223	 * 	284.58	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1RPLT|2DMG|3DUR|4aVULN|5LIT|6ASPD|7TLV|8BBNT|9RCR
12	25321 55333	 * 	280.89	DCR|DCR|2VULN|1LIT|1DMG|1RPLT	1LWND|2RMIN|3RPLT|48VULN|5LIT|67RCR|9FEWX|aDMG
13	51213 31323	 * 	275.36	DCR|2VULN|2MLV|2DMG|1TLV|1RPLT	1RPLT|27DMG|3CGEN|47VULN|5RCVC|67MLV|7BPWR|8DUR|9RCR|aTLV
14	51221 31323	   	275.36	DCR|2VULN|2MLV|2DMG|1TLV|1RPLT	1RPLT|27DMG|34CGEN|57VULN|67MLV|7BPWR|8DUR|9RCR|aTLV
15	11363 61131	 * 	272.60	DCR|2VULN|2TLV|2LIT|1RPLT	18AAC|2aTLV|3RPLT|4LHND|5aVULN|6RMIN|7RCR|9aLIT|aBPWR
16	11311 22621	   	272.60	DCR|2VULN|2TLV|2LIT|1RPLT	1AAC|2aTLV|3RPLT|4aVULN|56LHND|7ZMB|8aLIT|9RCR|aBPWR
17	11312 31631	   	272.60	DCR|2VULN|2TLV|2LIT|1RPLT	1AAC|2aTLV|3RPLT|48VULN|5aFEWX|6RMIN|7RCR|9aLIT|aBPWR
18	11313 12621	   	272.60	DCR|2VULN|2TLV|2LIT|1RPLT	1AAC|2aTLV|3RPLT|4aVULN|5RCVC|6LHND|7ZMB|8aLIT|9RCR|aBPWR
19	25331 55221	   	272.47	DCR|DCR|1TLV|1LIT|1MLV|1RPLT	1LWND|2RMIN|3RPLT|4BEXP|5LIT|67RCR|8MLV|9TLV|aLHND
20	25331 55222	   	272.37	DCR|DCR|1TLV|1LIT|1MLV|1RPLT	1LWND|2RMIN|3RPLT|4BEXP|5LIT|67RCR|8MLV|9TLV|aDUST
21	11311 31253	 * 	272.34	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aFEWX
22	11311 31254	   	272.34	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aBEXP
23	11311 31255	   	272.34	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aBELT
24	11311 31251	   	272.24	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aERES
25	11311 31252	   	272.24	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aDUST
26	11311 31256	   	272.24	DCR|2VULN|2TLV|1MLV|2CDMG|1RPLT	1AAC|29TLV|3RPLT|49VULN|5LHND|6MLV|7RCR|89CDMG|9BPWR|aAEFBLL
27	35412 13213	   	271.60	DCR|DCR|1TLV|1LIT|1MLV|2DUR	14DUR|2RMIN|3RCVC|5MLV|68RCR|7CGEN|9TLV|aLIT
28	25331 55332	   	270.49	DCR|DCR|2VULN|1LIT|1RPLT	1LWND|2RMIN|3RPLT|4BEXP|5LIT|67RCR|8aVULN|9DUR
29	25321 55213	 * 	270.06	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1RPLT	1LWND|2RMIN|3RPLT|4VULN|5LIT|67RCR|8MLV|9CGEN|aDMG
30	25321 55223	   	269.96	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1RPLT	1LWND|2RMIN|3RPLT|4VULN|5LIT|67RCR|8MLV|9AME|aDMG
