0	Index      	 *	Score 	Summary	Detail	
1	15153 11623	 * 	319.83	DCR|3VULN|3LIT|2TLV|2CDMG	1aCDMG|256LIT|3RMIN|45aVULN|5aBPWR|7aTLV|8RCR|9TBNT
2	12311 45122	 * 	300.12	ACR|DCR|2TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|29RCR|3MLV|4aTLV|5VULN|6RMIN|7LIT|8MDPS
3	53253 62222	 * 	299.81	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1FEWX|2VULN|3CDMG|4LIT|5LEGI|69RCR|7TLV|8BEXP|aMLV
4	33452 32231	 * 	299.15	ACR|DCR|2LIT|1TLV|1VULN|1MLV|1DMG	14LIT|29RCR|3DUST|5DMG|6TLV|7BBNT|8MLV|aVULN
5	53322 32653	 * 	296.51	DCR|DCR|2VULN|1TLV|1ASPD	1FEWX|27VULN|3AME|4AART|5TLV|6ASPD|8aRCR|9DUR
6	63322 32653	   	296.41	DCR|DCR|2VULN|1TLV|1ASPD	1DUST|27VULN|3AME|4AART|5TLV|6ASPD|8aRCR|9DUR
7	11443 14222	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2DUR|3RMIN|4BEXP|5LIT|69RCR|7VULN|8LWND|aTLV
8	11653 14222	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2DUR|3LHND|4LIT|5ERES|69RCR|7VULN|8BEXP|aTLV
9	15633 14222	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2LIT|3LHND|4DUR|5ERES|69RCR|7VULN|8BEXP|aTLV
10	36333 14222	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1LIT|2LHND|3CDMG|4DUR|5ERES|69RCR|7VULN|8BEXP|aTLV
11	11153 14222	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2DUR|3LEGI|4LIT|5ERES|69RCR|7VULN|8BEXP|aTLV
12	15363 14222	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2LIT|3DUR|4DUST|5ERES|69RCR|7VULN|8BEXP|aTLV
13	15533 14222	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1CDMG|2LIT|3DUST|4DUR|5ERES|69RCR|7VULN|8BEXP|aTLV
14	53323 62633	   	293.26	DCR|DCR|2VULN|1TLV|1DMG	1FEWX|27VULN|3AME|4AART|5DMG|6TLV|8aRCR|9LWND
