0	Index      	 *	Score 	Summary	Detail	
1	52328 44741	 * 	324.09	DCR|3TLV|3LIT|3MLV|1DMG	138LIT|2MBVNT|468MLV|578TLV|8BPWR|9RCR|aDMG
2	16423 24333	 * 	321.15	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4MGNSTR|5DUR|6aRCR|7LEGI|8LIT|9DMG
3	16423 25333	   	321.15	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4MGNSTR|5DUR|6aRCR|7DUST|8LIT|9DMG
4	16413 24333	   	321.05	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4CANSTR|5DUR|6aRCR|7LEGI|8LIT|9DMG
5	16413 25333	   	321.05	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4CANSTR|5DUR|6aRCR|7DUST|8LIT|9DMG
6	52328 44743	   	313.69	DCR|3TLV|3LIT|3MLV	138LIT|2MBVNT|468MLV|578TLV|8BPWR|9RCR|aDUR
7	16422 24333	   	311.38	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4MGNSTR|5DUST|6aRCR|7LEGI|8LIT|9DMG
8	16412 24333	   	311.28	DCR|DCR|2TLV|1LIT|1MLV|1DMG	12TLV|2BPWR|3MLV|4CANSTR|5DUST|6aRCR|7LEGI|8LIT|9DMG
9	16453 31112	 * 	304.97	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	12TLV|2BPWR|3MLV|4ZMB|5MDPS|6MBVNT|7CDMG|8aRCR|9VULN
10	52328 44742	   	304.03	DCR|3TLV|3LIT|3MLV	138LIT|2MBVNT|468MLV|578TLV|8BPWR|9RCR|aDMSP
11	52328 44744	   	303.93	DCR|3TLV|3LIT|3MLV	138LIT|2MBVNT|468MLV|578TLV|8BPWR|9RCR|aTSLHEL
12	16423 24323	   	301.08	DCR|DCR|2TLV|1LIT|1MLV	12TLV|2BPWR|3MLV|4MGNSTR|5DUR|6aRCR|7LEGI|8LIT|9ZMB
13	16423 25323	   	301.08	DCR|DCR|2TLV|1LIT|1MLV	12TLV|2BPWR|3MLV|4MGNSTR|5DUR|6aRCR|7DUST|8LIT|9ZMB
14	16413 24323	   	300.98	DCR|DCR|2TLV|1LIT|1MLV	12TLV|2BPWR|3MLV|4CANSTR|5DUR|6aRCR|7LEGI|8LIT|9ZMB
15	16413 25323	   	300.98	DCR|DCR|2TLV|1LIT|1MLV	12TLV|2BPWR|3MLV|4CANSTR|5DUR|6aRCR|7DUST|8LIT|9ZMB
16	12332 62114	 * 	299.81	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1TLV|2CDMG|3BASHEA|4LHND|5VULN|6aRCR|7MLV|8LIT|9BEXP
17	12322 62114	   	299.71	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1TLV|2CDMG|3BASHEA|4LEGI|5VULN|6aRCR|7MLV|8LIT|9BEXP
18	12332 62144	   	299.71	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1TLV|2CDMG|3BASHEA|4LHND|5VULN|6aRCR|7MLV|8LIT|9DUST
19	12322 62144	   	299.61	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1TLV|2CDMG|3BASHEA|4LEGI|5VULN|6aRCR|7MLV|8LIT|9DUST
20	12231 12312	 * 	298.51	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|2CDMG|3MDPS|47VULN|5MBVNT|6aRCR|8CGEN|9DMG
21	12231 12882	   	298.51	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|2CDMG|3MDPS|47VULN|5MBVNT|6aRCR|8DMG|9CGEN
22	12231 12822	   	298.41	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|2CDMG|3MDPS|47VULN|5MBVNT|6aRCR|8DMG|9AME
23	63254 17112	   	297.44	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1DUR|2CDMG|3TLV|4MBVNT|5FEWX|6MLV|7DMG|8aRCR|9VULN
24	13231 38864	 * 	294.65	DCR|DCR|2DMG|1TLV|1VULN|1RPLT	1TLV|2FEWX|3RPLT|4VULN|5MBVNT|6RCVC|79RCR|8aDMG
25	12332 61134	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1TLV|2CDMG|3BASHEA|4LHND|5VULN|6aRCR|7CGEN|8LIT|9DUR
