0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25431 11135	6	 * 	305.42	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6BEXP|79DUR|89DMG|aRCR
2	25431 13135	7	   	305.42	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6BEXP|79DUR|89DMG|aRCR
3	25431 61131	6	   	305.42	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6RCR|79DUR|89DMG|aBEXP
4	25433 11135	4	   	305.42	DCR|5VULN|2DMG|2DUR	12479VULN|3AART|5LHND|69DUR|89DMG|9BPWR|aRCR
5	25431 63231	8	   	305.42	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6RCR|79DMG|89DUR|aBEXP
6	25431 61132	6	   	305.32	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6RCR|79DUR|89DMG|aTBNT
7	25431 11135	5	   	305.32	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6LEGI|79DUR|89DMG|aRCR
8	25431 31135	5	   	305.32	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6DUST|79DUR|89DMG|aRCR
9	25431 63232	8	   	305.32	DCR|5VULN|2DMG|2DUR	12459VULN|3AART|59BPWR|6RCR|79DMG|89DUR|aTBNT
10	25421 61132	6	 * 	301.54	DCR|4VULN|3DMG|2DUR	1259VULN|3AART|4DMSP|59BPWR|6RCR|79DUR|89aDMG
11	25421 63232	8	   	301.54	DCR|4VULN|3DMG|2DUR	1259VULN|3AART|4DMSP|59BPWR|6RCR|79aDMG|89DUR
12	25432 61132	6	   	301.54	DCR|4VULN|3DMG|2DUR	1249VULN|3AART|5RCVC|6RCR|79DUR|89aDMG|9BPWR
13	25432 63232	8	   	301.54	DCR|4VULN|3DMG|2DUR	1249VULN|3AART|5RCVC|6RCR|79aDMG|89DUR|9BPWR
14	22363 36325	4	 * 	300.96	DCR|5VULN|3DUR|3LIT	13457VULN|257LIT|57BPWR|678DUR|9AART|aRCR
15	22526 12251	1	 * 	292.47	DCR|4VULN|2DMG|3ASPD|1DUR	136aVULN|234ASPD|3aBPWR|5DUR|7RCR|8aDMG|9aZMB
16	22316 34342	9	   	291.06	DCR|5VULN|3DUR|3LIT|1SELL	1367aVULN|27aLIT|47aDUR|5SELL|7aBPWR|8MBVNT|9RCR
17	25234 32532	7	   	289.74	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	129aVULN|3DMG|4aLIT|5TLV|6FEWX|7aDUR|8RCR|aBPWR
18	22526 12351	1	 * 	288.95	DCR|5VULN|3ASPD|2DUR	1369aVULN|234ASPD|3aBPWR|5aDUR|7RCR|8aLWND
19	22526 12151	1	   	288.75	DCR|5VULN|3ASPD|2DUR	1369aVULN|234ASPD|3aBPWR|5aDUR|7RCR|8aDUST
20	22526 32251	1	   	288.75	DCR|5VULN|3ASPD|2DUR	1389aVULN|234ASPD|3aBPWR|5aDUR|6aDUST|7RCR
21	25421 61133	6	   	285.79	DCR|4VULN|2DMG|2DUR	1259VULN|3AART|4DMSP|59BPWR|6RCR|79DUR|89DMG|aDLOT
22	25421 63233	8	   	285.79	DCR|4VULN|2DMG|2DUR	1259VULN|3AART|4DMSP|59BPWR|6RCR|79DMG|89DUR|aDLOT
23	25432 61133	6	   	285.79	DCR|4VULN|2DMG|2DUR	1249VULN|3AART|5RCVC|6RCR|79DUR|89DMG|9BPWR|aDLOT
24	25432 63233	8	   	285.79	DCR|4VULN|2DMG|2DUR	1249VULN|3AART|5RCVC|6RCR|79DMG|89DUR|9BPWR|aDLOT
25	25231 43662	5	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	12aVULN|3aDMG|4LIT|5MBVNT|6AART|7CDMG|8RCR|9aDUR|aBPWR
26	25231 45162	5	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	12aVULN|3aDMG|4LIT|5MBVNT|6AART|7RCR|8CDMG|9aDUR|aBPWR
27	23131 33155	9	   	284.89	DCR|5VULN|2DMG|2TLV	1678aVULN|2MLV|37DMG|4RCVC|57TLV|7BPWR|9RCR
28	23131 33156	10	   	284.89	DCR|5VULN|2DMG|2TLV	1678aVULN|2MLV|37DMG|4RCVC|57TLV|7BPWR|9RCR
29	25234 32522	7	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	12aVULN|39DMG|4aLIT|5TLV|6FEWX|7aDUR|8RCR|aBPWR
30	26121 13542	7	   	284.43	DCR|4VULN|2DMG|2DUR	169aVULN|2ERES|3aDMG|4LWND|5LIT|7aDUR|8RCR|aBPWR
31	22343 35312	5	   	283.33	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	138aVULN|2aLIT|4CDMG|5TLV|6RPLT|7RCR|9aDUR|aBPWR
32	22526 12242	1	   	282.88	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV	136VULN|234ASPD|3BPWR|59DUR|7RCR|8DMG|aTLV
33	33233 22351	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	1RCVC|24aDUR|346DMG|4aBPWR|59aVULN|7RCR|8aLWND
34	33333 22351	1	   	282.56	DCR|3VULN|3DMG|3DUR	1RCVC|246DMG|34aDUR|4aBPWR|59aVULN|7RCR|8aLWND
35	22526 12111	1	 * 	282.43	DCR|4VULN|3DUR|3ASPD	136aVULN|234ASPD|3aBPWR|59aDUR|7RCR|8aDUST
36	22526 32211	1	   	282.43	DCR|4VULN|3DUR|3ASPD	138aVULN|234ASPD|3aBPWR|59aDUR|6aDUST|7RCR
37	33233 22151	3	   	282.36	DCR|3VULN|3DMG|3DUR	1RCVC|24aDUR|346DMG|4aBPWR|59aVULN|7RCR|8aDUST
38	33333 22151	1	   	282.36	DCR|3VULN|3DMG|3DUR	1RCVC|246DMG|34aDUR|4aBPWR|59aVULN|7RCR|8aDUST
39	25222 23314	3	 * 	282.16	DCR|4VULN|3DMG|2ASPD	1279VULN|369DMG|49ASPD|5RMIN|8BBNT|9BPWR|aRCR
40	53121 45133	10	   	281.75	DCR|4VULN|3ASPD|2TLV|1CDMG	18TLV|2CDMG|368ASPD|4AART|5789VULN|8BPWR|aRCR
41	23653 33253	10	   	281.60	DCR|4VULN|2DMG|2TLV|1DUR	1567VULN|2MLV|37TLV|47DMG|7BPWR|8CGEN|9RCR|aDUR
42	26131 33156	9	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	1678VULN|2ERES|37DMG|4RCVC|57TLV|7BPWR|9RCR|aDUR
43	23122 64432	5	 * 	281.32	ACR|4VULN|3DMG|3DUR	189aVULN|2MLV|38aDMG|4LWND|5RCR|6LIT|78aDUR|8aBPWR
44	21412 22736	8	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	19aVULN|279DUR|3DUST|4MBVNT|5CDMG|69DMG|8RCR|9BPWR
45	22526 12241	1	   	279.86	DCR|3VULN|3DUR|3ASPD|1DMG	136VULN|234ASPD|3BPWR|59aDUR|7RCR|8DMG
46	22133 23465	1	 * 	279.22	ACR|5VULN|3DMG|3ASPD	1589aVULN|29aASPD|3RCR|4RCVC|69aDMG|7BELT|9aBPWR
47	25422 63232	8	   	278.90	DCR|3VULN|3DMG|2DUR	129VULN|3AART|4DMSP|5RCVC|6RCR|79aDMG|89DUR|9BPWR
48	25422 61132	6	   	278.90	DCR|3VULN|3DMG|2DUR	129VULN|3AART|4DMSP|5RCVC|6RCR|79DUR|89aDMG|9BPWR
49	25232 26532	7	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	129aVULN|3DMG|4aLIT|5DUR|6LWND|7aTLV|8RCR|aBPWR
50	33353 12631	7	   	278.80	DCR|3VULN|3DMG|2DUR	1RCVC|29DUR|3DUST|489DMG|579VULN|6AART|9BPWR|aRCR
51	25232 15532	7	   	278.77	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	129aVULN|3DMG|4aLIT|5DUR|6DUST|7aTLV|8RCR|aBPWR
52	22526 12222	1	   	277.96	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	136VULN|234ASPD|3BPWR|5DUR|7RCR|8DMG|9TLV|aAART
