0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43522 26313	10	 * 	278.41	DCR|5VULN|3LIT|1DMG|1ASPD	179CGEN|279LIT|3DMG|4ASPD|5789aVULN|6RCR|79BPWR
2	31246 32623	5	 * 	278.19	DCR|5VULN|2ASPD|1TLV|1CDMG	12ASPD|2BPWR|35789VULN|4CDMG|6RCR|aTLV
3	53522 31363	8	 * 	277.58	DCR|3VULN|3DMG|2TLV|1ASPD	1aTLV|2LIT|35aDMG|4ASPD|6DUST|78aVULN|9RCR|aBPWR
4	43522 26312	9	 * 	276.46	DCR|4VULN|2DMG|3LIT|1ASPD	179CGEN|279LIT|3aDMG|4ASPD|5789VULN|6RCR|79BPWR
5	16111 36411	5	 * 	274.42	DCR|3VULN|3DMG|3TLV|1DUR	17aERES|279TLV|3DUR|46aVULN|57aDMG|7aBPWR|8RCR
6	53163 31363	8	 * 	270.71	DCR|3VULN|2DUR|2TLV|1DMG|2LIT|1NUKE	1aTLV|2aLIT|35DUR|4DMG|6NUKE|78aVULN|9RCR|aBPWR
7	53513 31363	8	   	270.71	DCR|3VULN|2DUR|2TLV|1DMG|2LIT|1NUKE	1aTLV|2aLIT|3DMG|45DUR|6NUKE|78aVULN|9RCR|aBPWR
8	43522 26332	10	   	269.91	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD	17CGEN|27LIT|3DMG|4ASPD|578aVULN|6RCR|7BPWR|9TLV
9	31253 16317	3	 * 	269.11	DCR|4VULN|3ASPD|2DUR	124ASPD|249BPWR|349aVULN|5BBNT|6RCR|79DUR|8MBVNT
10	31253 36116	3	   	269.11	DCR|4VULN|3ASPD|2DUR	124ASPD|249BPWR|349aVULN|5BBNT|69DUST|79DUR|8RCR
11	35253 16314	3	   	269.11	DCR|4VULN|3ASPD|2DUR	124ASPD|349aVULN|49BPWR|5BBNT|6RCR|79DUR|8MBVNT
12	33463 32118	2	 * 	268.32	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|2LIT|3MBVNT|49aVULN|5DUR|6ERES|79DMG|8RCR|9BPWR
