0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53226 23523	1	 * 	290.80	DCR|5VULN|1TLV|1DMG|2ASPD|2LIT	14578VULN|2DMG|37ASPD|67LIT|7BPWR|9RCR|aTLV
2	53223 14621	1	 * 	287.31	DCR|4VULN|2DMG|1TLV|2CDMG	1479VULN|27DMG|3ASPD|5ZMB|67CDMG|7BPWR|8TLV|aRCR
3	53224 14321	1	   	287.21	DCR|4VULN|2DMG|1TLV|2CDMG	1478VULN|27DMG|3ASPD|5TLV|67CDMG|7BPWR|9ERES|aRCR
4	52225 13234	5	 * 	283.47	DCR|4VULN|2DMG|2TLV|1DUR	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9DUR
5	52225 13234	6	   	283.47	DCR|4VULN|2DMG|2TLV|1DUR	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9DUR
6	52226 13234	4	   	283.47	DCR|4VULN|2DMG|2TLV|1DUR	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9DUR
7	52313 15341	4	 * 	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1678VULN|2TLV|37CDMG|47DUR|5AART|7BPWR|9RPLT|aRCR
8	52313 15353	4	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1678VULN|2TLV|37CDMG|47DUR|5AART|7BPWR|9CGEN|aRCR
9	52331 62216	10	 * 	281.32	DCR|5VULN|2TLV|1DMG|1CDMG	1489aVULN|25TLV|3CDMG|6RCR|7DMG
10	52331 62411	7	   	279.23	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	149aVULN|25TLV|3CDMG|6RCR|7DMG|8DUR
11	53423 14321	1	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1478VULN|27DMG|3TLV|5ZMB|67CDMG|7BPWR|9ERES|aRCR
12	52223 14121	2	 * 	277.80	DCR|4VULN|2TLV|1DMG|2CDMG	1479VULN|27TLV|3ASPD|5ZMB|67CDMG|7BPWR|8DMG|aRCR
13	52233 14621	2	   	277.80	DCR|4VULN|2TLV|1DMG|2CDMG	1579VULN|27TLV|3ASPD|4DMG|67CDMG|7BPWR|8MLV|aRCR
14	52233 14321	2	   	277.70	DCR|4VULN|2TLV|1DMG|2CDMG	1578VULN|27TLV|3ASPD|4DMG|67CDMG|7BPWR|9ERES|aRCR
15	52233 14421	2	   	277.70	DCR|4VULN|2TLV|1DMG|2CDMG	1579VULN|27TLV|3ASPD|4DMG|67CDMG|7BPWR|8ERES|aRCR
16	51412 52312	1	   	277.59	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	167VULN|2AART|3ASPD|4aDMG|56TLV|6BPWR|8RCR|9CDMG
17	52225 13235	6	 * 	277.00	DCR|3VULN|2DMG|2TLV|2DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9aDUR
18	52225 13235	5	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9aDUR
19	52226 13235	4	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9aDUR
20	52225 13242	6	   	275.53	DCR|4VULN|2DMG|2TLV	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9ASPD
21	52225 13242	5	   	275.53	DCR|4VULN|2DMG|2TLV	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9ASPD
22	52226 13242	4	   	275.53	DCR|4VULN|2DMG|2TLV	147aVULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9ASPD
23	52236 13234	3	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	147aVULN|2TLV|3RPLT|57DMG|67LHND|7BPWR|8RCR|9DUR
24	52233 14121	2	 * 	274.24	DCR|3VULN|2DMG|2TLV|2CDMG	157VULN|27TLV|3ASPD|48DMG|67CDMG|7BPWR|9ERES|aRCR
25	52313 16331	10	   	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	189VULN|2TLV|39CDMG|4DUR|5aDMG|69LHND|7RCR|9BPWR
26	52226 11242	6	   	273.99	DCR|4VULN|2TLV|1DMG|1DUR	145aVULN|24TLV|3RPLT|4BPWR|6DUR|7DMG|8RCR|9ASPD
27	52331 36125	7	   	273.95	DCR|4VULN|2TLV|2CDMG|2LIT|1AART	1478VULN|25TLV|37CDMG|67LIT|7BPWR|9AART|aRCR
28	52313 15115	4	 * 	273.92	DCR|3VULN|3DUR|1TLV|2CDMG|1AART	167VULN|2TLV|37CDMG|479DUR|5AART|7BPWR|8TBNT|aRCR
29	52512 16322	3	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	159VULN|2TLV|3LIT|45DUR|5BPWR|6RCR|7DMG|8CDMG|aLHND
30	52512 16323	3	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	159VULN|2TLV|3LIT|45DUR|5BPWR|6RCR|7DMG|8CDMG|aBEXP
31	52512 16321	3	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	159VULN|2TLV|3LIT|45DUR|5BPWR|6RCR|7DMG|8CDMG|aMBVNT
32	52512 43221	6	 * 	272.77	DCR|3VULN|3DUR|1TLV|3LIT	179VULN|2TLV|379LIT|4LHND|5LWND|679DUR|79BPWR|8RCR|aASPD
33	52331 62431	7	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	14aVULN|25TLV|3CDMG|6RCR|7DMG|89DUR
34	52331 62212	10	   	272.64	DCR|4VULN|2TLV|1DMG|1CDMG|1AART	1489VULN|25TLV|3CDMG|6RCR|7DMG|aAART
35	52226 11232	6	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	145VULN|24TLV|3RPLT|4BPWR|69aDUR|7DMG|8RCR
36	52331 44232	4	 * 	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	147VULN|26TLV|37CDMG|57aDUR|7BPWR|8BEXP|9RCR
37	64211 24231	3	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	17ERES|24CDMG|3467VULN|47BPWR|57DUR|8BEXP|9RCR|aTLV
38	51212 52325	1	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2AART|3RMIN|46DMG|56TLV|6BPWR|8RCR|9DUR
39	53363 11123	1	 * 	271.50	DCR|3VULN|3DMG|3DUR	17aVULN|27aDMG|3MBVNT|4BBNT|5RPLT|67aDUR|7aBPWR|8RMIN|9RCR
40	52313 16332	9	 * 	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	189VULN|2TLV|39CDMG|4aDUR|5DMG|69LHND|7RCR|9BPWR
41	52313 16336	10	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	189VULN|2TLV|39CDMG|4aDUR|5DMG|69LHND|7RCR|9BPWR
42	53315 53212	8	 * 	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	15VULN|2CGEN|3CDMG|457DUR|5BPWR|6RCR|8TLV|9aDMG
43	52225 13232	6	   	270.73	DCR|3VULN|2DMG|2TLV|1DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9DUR|aLIT
44	52225 13232	5	   	270.73	DCR|3VULN|2DMG|2TLV|1DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9DUR|aLIT
45	52225 13253	5	   	270.73	DCR|3VULN|2DMG|2TLV|1DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9LIT|aDUR
46	52225 13253	6	   	270.73	DCR|3VULN|2DMG|2TLV|1DUR	147VULN|24TLV|3RPLT|47BPWR|57DMG|67LHND|8RCR|9LIT|aDUR
