0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35336 31162	7	 * 	300.51	DCR|4VULN|3DMG|1DUR|1CDMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9CDMG|aDUR
2	35336 31112	7	   	292.56	DCR|4VULN|3DMG|1CDMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LIT|aCDMG
3	35336 31151	10	 * 	290.64	DCR|5VULN|2DMG|1TLV	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aTLV
4	35336 31132	7	 * 	290.25	DCR|5VULN|3DMG	178ERES|2AART|378DMG|4578aVULN|6RCR|78aBPWR|9aMLV
5	35336 31115	7	   	289.91	DCR|4VULN|3DMG|1ASPD	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LIT|aASPD
6	26134 22421	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	18LIT|2RCVC|358DMG|4678VULN|8BPWR|9CDMG|aRCR
7	35336 31153	9	   	288.04	DCR|5VULN|2DMG|1CDMG	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aCDMG
8	35336 31163	9	   	288.04	DCR|5VULN|2DMG|1CDMG	17ERES|2AART|37DMG|4578aVULN|6RCR|7BPWR|9CDMG
9	35336 31115	9	   	287.35	DCR|4VULN|2DMG|1TLV|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aTLV
10	35336 31114	9	 * 	285.69	DCR|4VULN|2DMG|2DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9aDUR
11	35336 31141	10	   	285.39	DCR|5VULN|2DMG|1ASPD	17ERES|2AART|37DMG|4578aVULN|6RCR|7BPWR|9ASPD
12	35336 31163	7	   	284.26	DCR|4VULN|3DMG|1CDMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9CDMG|aRMIN
13	35336 31161	7	   	284.16	DCR|4VULN|3DMG|1CDMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9CDMG|aDUST
14	35336 31152	10	   	282.70	DCR|5VULN|2DMG	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aLIT
15	35336 31116	10	   	282.10	DCR|4VULN|2DMG|1DUR|1ASPD	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aASPD
16	35336 31143	10	   	282.10	DCR|4VULN|2DMG|1DUR|1ASPD	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9ASPD|aDUR
17	35336 31136	7	   	281.61	DCR|4VULN|3DMG|1ASPD	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9MLV|aASPD
18	56126 11223	2	 * 	279.79	DCR|2VULN|3DMG|2DUR|2ASPD|1TLV	1aDUR|23aDMG|4TLV|58ASPD|6RCR|7aVULN|9RCVC|aBPWR
19	35336 31111	7	   	278.91	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LIT|aRMIN
20	35336 31113	7	   	278.81	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LIT|aTBNT
21	35336 31116	7	   	278.81	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LIT|aLEGI
22	35336 31152	7	   	278.81	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9LEGI|aLIT
23	35336 31133	7	   	278.38	DCR|4VULN|3DMG|2AART	178ERES|2aAART|378DMG|4578VULN|6RCR|78BPWR|9MLV
24	35336 31143	9	 * 	276.06	DCR|4VULN|2DMG|2ASPD	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9aASPD
25	26134 22431	9	   	275.90	DCR|4VULN|3DMG|2LIT	18LIT|2RCVC|358DMG|4678VULN|8BPWR|9ZMB|aRCR
26	35336 31131	10	   	274.39	DCR|5VULN|2DMG	17ERES|2AART|37DMG|4578aVULN|6RCR|7BPWR|9RMIN
