0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26153 53132	5	 * 	291.83	DCR|4VULN|3DUR|2TLV|1DMG	1RMIN|238aVULN|4DMG|58TLV|6RCR|789DUR|8BPWR
2	63621 23114	10	 * 	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1DMSP|258aVULN|3CDMG|4aDMG|6DLOT|7RCR|9aDUR|aBPWR
3	26135 23114	10	 * 	284.12	DCR|5VULN|2DUR|3CDMG	1RMIN|2358aVULN|45aCDMG|5aBPWR|6DLOT|7RCR|9aDUR
4	63131 51522	2	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1DMSP|2378VULN|48DUR|58ASPD|6RCR|8BPWR|9RCVC|aDMG
5	62111 51522	2	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1DMSP|28DUR|3478VULN|58ASPD|6RCR|8BPWR|9RCVC|aDMG
6	62111 51522	1	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1DMSP|28DUR|3478VULN|58ASPD|6RCR|8BPWR|9RCVC|aDMG
7	26131 52521	6	   	279.64	DCR|5VULN|2CDMG|1TLV|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aTLV
8	26131 53521	7	   	279.64	DCR|5VULN|2CDMG|1TLV|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aTLV
9	62111 53513	2	 * 	278.74	DCR|3VULN|3DUR|2ASPD|1DMG	1DMSP|278DUR|348VULN|58ASPD|6RCR|8BPWR|9LIT|aDMG
10	62111 53513	1	   	278.74	DCR|3VULN|3DUR|2ASPD|1DMG	1DMSP|278DUR|348VULN|58ASPD|6RCR|8BPWR|9LIT|aDMG
11	63131 53513	2	   	278.74	DCR|3VULN|3DUR|2ASPD|1DMG	1DMSP|238VULN|478DUR|58ASPD|6RCR|8BPWR|9LIT|aDMG
12	62623 31613	6	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1DMSP|28DUR|3CDMG|48DMG|5RMIN|6RCR|78aVULN|8BPWR|9ASPD
13	26131 23114	10	   	277.98	DCR|5VULN|2DUR|2CDMG	1RMIN|2358aVULN|4aCDMG|6DLOT|7RCR|9aDUR|aBPWR
14	62111 53522	1	 * 	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|278DUR|348aVULN|58ASPD|6RCR|8BPWR|9BEXP
15	62111 53522	2	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|278DUR|348aVULN|58ASPD|6RCR|8BPWR|9BEXP
16	62111 53532	1	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|278DUR|348aVULN|58ASPD|6RCR|8BPWR|9LHND
17	62111 53532	2	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|278DUR|348aVULN|58ASPD|6RCR|8BPWR|9LHND
18	63131 53522	2	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|238aVULN|478DUR|58ASPD|6RCR|8BPWR|9BEXP
19	63131 53532	2	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|238aVULN|478DUR|58ASPD|6RCR|8BPWR|9LHND
20	63311 53124	3	   	273.01	DCR|4VULN|3DUR|2ASPD	1DMSP|2489VULN|3FEWX|58ASPD|6RCR|78aDUR|8BPWR
21	63311 53124	2	   	272.91	DCR|4VULN|3DUR|2ASPD	1DMSP|2489VULN|3DUST|58ASPD|6RCR|78aDUR|8BPWR
22	62111 53511	1	   	272.33	DCR|3VULN|3DUR|2ASPD|1CDMG	1DMSP|278DUR|348VULN|58ASPD|6RCR|8BPWR|9LIT|aCDMG
23	62111 53511	2	   	272.33	DCR|3VULN|3DUR|2ASPD|1CDMG	1DMSP|278DUR|348VULN|58ASPD|6RCR|8BPWR|9LIT|aCDMG
24	63131 53511	2	   	272.33	DCR|3VULN|3DUR|2ASPD|1CDMG	1DMSP|238VULN|478DUR|58ASPD|6RCR|8BPWR|9LIT|aCDMG
25	26123 53132	5	   	271.76	DCR|4VULN|3DUR|2TLV	1RMIN|238aVULN|4ZMB|58TLV|6RCR|789DUR|8BPWR
26	26131 52512	6	   	271.70	DCR|5VULN|2CDMG|1DUR	1RMIN|2356aVULN|46CDMG|6BPWR|7DUR|8RCR|9LIT
27	26131 53512	7	   	271.70	DCR|5VULN|2CDMG|1DUR	1RMIN|2356aVULN|46CDMG|6BPWR|7DUR|8RCR|9LIT
28	26131 52522	6	   	271.70	DCR|5VULN|2CDMG|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aLIT
29	26131 53522	7	   	271.70	DCR|5VULN|2CDMG|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aLIT
30	26133 53132	3	 * 	271.34	DCR|5VULN|3DUR	1RMIN|2348aVULN|48BPWR|58LWND|6RCR|789DUR
31	26163 53132	4	   	271.34	DCR|5VULN|3DUR	1RMIN|2348aVULN|48BPWR|58LWND|6RCR|789DUR
32	26114 52112	5	   	271.34	DCR|5VULN|3DUR	1RMIN|2389aVULN|458DUR|6RCR|78BEXP|8BPWR
33	26611 53123	2	 * 	271.22	DCR|3VULN|3ASPD|2DUR|1TLV	1RMIN|248VULN|3TLV|589ASPD|6RCR|78DUR|8BPWR|aLIT
34	26131 34632	6	 * 	269.96	DCR|4VULN|3CDMG|2TLV|1DUR	1RMIN|2358VULN|468CDMG|78TLV|8BPWR|9DUR|aRCR
35	26131 41632	6	   	269.96	DCR|4VULN|3CDMG|2TLV|1DUR	1RMIN|2358VULN|478CDMG|68TLV|8BPWR|9DUR|aRCR
36	26135 41132	6	   	269.96	DCR|4VULN|3CDMG|2TLV|1DUR	1RMIN|2358VULN|457CDMG|58BPWR|68TLV|9DUR|aRCR
37	63131 51513	2	 * 	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|2378VULN|48DUR|58aASPD|6RCR|8BPWR|9LHND
38	63131 51533	2	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|2378VULN|48DUR|58aASPD|6RCR|8BPWR|9BEXP
39	62111 51513	2	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|28DUR|3478VULN|58aASPD|6RCR|8BPWR|9LHND
40	62111 51513	1	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|28DUR|3478VULN|58aASPD|6RCR|8BPWR|9LHND
41	62111 51533	2	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|28DUR|3478VULN|58aASPD|6RCR|8BPWR|9BEXP
42	62111 51533	1	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|28DUR|3478VULN|58aASPD|6RCR|8BPWR|9BEXP
43	63311 53123	3	   	269.31	DCR|4VULN|3ASPD|2DUR	1DMSP|2489VULN|3FEWX|58aASPD|6RCR|78DUR|8BPWR
44	63311 53123	2	   	269.21	DCR|4VULN|3ASPD|2DUR	1DMSP|2489VULN|3DUST|58aASPD|6RCR|78DUR|8BPWR
45	26153 53133	5	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	1RMIN|238VULN|4DMG|58TLV|6RCR|789DUR|8BPWR|aDMSP
46	26353 53132	5	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	1RMIN|28aVULN|3DMSP|4DMG|58TLV|6RCR|789DUR|8BPWR
47	63632 13433	5	 * 	268.62	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1DMSP|25aVULN|3aCDMG|4AART|6RCR|7DUR|8FEWX|9aDMG|aBPWR
48	63632 13233	5	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1DMSP|25aVULN|3aCDMG|4AART|6RCR|7DUR|8DUST|9aDMG|aBPWR
49	62111 53512	2	 * 	268.20	DCR|3VULN|3DUR|3ASPD	1DMSP|278DUR|348VULN|58aASPD|6RCR|8BPWR|9LIT
50	62111 53512	1	   	268.20	DCR|3VULN|3DUR|3ASPD	1DMSP|278DUR|348VULN|58aASPD|6RCR|8BPWR|9LIT
51	63131 53512	2	   	268.20	DCR|3VULN|3DUR|3ASPD	1DMSP|238VULN|478DUR|58aASPD|6RCR|8BPWR|9LIT
52	15234 23631	1	 * 	268.13	DCR|3VULN|3DMG|2TLV|1AART	19CGEN|24TLV|349DMG|49BPWR|59aVULN|6RPLT|7AART|8RCR
53	26131 53316	10	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	1RMIN|2356VULN|46CDMG|6BPWR|78DUR|9AART|aRCR
54	26612 53132	2	   	268.05	DCR|4VULN|3DUR|1TLV	1RMIN|248aVULN|3TLV|58ZMB|6RCR|789DUR|8BPWR
55	62623 31623	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1DMSP|28DUR|3CDMG|48DMG|5RMIN|6RCR|78aVULN|8BPWR|9CGEN
56	62623 31633	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1DMSP|28DUR|3CDMG|48DMG|5RMIN|6RCR|78aVULN|8BPWR|9ZMB
57	26135 14323	6	 * 	267.11	DCR|5VULN|1DMG|2CDMG	1RMIN|23589VULN|45CDMG|5BPWR|6DUST|7DMG|aRCR
58	26135 23133	8	   	267.11	DCR|5VULN|1DMG|2CDMG	1RMIN|2358aVULN|45CDMG|5BPWR|6DLOT|7RCR|9DMG
59	26135 23333	7	   	267.11	DCR|5VULN|1DMG|2CDMG	1RMIN|2358aVULN|45CDMG|5BPWR|6DLOT|7RCR|9DMG
60	23325 44323	1	   	267.11	DCR|5VULN|1DMG|2CDMG	1RMIN|2DUST|35CDMG|45689VULN|5BPWR|7DMG|aRCR
61	26153 53113	5	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RMIN|238VULN|4DMG|58TLV|6RCR|78DUR|8BPWR|9DMSP|aASPD
62	26153 53121	5	   	266.86	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RMIN|238VULN|4DMG|58TLV|6RCR|78DUR|8BPWR|9ASPD|aTBNT
63	26153 53122	5	   	266.86	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RMIN|238VULN|4DMG|58TLV|6RCR|78DUR|8BPWR|9ASPD|aBBNT
64	26242 11131	9	   	266.41	DCR|4VULN|3DUR|2LIT|1SELL	1RMIN|2579VULN|3SELL|47ERES|679DUR|79BPWR|89LIT|aRCR
65	26153 51123	5	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1RMIN|237VULN|48DMG|5TLV|6RCR|9DUR|aASPD
66	26131 43512	7	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1RMIN|235aVULN|4CDMG|6TLV|7DMG|8RCR|9LIT
67	26153 51212	5	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1RMIN|237aVULN|4DMG|5TLV|6RCR|8CDMG|9LIT
68	63621 15113	6	 * 	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1DMSP|25aVULN|3aCDMG|4DMG|6DUST|7aDUR|8RCR|9AART|aBPWR
69	63623 35113	6	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1DMSP|27aVULN|3aCDMG|4DMG|5DUST|6aDUR|8RCR|9AART|aBPWR
70	63621 36133	6	 * 	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	1DMSP|257VULN|367CDMG|47DMG|7BPWR|8FEWX|9TLV|aRCR
71	63621 36333	6	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	1DMSP|257VULN|367CDMG|47DMG|7BPWR|8BEXP|9TLV|aRCR
72	26335 23114	10	   	264.58	DCR|4VULN|2DUR|3CDMG	1RMIN|258aVULN|3DMSP|45aCDMG|5aBPWR|6DLOT|7RCR|9aDUR
73	26111 11352	3	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	1RMIN|238VULN|4BEXP|58LIT|678DUR|8BPWR|9DMG|aRCR
74	26421 11352	2	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	1RMIN|248VULN|3LHND|58LIT|678DUR|8BPWR|9DMG|aRCR
75	26521 11352	3	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	1RMIN|248VULN|3BEXP|58LIT|678DUR|8BPWR|9DMG|aRCR
76	26135 43331	10	   	263.92	DCR|4VULN|1DMG|2CDMG|1TLV	1RMIN|235aVULN|45CDMG|5BPWR|6TLV|7DMG|8BELT|9RCR
77	26131 43522	7	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	1RMIN|2359VULN|4aCDMG|6TLV|7DMG|8RCR
78	26153 51222	5	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	1RMIN|2379VULN|4DMG|5TLV|6RCR|8aCDMG
79	26131 52523	6	   	263.39	DCR|5VULN|2CDMG|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aBEXP
80	26131 53523	7	   	263.39	DCR|5VULN|2CDMG|1DUR	1RMIN|23569VULN|46CDMG|6BPWR|7DUR|8RCR|aBEXP
81	26131 55311	7	   	263.39	DCR|5VULN|2CDMG|1DUR	1RMIN|23568VULN|46CDMG|6BPWR|7RCVC|9RCR|aDUR
82	26135 13321	10	   	263.29	DCR|5VULN|2CDMG|1DUR	1RMIN|2357aVULN|45CDMG|5BPWR|6DUST|8DUR|9RCR
83	26135 13521	7	   	263.29	DCR|5VULN|2CDMG|1TLV	1RMIN|23579VULN|45CDMG|5BPWR|6DUST|8RCR|aTLV
84	26135 23126	10	   	263.29	DCR|5VULN|2CDMG|1DUR	1RMIN|23589VULN|45CDMG|5BPWR|6DLOT|7RCR|aDUR
85	26611 53113	2	   	262.92	DCR|3VULN|3ASPD|2DUR|1TLV	1RMIN|248VULN|3TLV|58aASPD|6RCR|78DUR|8BPWR|9DMSP
86	26611 53122	2	   	262.92	DCR|3VULN|3ASPD|2DUR|1TLV	1RMIN|248VULN|3TLV|589ASPD|6RCR|78DUR|8BPWR|aBEXP
87	26135 41113	4	   	261.88	DCR|4VULN|2DUR|1CDMG|1AART	1RMIN|236aVULN|4CDMG|5aDUR|7aBEXP|8RCR|9AART|aBPWR
88	26325 41113	2	   	261.88	DCR|4VULN|2DUR|1CDMG|1AART	1RMIN|246aVULN|3CDMG|5aDUR|7aBEXP|8RCR|9AART|aBPWR
