0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31522 28484	10	 * 	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	1BELT|27aASPD|347DUR|57aVULN|6MBVNT|7aBPWR|8aCDMG|9RCR
2	51125 31142	4	 * 	277.98	DCR|5VULN|2DUR|1DMG	1DUST|25DUR|3457aVULN|5BPWR|6BEXP|8RCR|9DMG
3	51222 11142	1	 * 	276.02	DCR|4VULN|2DMG|2DUR	1aDUST|267aVULN|34DUR|5FEWX|8RCR|9aDMG|aBPWR
4	51122 11142	4	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUST|2aDUR|3467VULN|5FEWX|8RCR|9aDMG|aBPWR
5	51124 11142	5	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUST|2aDUR|3467VULN|5LHND|8RCR|9aDMG|aBPWR
6	51126 11142	5	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUST|2aDUR|3467VULN|5LWND|8RCR|9aDMG|aBPWR
7	51125 51112	4	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1aDUST|25aDUR|3457VULN|5aBPWR|6LHND|8RCR|9aASPD
8	61213 31142	1	   	272.74	DCR|4VULN|2DMG|1DUR|1ASPD	13aLHND|237aVULN|3aBPWR|4ASPD|5DUR|6RMIN|8RCR|9aDMG
9	11142 15423	6	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	18LIT|2TLV|38DUR|4LHND|5DUST|6RCR|789aVULN|8BPWR
10	11142 15423	7	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	18LIT|2TLV|38DUR|4LHND|5DUST|6RCR|789aVULN|8BPWR
11	51125 31112	4	   	268.92	DCR|5VULN|2DUR|1ASPD	1DUST|25DUR|3457aVULN|5BPWR|6BEXP|8RCR|9ASPD
12	24123 11135	9	 * 	268.17	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|279DUR|3DMSP|48VULN|5LIT|69DMG|9BPWR|aRCR
13	21136 11421	8	 * 	268.10	DCR|4VULN|2DUR|3TLV|1AART	148TLV|2LWND|3AART|568aVULN|78DUR|8BPWR|9RCR
14	35523 36221	8	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|278VULN|37DUR|4FEWX|5CDMG|67DMG|7BPWR|9RCR|aMLV
15	35523 36222	8	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|278VULN|37DUR|4FEWX|5CDMG|67DMG|7BPWR|9RCR|aCGEN
16	35523 36223	8	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1BELT|278VULN|37DUR|4FEWX|5CDMG|67DMG|7BPWR|9RCR|aBEXP
17	51122 25323	6	   	267.06	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	17DUST|2DUR|3478VULN|5AART|67TLV|7BPWR|9RCR|aCDMG
18	61125 33142	3	 * 	266.91	DCR|3VULN|3DUR|2DMG	1aLHND|25aDUR|356VULN|4RCVC|5aBPWR|7LWND|8RCR|9aDMG
19	61125 21142	3	   	266.81	DCR|3VULN|3DUR|2DMG	1aLHND|25aDUR|357VULN|4RCVC|5aBPWR|6DUST|8RCR|9aDMG
20	61115 11142	5	   	266.71	DCR|3VULN|3DUR|2DMG	1aLHND|25aDUR|367VULN|4DUST|8RCR|9aDMG|aBPWR
21	51122 11142	3	   	266.61	DCR|3VULN|3DUR|2DMG	1aDUST|24aDUR|367VULN|5FEWX|8RCR|9aDMG|aBPWR
22	51125 23142	4	   	266.61	DCR|3VULN|3DUR|2DMG	16aDUST|25aDUR|345VULN|5aBPWR|7LWND|8RCR|9aDMG
23	61326 11125	5	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1LHND|29DUR|3ASPD|4TLV|567aVULN|8RCR
24	54331 22152	2	 * 	264.65	DCR|2VULN|3DMG|3CDMG|1TLV|1ASPD	1DUST|245CDMG|345DMG|45BPWR|67VULN|8ASPD|9TLV|aRCR
25	61152 31142	5	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1aLHND|2aDUR|357VULN|4ASPD|6RMIN|8RCR|9aDMG|aBPWR
26	51123 51142	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUST|2aDUR|347VULN|5RMIN|6ASPD|8RCR|9aDMG|aBPWR
27	51152 31142	5	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUST|2aDUR|357VULN|4ASPD|6RMIN|8RCR|9aDMG|aBPWR
28	51223 51142	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUST|27aVULN|34DUR|5RMIN|6ASPD|8RCR|9aDMG|aBPWR
29	31522 28482	10	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	1BELT|27ASPD|347DUR|57aVULN|6MBVNT|7BPWR|8CDMG|9RCR
