0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43221 41141	2	 * 	275.02	DCR|3VULN|3DUR|2DMG	1RMIN|25aVULN|34aDUR|6LIT|7DUST|8RCR|9aDMG|aBPWR
2	43234 22711	2	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1RMIN|278VULN|39DUR|47DMG|57TLV|6MBVNT|7BPWR|aRCR
3	43162 62223	10	 * 	271.86	DCR|4VULN|3DUR|2CDMG	1RMIN|256aVULN|3DMSP|46aDUR|6aBPWR|7RCR|8RPLT|9aCDMG
4	53622 61122	8	 * 	271.56	DCR|5VULN|2DUR|1CDMG|1NUKE	1NUKE|2356aVULN|36BPWR|46DUR|7RMIN|8RCR|9CDMG
5	53622 61133	10	 * 	271.34	DCR|5VULN|3DUR|1NUKE	1NUKE|2356aVULN|36aBPWR|46aDUR|7RMIN|8RCR|9aLHND
6	53615 33211	5	 * 	269.15	ACR|4VULN|3DMG|2DUR|1NUKE|1AART	1NUKE|236aVULN|3aBPWR|4RCR|58aDMG|7AART|9aDUR
7	43314 42511	9	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1RMIN|26aVULN|35LIT|4MBVNT|7aDUR|8RCR|9aDMG|aBPWR
8	43314 42551	8	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1RMIN|26aVULN|35LIT|4MBVNT|7aDUR|8RCR|9aDMG|aBPWR
9	43635 23112	10	 * 	264.73	DCR|5VULN|2DMG	1RMIN|2347aVULN|3aBPWR|5aDMG|6aDUST|8RCR|9RCVC
10	53622 61123	8	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7RMIN|8RCR|9CDMG|aASPD
11	43636 11133	10	 * 	262.10	DCR|5VULN|2TLV|2LIT	1RMIN|2349aVULN|39BPWR|5DMSP|69TLV|79LIT|8RCR
12	43316 32341	2	   	261.89	DCR|3VULN|2DMG|2DUR	1RMIN|23aVULN|3aBPWR|4aBEXP|5LIT|68DUR|7RCR|9aDMG
13	43622 63133	9	   	260.89	DCR|5VULN|1DMG|1CDMG	1RMIN|23568VULN|36BPWR|46FEWX|7CDMG|9RCR|aDMG
14	43632 63133	9	   	260.89	DCR|5VULN|1DMG|1CDMG	1RMIN|23468VULN|36BPWR|56FEWX|7CDMG|9RCR|aDMG
15	43633 63133	9	   	260.89	DCR|5VULN|1DMG|1CDMG	1RMIN|23468VULN|36BPWR|56LWND|7CDMG|9RCR|aDMG
16	43631 53321	10	   	260.79	DCR|5VULN|1DMG|1CDMG	1RMIN|2347aVULN|3BPWR|5RPLT|6RCR|8DMG|9CDMG
17	43635 23122	8	   	260.69	DCR|5VULN|1DMG|1CDMG	1RMIN|2347aVULN|3BPWR|5DMG|6DUST|8RCR|9CDMG
18	43323 22141	7	 * 	258.96	DCR|3VULN|2DMG|3LIT|1DUR	1RMIN|25aVULN|35aLIT|4DMSP|5aBPWR|6LWND|7DUR|8RCR|9aDMG
19	43323 32141	7	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	1RMIN|25aVULN|35aLIT|4DMSP|5aBPWR|6DUST|7DUR|8RCR|9aDMG
20	43221 45121	2	 * 	258.68	DCR|3VULN|3DUR|2ASPD	1RMIN|25aVULN|34aDUR|6LIT|7LHND|8RCR|9aASPD|aBPWR
21	43221 46121	2	   	258.68	DCR|3VULN|3DUR|2ASPD	1RMIN|25aVULN|34aDUR|6LIT|7BEXP|8RCR|9aASPD|aBPWR
22	43221 41121	2	   	258.58	DCR|3VULN|3DUR|2ASPD	1RMIN|25aVULN|34aDUR|6LIT|7DUST|8RCR|9aASPD|aBPWR
23	43162 62232	10	 * 	258.54	DCR|4VULN|2DUR|1DMG	1RMIN|256aVULN|3DMSP|46DUR|6BPWR|7RCR|8RPLT|9DMG
24	64632 22133	8	   	258.54	DCR|4VULN|2DUR|1DMG	137CGEN|23DUR|37BPWR|4579VULN|67ERES|8RCR|aDMG
25	43631 52112	10	   	258.44	DCR|4VULN|2DUR|1DMG	1RMIN|234aVULN|3BPWR|5RPLT|6RCR|79DUR|8DMG
26	53122 63153	8	   	258.44	DCR|4VULN|2DUR|1DMG|1NUKE	1NUKE|2569VULN|3DMSP|46DUR|6BPWR|7CGEN|8RCR|aDMG
27	53622 61111	10	   	258.44	DCR|4VULN|2DUR|1DMG|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7RMIN|8RCR|9RCVC|aDMG
28	42321 32641	1	 * 	258.29	DCR|4VULN|2DUR|2TLV|1SELL	1RMIN|2RPLT|3789VULN|47TLV|57DUR|6SELL|7BPWR|aRCR
29	43221 32641	3	 * 	258.29	DCR|4VULN|2DUR|2TLV|1SELL	1RMIN|2789VULN|3RPLT|47TLV|57DUR|6SELL|7BPWR|aRCR
30	53622 63111	10	   	257.91	DCR|5VULN|2DUR|1NUKE	1NUKE|2356aVULN|36BPWR|46DUR|7CGEN|8RCR|9BELT
31	12566 33122	8	   	256.98	DCR|5VULN|1DUR|1CDMG	13FEWX|2DUR|4567aVULN|8RCR|9CDMG
32	43331 16222	5	 * 	256.70	DCR|5VULN|3LIT|1AART	1RMIN|2579aVULN|357LIT|4DLOT|57BPWR|6AART|8RCR
33	53622 62232	7	   	256.34	DCR|4VULN|2DUR|1NUKE|1AART	1NUKE|2356VULN|36BPWR|46DUR|7LIT|8BEXP|9RCR|aAART
34	43636 11131	10	   	256.21	DCR|4VULN|2TLV|2LIT|1CDMG	1RMIN|2349VULN|39BPWR|5DMSP|69TLV|79LIT|8RCR|aCDMG
35	53516 13321	6	 * 	256.09	DCR|2VULN|2DMG|2DUR|2ASPD|1NUKE	1NUKE|2aVULN|3aASPD|4LIT|5RMIN|6RCR|78DUR|9aDMG|aBPWR
36	46125 11112	3	   	255.05	DCR|4VULN|2DMG|1AART	1RMIN|2AART|39DMG|4RPLT|59CGEN|679aVULN|8RCR|9BPWR
