0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32562 23334	5	 * 	278.80	DCR|3VULN|3DMG|2DUR|1AART	1aDUR|2DUST|38aVULN|49aDMG|5BELT|6RCR|7AART|aBPWR
2	62422 32612	7	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1DLOT|239aVULN|3aBPWR|4aDUR|5DMG|6LWND|7aCDMG|8RCR
3	62422 33612	6	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1DLOT|239aVULN|3aBPWR|4aDUR|5DMG|6LWND|7aCDMG|8RCR
4	62422 33612	5	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1DLOT|239aVULN|3aBPWR|4aDUR|5DMG|6LHND|7aCDMG|8RCR
5	62123 13332	4	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9TLV|aRCR
6	62333 13332	4	   	274.59	DCR|4VULN|2DUR|2CDMG|1TLV	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9TLV|aRCR
7	62331 14612	7	 * 	273.24	DCR|4VULN|2DUR|2ASPD|1CDMG	1DLOT|279aVULN|3CDMG|4aDUR|5aASPD|6LEGI|8RCR|aBPWR
8	62432 63312	5	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1DLOT|239aVULN|3aBPWR|4aLHND|5DMG|6RCR|7CDMG|8aDUR
9	62423 14211	7	 * 	271.56	DCR|4VULN|3DUR|1DMG	1DLOT|2356VULN|3BPWR|47aDUR|8DMG|9RCR
10	33332 23151	10	 * 	271.34	DCR|5VULN|3DUR	157DUR|29ERES|379CGEN|46789VULN|79BPWR|aRCR
11	33332 23166	10	   	271.24	DCR|5VULN|3DUR	157DUR|2ERES|37CGEN|4678aVULN|7BPWR|9RCR
12	62111 52612	7	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	1DLOT|269aVULN|3aDUR|4ASPD|56LWND|6aBPWR|7aCDMG|8RCR
13	62111 53612	6	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	1DLOT|269aVULN|3aDUR|4ASPD|56LWND|6aBPWR|7aCDMG|8RCR
14	62333 43332	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1DLOT|2578VULN|3CDMG|47DUR|67LWND|7BPWR|9TLV|aRCR
15	62423 36232	7	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1DLOT|2357VULN|37BPWR|47DUR|67LWND|8CDMG|9TLV|aRCR
16	33433 22636	1	 * 	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|3LIT	19DUR|25ASPD|358LIT|4TBNT|59BPWR|69DMG|79VULN|aRCR
17	34133 22636	3	   	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|3LIT	19DUR|25ASPD|358LIT|4TBNT|59BPWR|69DMG|79VULN|aRCR
18	62125 23612	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1DLOT|29aVULN|3aDUR|4CDMG|5DMSP|6LWND|7aDMG|8RCR|aBPWR
19	34352 23213	8	 * 	266.87	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	18DUR|28ASPD|3CGEN|4AART|5DMG|689VULN|7RPLT|8BPWR|aRCR
20	31633 32244	4	 * 	266.81	DCR|3VULN|3DUR|2DMG	13aDUR|26FEWX|47aVULN|5aDMG|8RMIN|9RCR|aBPWR
21	34452 23213	8	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	18DUR|28ASPD|3ERES|4AART|5DMG|689VULN|7RPLT|8BPWR|aRCR
22	33245 12124	10	   	266.71	DCR|3VULN|3DUR|2DMG	157DUR|29ERES|3LWND|459VULN|59BPWR|69DMG|8RPLT|aRCR
23	62123 13363	4	   	266.64	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37DUR|47CDMG|6LEGI|7BPWR|9LIT|aRCR
24	62333 13363	4	   	266.64	DCR|4VULN|2DUR|2CDMG	1DLOT|2578VULN|37CDMG|47DUR|6LEGI|7BPWR|9LIT|aRCR
25	62122 13612	4	   	265.55	DCR|4VULN|3DUR|1CDMG	1DLOT|279aVULN|37aDUR|4CDMG|5ZMB|67aLHND|7aBPWR|8RCR
26	62123 13612	5	   	265.55	DCR|4VULN|3DUR|1CDMG	1DLOT|279aVULN|37aDUR|4CDMG|5ZMB|67aLHND|7aBPWR|8RCR
27	62133 13612	5	   	265.55	DCR|4VULN|3DUR|1CDMG	1DLOT|279aVULN|37aDUR|4ZMB|5CDMG|67aLHND|7aBPWR|8RCR
28	62333 13612	6	   	265.45	DCR|4VULN|3DUR|1CDMG	1DLOT|279aVULN|3CDMG|47aDUR|57aZMB|6LEGI|7aBPWR|8RCR
29	62113 14612	7	 * 	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	1DLOT|279aVULN|3DUR|4aASPD|5aCDMG|6LEGI|8RCR|aBPWR
30	62121 14612	7	   	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	1DLOT|279aVULN|3DUR|4aCDMG|5aASPD|6LEGI|8RCR|aBPWR
31	62115 13213	8	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1DLOT|289VULN|38DUR|4ASPD|5CGEN|68DMG|7RPLT|8BPWR|aRCR
32	62116 13213	8	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1DLOT|289VULN|38DUR|4ASPD|5MLV|68DMG|7RPLT|8BPWR|aRCR
33	62112 13213	8	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1DLOT|289VULN|38DUR|4ASPD|5ERES|68DMG|7RPLT|8BPWR|aRCR
34	62423 11215	7	 * 	263.29	DCR|5VULN|1DMG|1DUR	1DLOT|2356aVULN|3BPWR|4DUR|7RCVC|8DMG|9RCR
35	31562 23314	5	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|29FEWX|38aVULN|4aDMG|5BELT|6RCR|7AART|aBPWR
36	62123 32612	4	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1DLOT|259aVULN|3aDUR|4CDMG|6ASPD|7aLHND|8RCR|aBPWR
37	62423 14311	7	   	262.50	DCR|4VULN|3DUR|1ASPD	1DLOT|2356VULN|3BPWR|47aDUR|8ASPD|9RCR
38	31523 36361	10	   	261.66	DCR|4VULN|3DUR|1AART	167DUR|279FEWX|3579VULN|4AART|79BPWR|89MLV|aRCR
39	33332 23163	9	   	261.36	DCR|4VULN|3DUR|1AART	157DUR|2ERES|37CGEN|4678VULN|7BPWR|9RCR|aAART
40	11533 42153	4	 * 	260.84	DCR|4VULN|3DMG	1BEXP|2FEWX|3479VULN|568DMG|aRCR
41	62333 43363	4	   	260.43	DCR|4VULN|2DUR|1CDMG	1DLOT|2578VULN|3CDMG|47DUR|67LWND|7BPWR|9LIT|aRCR
42	62321 41612	7	 * 	260.12	DCR|3VULN|3ASPD|2DUR|1CDMG	1DLOT|29aVULN|3CDMG|4LEGI|56aASPD|7aDUR|8RCR|aBPWR
43	62331 15612	6	   	260.12	DCR|3VULN|3ASPD|2DUR|1CDMG	1DLOT|29aVULN|3CDMG|4aDUR|57aASPD|6LEGI|8RCR|aBPWR
44	62331 16612	7	   	260.12	DCR|3VULN|3ASPD|2DUR|1CDMG	1DLOT|29aVULN|3CDMG|4aDUR|57aASPD|6LEGI|8RCR|aBPWR
45	62123 43332	4	   	260.10	DCR|4VULN|2CDMG|1TLV|1DUR	1DLOT|2578VULN|3DUR|47CDMG|67LWND|7BPWR|9TLV|aRCR
46	62111 32612	7	 * 	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	1DLOT|29aVULN|36aDUR|4ASPD|5LWND|7aCDMG|8RCR|aBPWR
47	62111 33612	6	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	1DLOT|29aVULN|36aDUR|4ASPD|5LWND|7aCDMG|8RCR|aBPWR
48	62116 33134	10	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	1DLOT|29aVULN|36aDUR|4ASPD|5MLV|7RCR|8aCDMG|aBPWR
49	62112 33144	10	   	259.93	DCR|3VULN|3DUR|2CDMG|1ASPD	1DLOT|29aVULN|36aDUR|4ASPD|5ERES|7RCR|8aCDMG|aBPWR
50	34633 31131	8	 * 	259.69	DCR|3VULN|3DUR|3ASPD	134DUR|259ASPD|69ERES|789VULN|9BPWR|aRCR
51	62335 23612	7	 * 	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1DLOT|29aVULN|3aCDMG|4DUR|5DMSP|6LWND|7aDMG|8RCR|aBPWR
52	33262 35621	7	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	157DUR|27ERES|3LWND|4TLV|67aVULN|7BPWR|8CDMG|9RCR
53	31523 26316	5	 * 	258.68	DCR|3VULN|3DUR|2TLV|1AART	16aDUR|2FEWX|35aVULN|4AART|7RCR|8aTLV|9LEGI|aBPWR
54	31523 36316	6	   	258.68	DCR|3VULN|3DUR|2TLV|1AART	16aDUR|2FEWX|35aVULN|4AART|7RCR|8aTLV|9LEGI|aBPWR
