0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41162 23621	3	 * 	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	19BEXP|2DUST|3589VULN|4DUR|6CDMG|79DMG|9BPWR|aRCR
2	31133 62512	8	   	267.25	DCR|4VULN|2DMG|1CDMG	15ZMB|2LIT|3CDMG|45DMG|5BPWR|6789VULN|aRCR
3	31133 62612	7	   	267.25	DCR|4VULN|2DMG|1CDMG	15ZMB|2LIT|3CDMG|45DMG|5BPWR|6789VULN|aRCR
4	45312 23621	3	 * 	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19BEXP|258VULN|39DUR|4DUST|6CDMG|79DMG|9BPWR|aRCR
5	45323 23621	3	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19BEXP|248VULN|39DUR|5DUST|6CDMG|79DMG|9BPWR|aRCR
6	12442 41131	1	 * 	264.01	DCR|3VULN|3DMG|1DUR|1AART	1ERES|236DMG|4AART|569VULN|6BPWR|7RCR|8DUST|aDUR
7	25361 21224	6	   	263.65	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	18LHND|268VULN|3BELT|4DUR|5ASPD|78DMG|8BPWR|9CDMG|aRCR
8	55331 22432	10	   	261.59	DCR|3VULN|2DMG|2DUR	1LIT|2DUST|34DMG|56DUR|79aVULN|8RCR
9	23412 13135	3	 * 	261.24	DCR|4VULN|3DMG	189aLHND|2CGEN|358aVULN|48aDMG|6RCVC|7RCR|8aBPWR
10	23412 13155	3	   	261.24	DCR|4VULN|3DMG	18aLHND|29CGEN|358aVULN|48aDMG|6RCVC|7RCR|8aBPWR
11	32324 13232	3	   	260.96	DCR|3VULN|2DMG|1TLV|1CDMG	18ZMB|2BELT|3CDMG|48DMG|5TLV|6LIT|789VULN|8BPWR|aRCR
12	25312 51224	5	   	260.75	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	148LHND|248VULN|3BELT|48BPWR|5DMG|6ASPD|78DUR|9CDMG|aRCR
13	25361 21261	6	 * 	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	18LHND|268VULN|3BELT|4DUR|5aASPD|78DMG|8BPWR|9RCR
14	25145 33232	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|289aVULN|3TLV|4BEXP|5DUR|6DMG|7RCR
15	15116 32374	10	 * 	259.91	DCR|4VULN|3DUR	18aERES|28aDUR|3LIT|4CGEN|5MBVNT|6RCR|789aVULN|8aBPWR
16	25124 22152	3	 * 	259.58	DCR|5VULN|1TLV|1DUR	17LHND|2568aVULN|3TLV|4DUR|9RCR
17	25161 22152	3	   	259.58	DCR|5VULN|1TLV|1DUR	17LHND|2468aVULN|3TLV|5DUR|9RCR
18	25112 33663	3	   	258.91	DCR|4VULN|1DMG|1TLV|2LIT	19LHND|2589VULN|3TLV|4DMG|69LIT|7RCR|9BPWR|aBELT
19	35132 35263	10	   	258.91	DCR|4VULN|1DMG|1DUR|2LIT	18ZMB|2DUR|38LIT|4DMG|5BEXP|6RCR|789aVULN|8BPWR
20	25112 33661	3	   	258.81	DCR|4VULN|1DMG|1TLV|2LIT	19LHND|2589VULN|3TLV|4DMG|69LIT|7RCR|9BPWR|aERES
21	56316 33332	10	   	258.61	DCR|4VULN|1DMG|1DUR|2LIT	14LIT|2DUR|389aVULN|5MBVNT|6RCR|7DMG
22	56316 32344	7	 * 	258.24	DCR|4VULN|2DUR|3LIT	14aLIT|2aDUR|379aVULN|5MBVNT|6RCR|8TBNT|aBPWR
23	22144 41132	6	 * 	258.21	DCR|5VULN|2DUR	18LHND|259BEXP|34578VULN|58BPWR|68DUR|aRCR
24	22144 41132	5	   	258.21	DCR|5VULN|2DUR	18LHND|259BEXP|34578VULN|58BPWR|68DUR|aRCR
25	46122 41132	3	   	258.11	DCR|5VULN|2DUR	189BEXP|2LWND|34578VULN|68DUR|8BPWR|aRCR
26	46122 53132	3	   	258.11	DCR|5VULN|2DUR	189BEXP|2LWND|34568VULN|78DUR|8BPWR|aRCR
27	25312 36431	5	   	257.60	DCR|4VULN|1DMG|1TLV|1CDMG	14LHND|246aVULN|3BELT|4BPWR|5DMG|7TLV|8RCR|9CDMG
28	35512 31163	2	 * 	257.58	ACR|4VULN|2DMG|2DUR|1CDMG	18ZMB|26DUR|3RCR|48DMG|5789VULN|8BPWR|aCDMG
29	24133 56232	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2RPLT|3DMG|4CDMG|5DUR|6RCR|789aVULN
30	24133 56232	7	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2RPLT|3DMG|4CDMG|5DUR|6RCR|789aVULN
31	25312 51261	5	 * 	257.31	DCR|3VULN|2DUR|2ASPD|1DMG	148LHND|248VULN|3BELT|48BPWR|5DMG|6aASPD|78DUR|9RCR
32	35512 31161	2	 * 	257.16	ACR|4VULN|3DUR|2DMG	18ZMB|26aDUR|3RCR|48DMG|5789VULN|8BPWR
33	31416 32361	3	   	256.54	DCR|4VULN|2DUR|1AART	19ZMB|2LIT|3459VULN|6RCR|7AART|89DUR|9BPWR|aFEWX
34	15412 33611	3	   	255.33	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1ERES|2DUR|358VULN|4DMG|6LIT|7RCR|9TLV|aAART
35	25145 33132	7	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|29aVULN|3TLV|4BEXP|5DUR|68DMG|7RCR
36	31431 36611	6	   	253.50	DCR|4VULN|2DMG	17ZMB|2LIT|378aVULN|47DMG|5LEGI|6RCR|7BPWR|9TBNT
37	31416 32522	3	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1ZMB|2LIT|3458VULN|6RCR|7AART|9TLV|aASPD
38	33421 43621	3	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19ZMB|2DUST|389VULN|4DUR|5CDMG|6RMIN|79DMG|9BPWR|aRCR
39	35132 35222	9	   	252.52	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	18ZMB|2DUR|38LIT|4DMG|5BEXP|6RCR|78aVULN|8BPWR|9TLV
40	24133 56132	7	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2RPLT|38DMG|4CDMG|5DUR|6RCR|79aVULN
41	41115 23621	3	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	19BEXP|24DUST|389VULN|5DUR|6CDMG|79DMG|9BPWR|aRCR
42	41161 23621	3	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	19BEXP|25DUST|389VULN|4DUR|6CDMG|79DMG|9BPWR|aRCR
43	35155 33312	10	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1ZMB|2DUR|39LIT|48aVULN|5TLV|6RCR|7DMG
44	32332 55126	10	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1ZMB|2BELT|3CDMG|4ASPD|579aVULN|6RCR|8DMG
45	56316 33333	10	   	252.22	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	14LIT|2DUR|389VULN|5MBVNT|6RCR|7DMG|aTLV
46	25112 33624	3	   	252.16	DCR|4VULN|1DMG|1TLV	1LHND|258aVULN|3TLV|4DMG|6LIT|7RCR|9FEWX
47	25112 33636	3	   	252.16	DCR|4VULN|1DMG|1TLV	19LHND|258aVULN|3TLV|4DMG|6LIT|7RCR
48	31431 34342	10	   	252.06	DCR|4VULN|1DMG|1TLV	1ZMB|2LIT|389aVULN|4DMG|5LEGI|6RCR|7TLV
49	25112 33611	3	   	252.06	DCR|4VULN|1DMG|1TLV	1LHND|258aVULN|3TLV|4DMG|6LIT|7RCR|9TBNT
50	35412 33611	3	   	252.06	DCR|4VULN|1DMG|1DUR	1ZMB|2DUR|358aVULN|4DMG|6LIT|7RCR|9TBNT
51	45112 33611	3	   	252.06	DCR|4VULN|1DMG|1TLV	1BEXP|258aVULN|3TLV|4DMG|6LIT|7RCR|9TBNT
52	25145 33212	7	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|28aVULN|3TLV|4BEXP|59DUR|6DMG|7RCR
53	52513 13432	10	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	12LIT|35DUR|45ASPD|5BPWR|69aVULN|7FEWX|8RCR
54	25631 16131	3	   	251.85	DCR|3VULN|3DMG|1CDMG	17LHND|257VULN|367DMG|4TBNT|7BPWR|8RCR|9MBVNT|aCDMG
55	25631 16321	3	   	251.85	DCR|3VULN|3DMG|1CDMG	17LHND|257VULN|367DMG|4TBNT|7BPWR|8DUST|9RCR|aCDMG
56	25361 31224	6	   	251.33	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	18LHND|28VULN|3BELT|46DUR|5ASPD|78DMG|8BPWR|9CDMG|aRCR
57	31133 36612	6	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	15ZMB|26LIT|3CDMG|45DMG|5BPWR|789VULN|aRCR
58	45343 22332	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1BEXP|249aVULN|3DUR|5LHND|6ASPD|7RCR|8TLV
59	55331 22433	10	   	250.93	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|2DUST|34DMG|56DUR|79VULN|8RCR|aTLV
