0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24316 31122	8	 * 	292.14	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5TLV|69aVULN|7RCR|8BELT|9BPWR
2	21163 33261	6	 * 	289.68	DCR|4VULN|3DUR|2TLV|2ASPD	126DUR|37ASPD|4789VULN|57TLV|7BPWR|aRCR
3	21216 11516	9	 * 	277.00	DCR|4VULN|3DUR|2DMG	124DUR|36aFEWX|569aVULN|6aBPWR|7aDMG|8RCR
4	21216 11536	8	   	277.00	DCR|4VULN|3DUR|2DMG	124DUR|36aFEWX|569aVULN|6aBPWR|7aDMG|8RCR
5	23116 11516	9	   	277.00	DCR|4VULN|3DUR|2DMG	134DUR|26aFEWX|569aVULN|6aBPWR|7aDMG|8RCR
6	23116 11536	8	   	277.00	DCR|4VULN|3DUR|2DMG	134DUR|26aFEWX|569aVULN|6aBPWR|7aDMG|8RCR
7	24333 16422	3	 * 	275.10	DCR|2VULN|3DUR|2DMG|2TLV|1AART	167DUR|2aDMG|3AART|47VULN|57TLV|7BPWR|8RCR|9LHND
8	24333 16342	3	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV|1AART	167DUR|29DMG|3AART|47VULN|57TLV|7BPWR|8LWND|aRCR
9	24315 31522	10	 * 	273.04	DCR|2VULN|3DMG|2DUR|2ASPD|1CDMG|1AART	1aDUR|29aDMG|3AART|4CDMG|58VULN|6aASPD|7RCR|aBPWR
10	21361 62623	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	12DUR|37DMG|456VULN|8ZMB|9RCR|aTLV
11	24316 31336	8	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DUR|2DMG|3AART|4CDMG|5TLV|68aVULN|7RCR|9LIT
12	24316 31123	8	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5TLV|69VULN|7RCR|8BELT|9BPWR|aRMIN
13	24316 31124	8	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5TLV|69VULN|7RCR|8BELT|9BPWR|aZMB
14	24316 31121	8	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5TLV|69VULN|7RCR|8BELT|9BPWR|aTBNT
15	24316 31125	8	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5TLV|69VULN|7RCR|8BELT|9BPWR|aERES
16	24316 31322	10	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1aDUR|29DMG|3AART|4CDMG|5TLV|68VULN|7RCR
17	24311 31122	8	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DUR|29DMG|3AART|4CDMG|5CGEN|69aVULN|7RCR|8BELT|9BPWR
18	24333 16212	3	   	265.28	DCR|2VULN|3DUR|2TLV|1DMG|2AART	167DUR|2DMG|38AART|47VULN|57TLV|7BPWR|9CGEN|aRCR
19	24333 16232	3	   	265.28	DCR|2VULN|3DUR|2TLV|1DMG|2AART	167DUR|2DMG|38AART|47VULN|57TLV|7BPWR|9FEWX|aRCR
20	24333 16252	3	   	265.28	DCR|2VULN|3DUR|2TLV|1DMG|2AART	167DUR|2DMG|38AART|47VULN|57TLV|7BPWR|9LWND|aRCR
21	21363 12132	10	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	12aDUR|3DMG|49aVULN|5TLV|6DUST|7aLWND|8RCR|aBPWR
