0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33235 44131	2	 * 	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	17aDMG|2BELT|36DUR|45aVULN|8RCR|9aASPD|aBPWR
2	23124 41152	3	 * 	288.19	ACR|4VULN|3DUR|2DMG|3ASPD	189ASPD|2BELT|3RMIN|4aDMG|5RCR|689DUR|789aVULN|89aBPWR
3	32245 21243	6	   	287.20	DCR|3VULN|3DMG|2DUR|1AART	179DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|8LIT
4	32245 21532	6	 * 	285.79	DCR|4VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|479aVULN|57DUR|6RCR|7BPWR|8ERES
5	36245 21213	6	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	17DMG|2FEWX|3AART|479aVULN|57DUR|6RCR|7BPWR|8TBNT
6	36245 21313	6	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	17DMG|2FEWX|3AART|479aVULN|57DUR|6RCR|7BPWR|8BBNT
7	31316 37464	10	 * 	282.06	DCR|4VULN|3DMG|2ASPD|1NUKE	17aDMG|27ERES|3NUKE|457aVULN|6MBVNT|7aBPWR|8RCR|9aASPD
8	32245 21432	6	   	282.02	DCR|3VULN|2DMG|2DUR|2AART|1ASPD	17DMG|2LHND|38AART|47aVULN|57DUR|6RCR|7BPWR|9ASPD
9	32513 14433	5	 * 	281.01	DCR|4VULN|3DMG|2TLV	13aDMG|2LHND|458aVULN|6RCVC|7aTLV|9RCR|aBPWR
10	32513 44233	6	 * 	280.91	DCR|4VULN|3DMG|3TLV	13aDMG|2LHND|456aVULN|78aTLV|9RCR|aBPWR
11	32513 54233	5	   	280.91	DCR|4VULN|3DMG|3TLV	13aDMG|2LHND|456aVULN|78aTLV|9RCR|aBPWR
12	66222 16321	2	 * 	280.56	DCR|3VULN|3DMG|3CDMG|1DUR	126CDMG|289BPWR|389DMG|489VULN|589ERES|7RCR|aDUR
13	32245 21161	6	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DMG|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8FEWX|aTLV
14	32245 21533	6	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DMG|2LHND|3AART|479VULN|57DUR|6RCR|7BPWR|8ERES|aTLV
15	32245 32422	8	   	278.90	DCR|3VULN|3DMG|2DUR|1AART	168DMG|2LHND|3AART|489VULN|58DUR|7BELT|8BPWR|aRCR
16	32245 21253	6	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT|1AART	17DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|89LIT
17	32245 21163	6	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	17DMG|2LHND|3AART|479VULN|57aDUR|6RCR|7BPWR|8FEWX
18	33235 34131	2	   	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	17aDMG|26BELT|3DUR|45aVULN|8RCR|9aASPD|aBPWR
19	33125 26153	5	   	275.61	DCR|3VULN|3DMG|3CDMG|1ASPD	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aASPD
20	33125 26153	6	   	275.61	DCR|3VULN|3DMG|3CDMG|1ASPD	189DMG|2BELT|3RMIN|489VULN|589CDMG|6RCR|7RPLT|89BPWR|aASPD
21	33235 43131	2	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1aDMG|2BELT|36DUR|45aVULN|7RCVC|8RCR|9aASPD|aBPWR
22	33235 45131	2	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1aDMG|27BELT|36DUR|45aVULN|8RCR|9aASPD|aBPWR
23	36245 21132	6	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	17DMG|28FEWX|3AART|47aVULN|57DUR|6RCR|7BPWR|9ASPD
24	36245 21231	6	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	17DMG|2FEWX|3AART|47aVULN|57DUR|6RCR|7BPWR|8TBNT|9ASPD
25	36245 21331	6	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	17DMG|2FEWX|3AART|47aVULN|57DUR|6RCR|7BPWR|8BBNT|9ASPD
26	33234 41152	4	 * 	273.11	ACR|4VULN|3DMG|3DUR	189DMG|2BELT|3aLWND|4RCVC|5RCR|689DUR|789aVULN|89aBPWR
27	33314 41152	2	   	273.11	ACR|4VULN|3DMG|3DUR	189DMG|2BELT|3DMSP|4aLWND|5RCR|689DUR|789aVULN|89aBPWR
28	33324 41152	2	   	273.11	ACR|4VULN|3DMG|3DUR	189DMG|2BELT|3DMSP|4aFEWX|5RCR|689DUR|789aVULN|89aBPWR
29	33224 11152	2	   	273.11	ACR|4VULN|3DMG|3DUR	189DMG|2BELT|34aDUR|5RCR|689FEWX|789aVULN|89aBPWR
30	33224 51152	2	   	273.11	ACR|4VULN|3DMG|3DUR	189DMG|2BELT|34aDUR|5RCR|689BEXP|789aVULN|89aBPWR
31	24531 13143	1	   	272.44	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	17ASPD|2TLV|37DMG|49VULN|5LIT|67DUR|7BPWR|8ZMB|aRCR
32	32243 22516	5	   	271.68	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	19DMG|2LHND|3AART|459VULN|6ASPD|7LIT|89CDMG|9BPWR|aRCR
33	15512 14221	2	 * 	271.56	DCR|4VULN|3DUR|1DMG	147DUST|2LEGI|346DUR|467BPWR|567aVULN|8RCR|9DMG
34	32245 21233	6	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2LHND|3AART|47aVULN|57DUR|6RCR|7BPWR|8LIT|9RCVC
35	32245 21433	6	   	271.36	DCR|2VULN|2DMG|2DUR|2AART|1TLV|1ASPD	17DMG|2LHND|38AART|47VULN|57DUR|6RCR|7BPWR|9ASPD|aTLV
